nameseq,k1,k2,label
ABGY01000889.1/1819-1978_neg_1,1.745560461950188,3.475412133211124,negative
ABGY01000889.1/1819-1978_neg_2,1.745560461950188,3.4723932317498853,negative
ABGY01000889.1/1819-1978_neg_3,1.745560461950188,3.470359643146714,negative
BX901883.5/169709-169573_neg_1,1.9740878652081328,3.9123171357310262,negative
BX901883.5/169709-169573_neg_2,1.9740878652081328,3.9189518401581362,negative
BX901883.5/169709-169573_neg_3,1.9740878652081326,3.925042520373162,negative
BX640401.2/48470-48342_neg_1,1.9740217225739598,3.9177546358009065,negative
BX640401.2/48470-48342_neg_2,1.9740217225739594,3.9388851743029183,negative
BX640401.2/48470-48342_neg_3,1.9740217225739598,3.9277863441164045,negative
BX640401.2/45102-44982_neg_1,1.983764756246675,3.9502582889114843,negative
BX640401.2/45102-44982_neg_2,1.983764756246675,3.898247794727009,negative
BX640401.2/45102-44982_neg_3,1.983764756246675,3.943425430656888,negative
AJ609479.1/1-123_neg_1,1.993015993061296,3.969293137088284,negative
AJ609479.1/1-123_neg_2,1.993015993061296,3.937777010764678,negative
AJ609479.1/1-123_neg_3,1.993015993061296,3.951508560953772,negative
AACB02000068.1/10221-10367_neg_1,1.9868234763432284,3.9472875434602352,negative
AACB02000068.1/10221-10367_neg_2,1.9868234763432284,3.9627501583907763,negative
AACB02000068.1/10221-10367_neg_3,1.9868234763432284,3.9541944749564197,negative
ACGJ01001903.1/4369-4514_neg_1,1.9953086804586793,3.9685703700428587,negative
ACGJ01001903.1/4369-4514_neg_2,1.9953086804586793,3.9700805991109815,negative
ACGJ01001903.1/4369-4514_neg_3,1.9953086804586793,3.9669165604209415,negative
AY948676.1/1-131_neg_1,1.995798873382635,3.980586450164749,negative
AY948676.1/1-131_neg_2,1.995798873382635,3.9503886893583453,negative
AY948676.1/1-131_neg_3,1.995798873382635,3.9565865755440663,negative
DQ789464.1/2-132_neg_1,1.995779795088235,3.9549955298735564,negative
DQ789464.1/2-132_neg_2,1.995779795088235,3.975890612903843,negative
DQ789464.1/2-132_neg_3,1.995779795088235,3.966657282090926,negative
AM051048.1/1-129_neg_1,1.9942641251258502,3.9588733617725733,negative
AM051048.1/1-129_neg_2,1.99426412512585,3.960541591840235,negative
