classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,modelo
cd_box,fourier_real,98.59154929577464%,97.63948497854076%,99.17175239755885%,99.41670183131698%,98.75307582260373%,0.8143033981323242s,cd_box_fourier_real_12-05-2023_12-26-07.pickle
cd_box,fourier_zcurve,98.09203142536475%,97.11111111111111%,98.69015356820233%,99.25823692374215%,98.46650836054219%,0.9841599464416504s,cd_box_fourier_zcurve_12-05-2023_12-26-07.pickle
cd_box,entropy_shannon,75.41713014460511%,67.39562624254472%,81.2170579779588%,87.58010036672457%,81.7497611732204%,0.4702308177947998s,cd_box_entropy_shannon_12-05-2023_12-26-07.pickle
cd_box,entropy_tsallis,71.8066743383199%,67.0967741935484%,74.96395963479095%,83.71629416462774%,80.48376351249703%,0.4149899482727051s,cd_box_entropy_tsallis_12-05-2023_12-26-07.pickle
cd_box,complex,99.67567567567568%,99.35344827586206%,99.87001733102254%,99.90033222591363%,99.67672413793103%,0.8987023830413818s,cd_box_complex_12-05-2023_12-26-07.pickle
haca_box,fourier_real,95.31772575250837%,92.53246753246754%,97.0708446866485%,98.37835375575092%,96.09912146676852%,0.8524110317230225s,haca_box_fourier_real_12-05-2023_12-26-11.pickle
haca_box,fourier_zcurve,94.6515397082658%,92.40506329113924%,96.05263157894738%,97.70658019509155%,95.90011229073092%,0.8293006420135498s,haca_box_fourier_zcurve_12-05-2023_12-26-11.pickle
haca_box,entropy_shannon,24.479166666666668%,15.210355987055015%,38.58784893267652%,73.75669944090997%,56.66872314402919%,0.4176023006439209s,haca_box_entropy_shannon_12-05-2023_12-26-11.pickle
haca_box,entropy_tsallis,33.56973995271868%,22.903225806451612%,46.58792650918635%,74.34910483925835%,60.04599041326596%,0.40796875953674316s,haca_box_entropy_tsallis_12-05-2023_12-26-11.pickle
haca_box,complex,97.22222222222221%,94.5945945945946%,98.87005649717513%,99.47506561679789%,97.2972972972973%,1.089160442352295s,haca_box_complex_12-05-2023_12-26-11.pickle
