classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,modelo
cd_box,fourier_real,98.67549668874172%,98.02631578947368%,99.06914893617021%,99.20082815734989%,98.85690789473684%,0.6488611698150635s,cd_box_fourier_real_12-05-2023_16-32-50.pickle
cd_box,fourier_zcurve,98.90829694323145%,98.69281045751634%,99.0380411018802%,99.24953737824092%,99.13741881287521%,0.5734381675720215s,cd_box_fourier_zcurve_12-05-2023_16-32-50.pickle
cd_box,entropy_shannon,80.18223234624145%,76.19047619047619%,82.7845719661336%,86.8076923076923%,84.74094040131776%,0.3500378131866455s,cd_box_entropy_shannon_12-05-2023_16-32-50.pickle
cd_box,entropy_tsallis,78.26086956521738%,75.48387096774194%,80.02735978112176%,84.83231707317074%,83.48326040500662%,0.3635258674621582s,cd_box_entropy_tsallis_12-05-2023_16-32-50.pickle
cd_box,complex,99.88674971687429%,99.77375565610859%,99.95466908431551%,99.94871794871794%,99.8868778280543%,0.5903024673461914s,cd_box_complex_12-05-2023_16-32-50.pickle
haca_box,fourier_real,95.65217391304347%,94.82758620689656%,96.15384615384616%,97.47162022703819%,96.89512090427816%,0.6105532646179199s,haca_box_fourier_real_12-05-2023_16-32-53.pickle
haca_box,fourier_zcurve,97.64309764309765%,96.02649006622516%,98.63945578231292%,99.03383362287472%,97.90820301630586%,0.6069884300231934s,haca_box_fourier_zcurve_12-05-2023_16-32-53.pickle
haca_box,entropy_shannon,39.75659229208925%,31.210191082802545%,47.57281553398058%,67.32779004807068%,61.296584903103394%,0.32428407669067383s,haca_box_entropy_shannon_12-05-2023_16-32-53.pickle
haca_box,entropy_tsallis,55.1094890510949%,49.67105263157895%,58.984375%,73.3683655250771%,69.9407894736842%,0.3444249629974365s,haca_box_entropy_tsallis_12-05-2023_16-32-53.pickle
haca_box,complex,97.98657718120806%,96.36963696369637%,98.9830508474576%,99.25703103635647%,98.13224224630666%,0.7221634387969971s,haca_box_complex_12-05-2023_16-32-53.pickle
