classe,metodo,f1_score,recall,fbeta_score,tempo_corrido,modelo
cd_box,fourier_real,98.61259338313766%,97.88135593220339%,99.05660377358491%,0.5723514556884766s,cd_box_fourier_real_14-04-2023_20-47-06.pickle
cd_box,fourier_zcurve,99.45945945945947%,99.13793103448276%,99.65337954939342%,0.42946863174438477s,cd_box_fourier_zcurve_14-04-2023_20-47-06.pickle
cd_box,entropy_shannon,89.1005291005291%,92.73127753303964%,87.05541770057899%,0.28777456283569336s,cd_box_entropy_shannon_14-04-2023_20-47-06.pickle
cd_box,entropy_tsallis,96.52996845425866%,97.04016913319239%,96.22641509433963%,0.2861146926879883s,cd_box_entropy_tsallis_14-04-2023_20-47-06.pickle
cd_box,complex,99.8914223669924%,99.78308026030369%,99.95654063450674%,0.3560061454772949s,cd_box_complex_14-04-2023_20-47-06.pickle
haca_box,fourier_real,98.27586206896552%,97.6027397260274%,98.68421052631581%,0.46556591987609863s,haca_box_fourier_real_14-04-2023_20-47-08.pickle
haca_box,fourier_zcurve,98.78260869565219%,98.95470383275261%,98.679638637943%,0.4461643695831299s,haca_box_fourier_zcurve_14-04-2023_20-47-08.pickle
haca_box,entropy_shannon,85.79626972740316%,95.22292993630573%,80.98591549295776%,0.32486581802368164s,haca_box_entropy_shannon_14-04-2023_20-47-08.pickle
haca_box,entropy_tsallis,97.15242881072027%,96.98996655518395%,97.25016767270287%,0.3062434196472168s,haca_box_entropy_tsallis_14-04-2023_20-47-08.pickle
haca_box,complex,99.83633387888707%,100.0%,99.73839110529758%,0.4102001190185547s,haca_box_complex_14-04-2023_20-47-08.pickle
