classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao,modelo,desvio_padrao_cdbox (n = 5),desvio_padrao_hacabox (n = 5)
cd_box,fourier_real,98.36423118865866%,96.98924731182795%,99.20809502859657%,99.16323945213527%,98.44204742037243%,0.783057689666748s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 950, 'fp': 1, 'fn': 14, 'tp': 451}",cd_box_fourier_real_20-05-2023_21-42-34.pickle,,
cd_box,fourier_zcurve,98.68995633187772%,97.62419006479482%,99.34065934065934%,99.31849284451872%,98.75962913523057%,0.7177317142486572s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 952, 'fp': 1, 'fn': 11, 'tp': 452}",cd_box_fourier_zcurve_20-05-2023_21-42-34.pickle,,
cd_box,entropy_shannon,78.50055126791621%,73.25102880658436%,82.02764976958525%,85.74762171904653%,83.1308907473782%,0.4418654441833496s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 865, 'fp': 65, 'fn': 130, 'tp': 356}",cd_box_entropy_shannon_20-05-2023_21-42-34.pickle,,
cd_box,entropy_tsallis,80.17241379310346%,78.98089171974523%,80.90474119182252%,85.53859212390734%,84.99309136251811%,0.38504838943481445s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 860, 'fp': 85, 'fn': 99, 'tp': 372}",cd_box_entropy_tsallis_20-05-2023_21-42-34.pickle,,
cd_box,complex,99.79550102249488%,99.59183673469387%,99.91809991809991%,99.89224137931035%,99.79591836734694%,0.8111929893493652s,"{'class': 'cd_box', 'method': 'complex', 'tn': 926, 'fp': 0, 'fn': 2, 'tp': 488}",cd_box_complex_20-05-2023_21-42-34.pickle,,
cd_box,fourier_real,98.71794871794873%,98.29787234042553%,98.97172236503856%,99.14976281906482%,98.9375196797265%,0.6432552337646484s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 942, 'fp': 4, 'fn': 8, 'tp': 462}",cd_box_fourier_real_20-05-2023_21-42-34.pickle,,
cd_box,fourier_zcurve,99.07502569373074%,99.58677685950413%,98.7704918032787%,99.17637871357569%,99.41785194906537%,0.8421101570129395s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 925, 'fp': 7, 'fn': 2, 'tp': 482}",cd_box_fourier_zcurve_20-05-2023_21-42-34.pickle,,
cd_box,entropy_shannon,79.07995618838993%,76.80851063829788%,80.50847457627118%,85.14368769415297%,84.07021726418066%,0.4396693706512451s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 864, 'fp': 82, 'fn': 109, 'tp': 361}",cd_box_entropy_shannon_20-05-2023_21-42-34.pickle,,
cd_box,entropy_tsallis,78.56388595564941%,73.95626242544732%,81.61474330846863%,85.15320876431987%,83.03508630582334%,0.44153690338134766s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 841, 'fp': 72, 'fn': 131, 'tp': 372}",cd_box_entropy_tsallis_20-05-2023_21-42-34.pickle,,
cd_box,complex,99.49748743718592%,99.0%,99.7983870967742%,99.728555917481%,99.5%,0.7871737480163574s,"{'class': 'cd_box', 'method': 'complex', 'tn': 916, 'fp': 0, 'fn': 5, 'tp': 495}",cd_box_complex_20-05-2023_21-42-34.pickle,,
