classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao,modelo,desvio_padrao (n = 5)
cd_box,fourier_real,98.11320754716981%,97.0954356846473%,98.73417721518987%,98.83474576271188%,98.333585080011%,0.8463068008422852s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 930, 'fp': 4, 'fn': 14, 'tp': 468}",cd_box_fourier_real_20-05-2023_21-47-44.pickle,
cd_box,fourier_zcurve,99.02912621359224%,98.49785407725322%,99.35064935064935%,99.41658811370682%,99.14366388073186%,0.6792969703674316s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 948, 'fp': 2, 'fn': 7, 'tp': 459}",cd_box_fourier_zcurve_20-05-2023_21-47-44.pickle,
cd_box,entropy_shannon,81.04575163398692%,78.48101265822784%,82.66666666666667%,86.64497831164498%,85.41885027815852%,0.3640313148498535s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 870, 'fp': 72, 'fn': 102, 'tp': 372}",cd_box_entropy_shannon_20-05-2023_21-47-44.pickle,
cd_box,entropy_tsallis,79.82646420824295%,79.3103448275862%,80.13937282229963%,85.1642340757218%,84.92828165749057%,0.4814608097076416s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 862, 'fp': 90, 'fn': 96, 'tp': 368}",cd_box_entropy_tsallis_20-05-2023_21-47-44.pickle,
cd_box,complex,99.89615784008308%,99.79253112033194%,99.95843724023275%,99.94652406417113%,99.89626556016597%,0.7023754119873047s,"{'class': 'cd_box', 'method': 'complex', 'tn': 934, 'fp': 0, 'fn': 1, 'tp': 481}",cd_box_complex_20-05-2023_21-47-44.pickle,
cd_box,fourier_real,98.01324503311258%,97.79735682819384%,98.14323607427056%,98.59637204861748%,98.4828779982965%,0.5997328758239746s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 954, 'fp': 8, 'fn': 10, 'tp': 444}",cd_box_fourier_real_20-05-2023_21-47-44.pickle,
cd_box,fourier_zcurve,98.75706214689265%,98.42342342342343%,98.95833333333331%,99.18751090179661%,99.00595039483929%,0.5996689796447754s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 968, 'fp': 4, 'fn': 7, 'tp': 437}",cd_box_fourier_zcurve_20-05-2023_21-47-44.pickle,
cd_box,entropy_shannon,78.9766407119021%,76.34408602150538%,80.64516129032259%,85.29780284756961%,84.0185204029714%,0.36928439140319824s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 872, 'fp': 79, 'fn': 110, 'tp': 355}",cd_box_entropy_shannon_20-05-2023_21-47-44.pickle,
cd_box,entropy_tsallis,80.79331941544885%,78.18181818181819%,82.44567533020877%,86.12633969345411%,84.96495903662027%,0.5130107402801514s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 845, 'fp': 76, 'fn': 108, 'tp': 387}",cd_box_entropy_tsallis_20-05-2023_21-47-44.pickle,
cd_box,complex,99.6742671009772%,99.56616052060737%,99.73924380704041%,99.78670183736584%,99.73072423936128%,0.7084605693817139s,"{'class': 'cd_box', 'method': 'complex', 'tn': 954, 'fp': 1, 'fn': 2, 'tp': 459}",cd_box_complex_20-05-2023_21-47-44.pickle,
cd_box,fourier_real,98.80823401950163%,98.48812095032397%,99.00130264871908%,99.19910860469348%,99.03419688649463%,0.6305892467498779s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 949, 'fp': 4, 'fn': 7, 'tp': 456}",cd_box_fourier_real_20-05-2023_21-47-44.pickle,
cd_box,fourier_zcurve,97.86324786324786%,97.23991507430998%,98.24109824109823%,98.56382076591703%,98.24958716678462%,0.5807788372039795s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 938, 'fp': 7, 'fn': 13, 'tp': 458}",cd_box_fourier_zcurve_20-05-2023_21-47-44.pickle,
cd_box,entropy_shannon,79.18170878459688%,75.45871559633028%,81.59722222222221%,86.40560879753035%,84.36201085938961%,0.4141867160797119s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 914, 'fp': 66, 'fn': 107, 'tp': 329}",cd_box_entropy_shannon_20-05-2023_21-47-44.pickle,
cd_box,entropy_tsallis,80.51948051948052%,77.17842323651453%,82.66666666666667%,86.43463071534094%,84.84188827778615%,0.4241943359375s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 864, 'fp': 70, 'fn': 110, 'tp': 372}",cd_box_entropy_tsallis_20-05-2023_21-47-44.pickle,
cd_box,complex,99.57805907172997%,99.15966386554622%,99.83079526226734%,99.78813559322035%,99.57983193277312%,0.6886787414550781s,"{'class': 'cd_box', 'method': 'complex', 'tn': 940, 'fp': 0, 'fn': 4, 'tp': 472}",cd_box_complex_20-05-2023_21-47-44.pickle,
cd_box,fourier_real,97.64453961456103%,96.81528662420382%,98.14894532931552%,98.45707201765936%,98.03727294173154%,0.5891163349151611s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 938, 'fp': 7, 'fn': 15, 'tp': 456}",cd_box_fourier_real_20-05-2023_21-47-44.pickle,
cd_box,fourier_zcurve,99.02702702702703%,98.70689655172413%,99.22010398613517%,99.36048426480109%,99.19588525065198%,0.5852103233337402s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 949, 'fp': 3, 'fn': 6, 'tp': 458}",cd_box_fourier_zcurve_20-05-2023_21-47-44.pickle,
cd_box,entropy_shannon,79.45516458569807%,75.43103448275862%,82.08255159474672%,86.26072115280749%,84.19660967835411%,0.3788762092590332s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 885, 'fp': 67, 'fn': 114, 'tp': 350}",cd_box_entropy_shannon_20-05-2023_21-47-44.pickle,
cd_box,entropy_tsallis,79.82261640798225%,80.53691275167785%,79.40008822232024%,85.03390470091823%,85.36649559152521%,0.39528608322143555s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 874, 'fp': 95, 'fn': 87, 'tp': 360}",cd_box_entropy_tsallis_20-05-2023_21-47-44.pickle,
cd_box,complex,99.89373007438896%,99.78768577494692%,99.95746490854955%,99.94714587737843%,99.89384288747345%,0.6863393783569336s,"{'class': 'cd_box', 'method': 'complex', 'tn': 945, 'fp': 0, 'fn': 1, 'tp': 470}",cd_box_complex_20-05-2023_21-47-44.pickle,
cd_box,fourier_real,97.59299781181619%,96.95652173913044%,97.97891036906854%,98.3912920036268%,98.0598508277242%,0.5675594806671143s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 948, 'fp': 8, 'fn': 14, 'tp': 446}",cd_box_fourier_real_20-05-2023_21-47-44.pickle,
cd_box,fourier_zcurve,98.89867841409692%,98.68131868131869%,99.02955447728276%,99.24697241649646%,99.132542795394%,0.6031808853149414s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 957, 'fp': 4, 'fn': 6, 'tp': 449}",cd_box_fourier_zcurve_20-05-2023_21-47-44.pickle,
cd_box,entropy_shannon,79.19621749408982%,75.28089887640449%,81.74719375305027%,86.35185435426213%,84.2418912507666%,0.3907346725463867s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 905, 'fp': 66, 'fn': 110, 'tp': 335}",cd_box_entropy_shannon_20-05-2023_21-47-44.pickle,
cd_box,entropy_tsallis,79.49526813880125%,81.29032258064515%,78.4557907845579%,84.21146953405018%,84.96692785183679%,0.40802669525146484s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 843, 'fp': 108, 'fn': 87, 'tp': 378}",cd_box_entropy_tsallis_20-05-2023_21-47-44.pickle,
cd_box,complex,99.44629014396456%,98.89867841409692%,99.77777777777779%,99.74146845915202%,99.44933920704845%,0.6948802471160889s,"{'class': 'cd_box', 'method': 'complex', 'tn': 962, 'fp': 0, 'fn': 5, 'tp': 449}",cd_box_complex_20-05-2023_21-47-44.pickle,
haca_box,fourier_real,96.36048526863085%,93.60269360269359%,98.09456598447423%,98.66749779994133%,96.69685359340531%,0.6220283508300781s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 955, 'fp': 2, 'fn': 19, 'tp': 278}",haca_box_fourier_real_20-05-2023_21-47-58.pickle,
haca_box,fourier_zcurve,97.54500818330605%,96.12903225806451%,98.41479524438574%,98.87207036356601%,97.90561782394752%,0.7318878173828125s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 941, 'fp': 3, 'fn': 12, 'tp': 298}",haca_box_fourier_zcurve_20-05-2023_21-47-58.pickle,
haca_box,entropy_shannon,40.362811791383216%,29.276315789473685%,52.230046948356815%,72.8577589868587%,62.11184210526315%,0.3596961498260498s,"{'class': 'haca_box', 'method': 'entropy_shannon', 'tn': 902, 'fp': 48, 'fn': 215, 'tp': 89}",haca_box_entropy_shannon_20-05-2023_21-47-58.pickle,
