classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao
cd_box,fourier_real,98.82604055496265%,98.30148619957538%,99.14346895074947%,99.25705895640388%,98.99201294105752%,0.7502741813659668s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 942, 'fp': 3, 'fn': 8, 'tp': 463}"
cd_box,fourier_real,97.83080260303687%,96.98924731182795%,98.34278238116005%,98.61361785046878%,98.17916624266476%,0.5874230861663818s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 945, 'fp': 6, 'fn': 14, 'tp': 451}"
cd_box,fourier_real,98.92933618843684%,98.50746268656717%,99.18419922713612%,99.30938570604798%,99.09533641192138%,0.5753705501556396s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 944, 'fp': 3, 'fn': 7, 'tp': 462}"
cd_box,fourier_real,98.1541802388708%,97.62419006479482%,98.47494553376906%,98.77086543107455%,98.49729964939637%,0.58339524269104s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 947, 'fp': 6, 'fn': 11, 'tp': 452}"
cd_box,fourier_real,98.1171548117155%,97.10144927536231%,98.73684210526315%,98.83485524808368%,98.33636236544106%,0.5325663089752197s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 929, 'fp': 4, 'fn': 14, 'tp': 469}"
cd_box,fourier_zcurve,98.05194805194806%,97.00214132762312%,98.69281045751633%,98.83243623121277%,98.29032250785794%,0.546658992767334s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 945, 'fp': 4, 'fn': 14, 'tp': 453}"
cd_box,fourier_zcurve,99.26854754440961%,99.16492693110646%,99.33082392304475%,99.47297285241456%,99.4223780866845%,0.502711296081543s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 934, 'fp': 3, 'fn': 4, 'tp': 475}"
cd_box,fourier_zcurve,98.46491228070175%,97.82135076252723%,98.85512989872302%,99.0392880966626%,98.70168896538065%,0.5301768779754639s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 953, 'fp': 4, 'fn': 10, 'tp': 449}"
cd_box,fourier_zcurve,98.9247311827957%,98.9247311827957%,98.9247311827957%,99.19948441369017%,99.19948441369017%,0.5056540966033936s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 946, 'fp': 5, 'fn': 5, 'tp': 460}"
cd_box,fourier_zcurve,98.49785407725322%,98.07692307692307%,98.75215146299485%,98.98851782092147%,98.77474845829276%,0.506089448928833s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 943, 'fp': 5, 'fn': 9, 'tp': 459}"
cd_box,entropy_shannon,80.18223234624145%,76.52173913043478%,82.55159474671669%,86.69444151460817%,84.8089867200291%,0.39130258560180664s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 890, 'fp': 66, 'fn': 108, 'tp': 352}"
cd_box,entropy_shannon,78.74720357941834%,73.48643006263048%,82.28143992519867%,86.06598221056052%,83.38142207507191%,0.31268739700317383s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 874, 'fp': 63, 'fn': 127, 'tp': 352}"
cd_box,entropy_shannon,79.22814982973894%,78.07606263982103%,79.93586807146129%,85.21755657127841%,84.65206640762982%,0.3157169818878174s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 884, 'fp': 85, 'fn': 98, 'tp': 349}"
cd_box,entropy_shannon,80.99891422366991%,78.8583509513742%,82.33995584988962%,86.46417502951593%,85.45250527420248%,0.31772947311401367s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 868, 'fp': 75, 'fn': 100, 'tp': 373}"
cd_box,entropy_shannon,77.15269804822043%,75.0%,78.50467289719626%,84.07683572239722%,83.00619834710744%,0.3306748867034912s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 881, 'fp': 87, 'fn': 112, 'tp': 336}"
cd_box,entropy_tsallis,78.91440501043841%,78.42323651452283%,79.21207041072925%,84.17396745932415%,83.96536558060187%,0.3288424015045166s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 836, 'fp': 98, 'fn': 104, 'tp': 378}"
