classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao,modelo,desvio_padrao_cdbox (n = 10),desvio_padrao_hacabox (n = 10)
cd_box,fourier_zcurve,99.48078920041536%,99.17184265010351%,99.66708281315023%,99.68215811965813%,99.53233075699173%,0.5944311618804932s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 932, 'fp': 1, 'fn': 4, 'tp': 479}",cd_box_fourier_zcurve_19-05-2023_09-56-15.pickle,52.6250168646054,86.981168076774
cd_box,fourier_zcurve,98.92703862660944%,98.7152034261242%,99.05457670820799%,99.25443505986907%,99.14685355710846%,0.5496582984924316s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 945, 'fp': 4, 'fn': 6, 'tp': 461}",cd_box_fourier_zcurve_19-05-2023_09-56-15.pickle,,
cd_box,fourier_zcurve,99.03121636167921%,99.35205183585313%,98.83970777825525%,99.19832843912356%,99.36123053492553%,0.541365385055542s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 947, 'fp': 6, 'fn': 3, 'tp': 460}",cd_box_fourier_zcurve_19-05-2023_09-56-15.pickle,,
cd_box,fourier_zcurve,98.14207650273225%,97.60869565217392%,98.46491228070175%,98.76833884117964%,98.49054029470621%,0.5958676338195801s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 950, 'fp': 6, 'fn': 11, 'tp': 449}",cd_box_fourier_zcurve_19-05-2023_09-56-15.pickle,,
cd_box,fourier_zcurve,98.87387387387388%,98.65168539325843%,99.00766801984663%,99.24020796262056%,99.11986947314824%,0.6158924102783203s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 967, 'fp': 4, 'fn': 6, 'tp': 439}",cd_box_fourier_zcurve_19-05-2023_09-56-15.pickle,,
cd_box,fourier_zcurve,98.29424307036248%,98.50427350427351%,98.1686541737649%,98.67257433313841%,98.77745320783295%,0.6182706356048584s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 939, 'fp': 9, 'fn': 7, 'tp': 461}",cd_box_fourier_zcurve_19-05-2023_09-56-15.pickle,,
cd_box,fourier_zcurve,98.85057471264368%,98.9539748953975%,98.78863826232246%,99.10688623354864%,99.15715802339172%,0.5324399471282959s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 932, 'fp': 6, 'fn': 5, 'tp': 473}",cd_box_fourier_zcurve_19-05-2023_09-56-15.pickle,,
cd_box,fourier_zcurve,98.57923497267758%,98.6870897155361%,98.51463521188292%,98.92265545942693%,98.97858135411842%,0.5161070823669434s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 952, 'fp': 7, 'fn': 6, 'tp': 451}",cd_box_fourier_zcurve_19-05-2023_09-56-15.pickle,,
cd_box,fourier_zcurve,99.09909909909909%,99.32279909706546%,98.96536212325685%,99.28372232958029%,99.40446224123572%,0.524498701095581s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 968, 'fp': 5, 'fn': 3, 'tp': 440}",cd_box_fourier_zcurve_19-05-2023_09-56-15.pickle,,
cd_box,fourier_zcurve,98.8938053097345%,98.45814977973568%,99.15705412599823%,99.30434782608695%,99.07314973394267%,0.5288848876953125s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 959, 'fp': 3, 'fn': 7, 'tp': 447}",cd_box_fourier_zcurve_19-05-2023_09-56-15.pickle,,
cd_box,fourier_real,98.79253567508232%,97.82608695652173%,99.38162544169613%,99.371000539963%,98.86074222303074%,1.0558996200561523s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 955, 'fp': 1, 'fn': 10, 'tp': 450}",cd_box_fourier_real_19-05-2023_09-56-15.pickle,,
cd_box,fourier_real,98.35051546391752%,97.94661190965093%,98.59446052087641%,98.84297630697742%,98.65037807538519%,0.5042471885681152s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 923, 'fp': 6, 'fn': 10, 'tp': 477}",cd_box_fourier_real_19-05-2023_09-56-15.pickle,,
cd_box,fourier_real,98.36779107725788%,97.62419006479482%,98.81941407958024%,98.98848684210526%,98.60223144373003%,0.5771474838256836s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 949, 'fp': 4, 'fn': 11, 'tp': 452}",cd_box_fourier_real_19-05-2023_09-56-15.pickle,,
cd_box,fourier_real,98.13278008298755%,97.1252566735113%,98.74739039665971%,98.83523887984676%,98.34734308379547%,0.5913493633270264s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 925, 'fp': 4, 'fn': 14, 'tp': 473}",cd_box_fourier_real_19-05-2023_09-56-15.pickle,,
cd_box,fourier_real,98.63945578231292%,98.63945578231292%,98.63945578231292%,99.01203558346415%,99.01203558346415%,0.5409903526306152s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 969, 'fp': 6, 'fn': 6, 'tp': 435}",cd_box_fourier_real_19-05-2023_09-56-15.pickle,,
cd_box,fourier_real,97.91437980241491%,97.1677559912854%,98.36788707543009%,98.66200932691956%,98.27039837181825%,0.5155215263366699s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 951, 'fp': 6, 'fn': 13, 'tp': 446}",cd_box_fourier_real_19-05-2023_09-56-15.pickle,,
cd_box,fourier_real,99.13793103448275%,98.29059829059828%,99.65337954939339%,99.581589958159%,99.14529914529915%,0.5198466777801514s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 948, 'fp': 0, 'fn': 8, 'tp': 460}",cd_box_fourier_real_19-05-2023_09-56-15.pickle,,
cd_box,fourier_real,98.3640081799591%,97.36842105263158%,98.97119341563784%,98.99265775192423%,98.52152072154355%,0.4996070861816406s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 919, 'fp': 3, 'fn': 13, 'tp': 481}",cd_box_fourier_real_19-05-2023_09-56-15.pickle,,
cd_box,fourier_real,99.009900990099%,98.0392156862745%,99.60159362549798%,99.53416149068323%,99.01960784313727%,0.5141069889068604s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 957, 'fp': 0, 'fn': 9, 'tp': 450}",cd_box_fourier_real_19-05-2023_09-56-15.pickle,,
