classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao
cd_box,fourier_real,99.45115257958288%,98.90829694323145%,99.77973568281939%,99.74039460020768%,99.45414847161572%,0.7026238441467285s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 958, 'fp': 0, 'fn': 5, 'tp': 453}"
cd_box,fourier_real,98.39679358717436%,97.22772277227722%,99.11182882519178%,99.03876371036328%,98.50409190205518%,0.6688499450683594s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 909, 'fp': 2, 'fn': 14, 'tp': 491}"
cd_box,fourier_real,97.52421959095803%,95.77167019027483%,98.60687853722247%,98.62938596491229%,97.72676828707804%,0.762453556060791s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 940, 'fp': 3, 'fn': 20, 'tp': 453}"
cd_box,fourier_real,98.1541802388708%,98.0477223427332%,98.21816601477619%,98.65972348553757%,98.60501300382732%,0.6807620525360107s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 947, 'fp': 8, 'fn': 9, 'tp': 452}"
cd_box,fourier_real,98.83351007423119%,99.14893617021276%,98.64521591871296%,99.04795320588559%,99.20448922675544%,0.6502118110656738s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 939, 'fp': 7, 'fn': 4, 'tp': 466}"
cd_box,fourier_zcurve,99.34924078091107%,99.13419913419914%,99.47871416159863%,99.57340367473168%,99.46227776416455%,0.6978380680084229s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 952, 'fp': 2, 'fn': 4, 'tp': 458}"
cd_box,fourier_zcurve,99.12663755458516%,98.91067538126362%,99.25666812418014%,99.41108421199144%,99.29859787871958%,0.6530168056488037s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 954, 'fp': 3, 'fn': 5, 'tp': 454}"
cd_box,fourier_zcurve,99.03536977491962%,99.14163090128756%,98.97172236503854%,99.25391993826477%,99.30765755590694%,0.8062357902526855s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 945, 'fp': 5, 'fn': 4, 'tp': 462}"
cd_box,fourier_zcurve,98.38882921589688%,97.03389830508475%,99.22010398613517%,99.15961508253596%,98.46398305084745%,0.7548215389251709s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 943, 'fp': 1, 'fn': 14, 'tp': 458}"
cd_box,fourier_zcurve,98.65771812080537%,98.0%,99.05660377358491%,99.1991991991992%,98.84472049689441%,0.7084670066833496s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 963, 'fp': 3, 'fn': 9, 'tp': 441}"
cd_box,entropy_shannon,78.0821917808219%,74.83588621444201%,80.16877637130801%,85.04415394153821%,83.40334456707502%,0.616593599319458s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 882, 'fp': 77, 'fn': 115, 'tp': 342}"
cd_box,entropy_shannon,81.87001140250855%,78.04347826086956%,84.3515037593985%,87.99050849410561%,85.9882663270875%,0.3461480140686035s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 898, 'fp': 58, 'fn': 101, 'tp': 359}"
cd_box,entropy_shannon,81.59437280187572%,78.91156462585033%,83.2934418382001%,87.60153560515221%,86.1737310308739%,0.32811617851257324s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 911, 'fp': 64, 'fn': 93, 'tp': 348}"
cd_box,entropy_shannon,78.2006920415225%,72.59100642398288%,82.00290275761974%,86.0757874015748%,83.08159383369849%,0.3279304504394531s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 888, 'fp': 61, 'fn': 128, 'tp': 339}"
cd_box,entropy_shannon,80.59701492537313%,79.07949790794979%,81.53580672993961%,85.85683099872658%,85.16874682177873%,0.3310971260070801s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 856, 'fp': 82, 'fn': 100, 'tp': 378}"
cd_box,entropy_tsallis,79.12087912087912%,74.07407407407408%,82.49312557286892%,86.10202373706635%,83.59617682198326%,0.36907505989074707s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 866, 'fp': 64, 'fn': 126, 'tp': 360}"
cd_box,entropy_tsallis,79.69094922737307%,79.51541850220264%,79.79664014146773%,85.1099768663019%,85.02797952137158%,0.36621522903442383s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 871, 'fp': 91, 'fn': 93, 'tp': 361}"
cd_box,entropy_tsallis,80.77336197636949%,80.17057569296375%,81.13940440224427%,85.8184268561627%,85.54463314743225%,0.38198304176330566s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 861, 'fp': 86, 'fn': 93, 'tp': 376}"
cd_box,entropy_tsallis,82.75132275132276%,83.01486199575372%,82.59400084495142%,86.99844123733506%,87.11589660634247%,0.3673887252807617s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 862, 'fp': 83, 'fn': 80, 'tp': 391}"
cd_box,entropy_tsallis,82.30366492146597%,81.53526970954357%,82.77169334456615%,86.82435840812126%,86.48497960851911%,0.3528296947479248s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 854, 'fp': 80, 'fn': 89, 'tp': 393}"
cd_box,complex,99.55752212389382%,99.11894273127754%,99.82253771073648%,99.79296066252587%,99.55947136563876%,0.5774083137512207s,"{'class': 'cd_box', 'method': 'complex', 'tn': 962, 'fp': 0, 'fn': 4, 'tp': 450}"
cd_box,complex,99.3576017130621%,99.14529914529915%,99.48542024013722%,99.57488140953241%,99.46716434058207%,0.6038525104522705s,"{'class': 'cd_box', 'method': 'complex', 'tn': 946, 'fp': 2, 'fn': 4, 'tp': 464}"
cd_box,complex,99.68387776606956%,99.36974789915966%,99.8733108108108%,99.84093319194062%,99.68487394957984%,0.6295201778411865s,"{'class': 'cd_box', 'method': 'complex', 'tn': 940, 'fp': 0, 'fn': 3, 'tp': 473}"
cd_box,complex,99.60552268244575%,99.40944881889764%,99.72353870458136%,99.73635060591583%,99.64965833015367%,0.6082687377929688s,"{'class': 'cd_box', 'method': 'complex', 'tn': 907, 'fp': 1, 'fn': 3, 'tp': 505}"
cd_box,complex,99.90049751243781%,99.80119284294234%,99.96017522899243%,99.945295404814%,99.90059642147118%,0.6547763347625732s,"{'class': 'cd_box', 'method': 'complex', 'tn': 913, 'fp': 0, 'fn': 1, 'tp': 502}"
haca_box,fourier_real,94.97400346620452%,91.94630872483222%,96.88826025459689%,97.87317342156052%,95.7116480862655%,0.6853160858154297s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 951, 'fp': 5, 'fn': 24, 'tp': 274}"
haca_box,fourier_real,95.98662207357859%,94.71947194719472%,96.76331759946056%,97.80986550255386%,96.93912608926509%,0.740419864654541s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 943, 'fp': 8, 'fn': 16, 'tp': 287}"
haca_box,fourier_real,96.60743134087238%,94.62025316455697%,97.84031413612564%,98.44613798919323%,97.09690696607379%,0.6094706058502197s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 934, 'fp': 4, 'fn': 17, 'tp': 299}"
haca_box,fourier_real,97.1137521222411%,95.65217391304348%,98.01233721727213%,98.63607096866505%,97.61666287275212%,0.6128034591674805s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 951, 'fp': 4, 'fn': 13, 'tp': 286}"
haca_box,fourier_real,96.17486338797814%,94.28571428571428%,97.34513274336285%,98.25844922914348%,96.88618363156351%,0.6138730049133301s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 969, 'fp': 5, 'fn': 16, 'tp': 264}"
haca_box,fourier_zcurve,96.68874172185431%,96.05263157894737%,97.07446808510637%,98.0377358490566%,97.60526315789474%,0.5925247669219971s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 942, 'fp': 8, 'fn': 12, 'tp': 292}"
haca_box,fourier_zcurve,95.71183533447686%,94.89795918367348%,96.20689655172416%,97.49269412123276%,96.92814625850342%,0.6314361095428467s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 950, 'fp': 10, 'fn': 15, 'tp': 279}"
haca_box,fourier_zcurve,97.32620320855614%,95.78947368421052%,98.27213822894169%,98.84302480661509%,97.73993808049535%,0.602362871170044s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 966, 'fp': 3, 'fn': 12, 'tp': 273}"
haca_box,fourier_zcurve,97.49582637729549%,97.33333333333334%,97.59358288770055%,98.41058327058782%,98.29979035639414%,0.6152775287628174s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 947, 'fp': 7, 'fn': 8, 'tp': 292}"
haca_box,fourier_zcurve,97.0266040688576%,96.875%,97.11779448621553%,98.05458233450119%,97.95570128479658%,0.613731861114502s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 925, 'fp': 9, 'fn': 10, 'tp': 310}"
