classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao
cd_box,fourier_real,98.5355648535565%,98.125%,98.78355704697987%,98.99606651171106%,98.79540598290599%,0.7862868309020996s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 931, 'fp': 5, 'fn': 9, 'tp': 471}"
cd_box,fourier_real,98.34983498349835%,97.81181619256017%,98.67549668874173%,98.92823045569715%,98.64521987938748%,0.5114703178405762s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 954, 'fp': 5, 'fn': 10, 'tp': 447}"
cd_box,fourier_real,98.47094801223241%,98.37067209775967%,98.531211750306%,98.85374884294971%,98.80695767050145%,0.6068956851959229s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 918, 'fp': 7, 'fn': 8, 'tp': 483}"
cd_box,fourier_real,98.32026875699887%,97.12389380530973%,99.05234657039712%,99.10657596371883%,98.45821246282085%,0.5357811450958252s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 962, 'fp': 2, 'fn': 13, 'tp': 439}"
cd_box,fourier_real,98.82604055496266%,98.72068230277186%,98.88936351986331%,99.14935626960943%,99.0963495991156%,0.5313911437988281s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 942, 'fp': 5, 'fn': 6, 'tp': 463}"
cd_box,fourier_zcurve,99.34924078091107%,99.13419913419914%,99.47871416159863%,99.57340367473168%,99.46227776416455%,0.6279349327087402s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 952, 'fp': 2, 'fn': 4, 'tp': 458}"
cd_box,fourier_zcurve,98.80043620501635%,98.2646420824295%,99.12472647702405%,99.25438596491229%,98.97525297838752%,0.6158592700958252s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 952, 'fp': 3, 'fn': 8, 'tp': 453}"
cd_box,fourier_zcurve,98.68708971553612%,99.12087912087912%,98.42863378437364%,98.91955388912793%,99.14420646990887%,0.6061294078826904s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 953, 'fp': 8, 'fn': 4, 'tp': 451}"
cd_box,fourier_zcurve,99.11308203991132%,98.89380530973452%,99.24511545293072%,99.40786749482402%,99.29130099511623%,0.6777381896972656s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 961, 'fp': 3, 'fn': 5, 'tp': 447}"
cd_box,fourier_zcurve,98.10479375696767%,97.5609756097561%,98.43400447427292%,98.76034395081133%,98.46960697586252%,0.6249711513519287s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 959, 'fp': 6, 'fn': 11, 'tp': 440}"
cd_box,entropy_shannon,77.81569965870307%,71.25%,82.36994219653178%,86.0724820901812%,82.5801282051282%,0.4631500244140625s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 879, 'fp': 57, 'fn': 138, 'tp': 342}"
cd_box,entropy_shannon,76.62037037037038%,70.72649572649573%,80.65302144249512%,85.0772430184195%,81.93497782105378%,0.44246721267700195s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 883, 'fp': 65, 'fn': 137, 'tp': 331}"
cd_box,entropy_shannon,79.10614525139665%,75.64102564102564%,81.34191176470587%,85.6885932612366%,83.97030185004868%,0.4508934020996094s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 875, 'fp': 73, 'fn': 114, 'tp': 354}"
cd_box,entropy_shannon,78.03790412486066%,73.37526205450735%,81.13120074177098%,85.29116465863453%,82.96026148518764%,0.36638307571411133s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 869, 'fp': 70, 'fn': 127, 'tp': 350}"
cd_box,entropy_shannon,80.70588235294117%,76.05321507760532%,83.781143136297%,87.67272162707653%,85.12505313465756%,0.35062336921691895s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 909, 'fp': 56, 'fn': 108, 'tp': 343}"
cd_box,entropy_tsallis,80.96280087527353%,79.91360691144709%,81.60564622849581%,86.20130280436106%,85.70706578520938%,0.36306285858154297s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 872, 'fp': 81, 'fn': 93, 'tp': 370}"
cd_box,entropy_tsallis,80.26172300981462%,81.41592920353983%,79.5847750865052%,85.15348868762932%,85.67684426981971%,0.3462486267089844s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 867, 'fp': 97, 'fn': 84, 'tp': 368}"
cd_box,entropy_tsallis,79.19746568109821%,78.125%,79.85519591141396%,84.61775383983591%,84.14797008547008%,0.4062507152557373s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 844, 'fp': 92, 'fn': 105, 'tp': 375}"
cd_box,entropy_tsallis,80.85106382978724%,78.99343544857767%,82.00817810086323%,86.50112338513387%,85.58639447089989%,0.4817848205566406s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 884, 'fp': 75, 'fn': 96, 'tp': 361}"
cd_box,entropy_tsallis,77.44107744107744%,77.3542600896861%,77.49326145552561%,83.5632210509263%,83.52249086958533%,0.3946828842163086s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 870, 'fp': 100, 'fn': 101, 'tp': 345}"
cd_box,complex,99.66850828729282%,99.33920704845815%,99.86713906111603%,99.84455958549223%,99.66960352422906%,0.5752761363983154s,"{'class': 'cd_box', 'method': 'complex', 'tn': 962, 'fp': 0, 'fn': 3, 'tp': 451}"
cd_box,complex,99.7872340425532%,99.7872340425532%,99.7872340425532%,99.84076289865503%,99.84076289865503%,0.6312446594238281s,"{'class': 'cd_box', 'method': 'complex', 'tn': 945, 'fp': 1, 'fn': 1, 'tp': 469}"
cd_box,complex,99.7787610619469%,99.55849889624724%,99.91138679663268%,99.89637305699482%,99.77924944812362%,0.6732048988342285s,"{'class': 'cd_box', 'method': 'complex', 'tn': 963, 'fp': 0, 'fn': 2, 'tp': 451}"
cd_box,complex,99.8914223669924%,99.78308026030369%,99.95654063450674%,99.94769874476988%,99.89154013015184%,0.6136791706085205s,"{'class': 'cd_box', 'method': 'complex', 'tn': 955, 'fp': 0, 'fn': 1, 'tp': 460}"
cd_box,complex,99.78813559322035%,99.57716701902748%,99.91514637250741%,99.8941798941799%,99.78858350951374%,0.6263325214385986s,"{'class': 'cd_box', 'method': 'complex', 'tn': 943, 'fp': 0, 'fn': 2, 'tp': 471}"
haca_box,fourier_real,96.26998223801067%,93.44827586206897%,98.04630969609262%,98.66530004144683%,96.62040349120046%,0.7532248497009277s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 962, 'fp': 2, 'fn': 19, 'tp': 271}"
haca_box,fourier_real,95.33678756476685%,91.69435215946844%,97.66454352441613%,98.35955006486614%,95.74224428540053%,0.5795001983642578s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 951, 'fp': 2, 'fn': 25, 'tp': 276}"
haca_box,fourier_real,94.9919224555735%,93.9297124600639%,95.64085881587508%,97.03710598163315%,96.32723667636563%,0.6242308616638184s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 929, 'fp': 12, 'fn': 19, 'tp': 294}"
haca_box,fourier_real,94.20289855072464%,91.87279151943463%,95.65857247976453%,97.15962485611307%,95.47295600688517%,0.5971946716308594s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 962, 'fp': 9, 'fn': 23, 'tp': 260}"
haca_box,fourier_real,95.87628865979381%,93.6241610738255%,97.28033472803348%,98.14033686656019%,96.55057426076212%,0.6120131015777588s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 951, 'fp': 5, 'fn': 19, 'tp': 279}"
haca_box,fourier_zcurve,95.41595925297113%,94.61279461279462%,95.90443686006826%,97.28483752456356%,96.73168466271915%,0.5862033367156982s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 946, 'fp': 11, 'fn': 16, 'tp': 281}"
haca_box,fourier_zcurve,96.53979238754326%,96.20689655172414%,96.74063800277392%,97.86814182194617%,97.63664329660897%,0.6620597839355469s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 955, 'fp': 9, 'fn': 11, 'tp': 279}"
haca_box,fourier_zcurve,96.00000000000001%,94.52054794520548%,96.91011235955057%,97.93935798946845%,96.89644860877738%,0.6882233619689941s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 955, 'fp': 7, 'fn': 16, 'tp': 276}"
haca_box,fourier_zcurve,97.43589743589743%,95.89905362776025%,98.38187702265374%,98.82502261556294%,97.7894414350114%,0.6337637901306152s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 934, 'fp': 3, 'fn': 13, 'tp': 304}"
haca_box,fourier_zcurve,96.57320872274143%,96.27329192546584%,96.75405742821472%,97.7951017130621%,97.60016527603766%,0.6161572933197021s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 922, 'fp': 10, 'fn': 12, 'tp': 310}"
haca_box,entropy_shannon,38.604651162790695%,27.57475083056478%,50.795593635250924%,72.48165374677002%,61.37394414560768%,0.3423590660095215s,"{'class': 'haca_box', 'method': 'entropy_shannon', 'tn': 907, 'fp': 46, 'fn': 218, 'tp': 83}"
