classe,metodo,f1_score,recall,fbeta_score,tempo_corrido,modelo
cdbox,fourier_real,99.87029831387808%,99.93510707332901%,99.83145339037988%,57.482457876205444s,cd_box_fourier_real_08-01-2023_15-32-48.pickle
cdbox,fourier_zcurve,99.93451211525868%,100.0%,99.89526053940821%,34.978715896606445s,cd_box_fourier_zcurve_08-01-2023_15-32-48.pickle
cdbox,entropy_shannon,92.57994411673394%,95.57692307692308%,90.8703071672355%,10.020203113555908s,cd_box_entropy_shannon_08-01-2023_15-32-48.pickle
cdbox,entropy_tsallis,91.39030612244898%,95.21594684385381%,89.2390085938473%,5.896857738494873s,cd_box_entropy_tsallis_08-01-2023_15-32-48.pickle
cdbox,complex,99.80494148244473%,99.93489583333334%,99.72713097713098%,5.3436713218688965s,cd_box_complex_08-01-2023_15-32-48.pickle
hacabox,fourier_real,99.52305246422894%,99.87236758136567%,99.31463383678133%,35.6440634727478s,haca_box_fourier_real_08-01-2023_15-34-42.pickle
hacabox,fourier_zcurve,99.70674486803517%,99.80430528375733%,99.64830011723328%,4.69091796875s,haca_box_fourier_zcurve_08-01-2023_15-34-42.pickle
hacabox,entropy_shannon,91.09979023074618%,97.18670076726342%,87.8003696857671%,2.7724084854125977s,haca_box_entropy_shannon_08-01-2023_15-34-42.pickle
hacabox,entropy_tsallis,89.47526236881559%,97.64397905759162%,85.19872087711285%,15.112358570098877s,haca_box_entropy_tsallis_08-01-2023_15-34-42.pickle
hacabox,complex,99.71163088753605%,99.87163029525033%,99.61587708066581%,6.890727519989014s,haca_box_complex_08-01-2023_15-34-42.pickle
