classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,modelo
cdbox,fourier_real,99.66821499668215%,99.734395750332%,99.62854868665428%,99.36437978525014%,99.21502396212252%,0.7189981937408447s,cd_box_fourier_real_12-05-2023_00-07-35.pickle
cdbox,fourier_zcurve,99.81949458483754%,100.0%,99.71150378651281%,99.81981981981983%,99.17355371900827%,0.8665981292724609s,cd_box_fourier_zcurve_12-05-2023_00-07-35.pickle
cdbox,entropy_shannon,93.03838646714378%,95.26982011992006%,91.74900551777235%,86.42146657413832%,82.25856597393853%,0.36438536643981934s,cd_box_entropy_shannon_12-05-2023_00-07-35.pickle
cdbox,entropy_tsallis,91.48099606815204%,93.37792642140468%,90.37938624886701%,82.7271114126125%,79.59766809392951%,0.37006044387817383s,cd_box_entropy_tsallis_12-05-2023_00-07-35.pickle
cdbox,complex,99.83558040118383%,99.86842105263159%,99.81588637559179%,99.67666156948785%,99.59788765636064%,0.7798871994018555s,cd_box_complex_12-05-2023_00-07-35.pickle
hacabox,fourier_real,99.16971105944869%,99.73279893119572%,98.83490003971932%,98.61681774700497%,96.44620402585844%,0.7569639682769775s,haca_box_fourier_real_12-05-2023_00-07-38.pickle
hacabox,fourier_zcurve,99.3346640053227%,99.59973315543695%,99.17629865816394%,98.525399985254%,97.50478461050535%,0.7647886276245117s,haca_box_fourier_zcurve_12-05-2023_00-07-38.pickle
hacabox,entropy_shannon,90.3588143525741%,97.57412398921834%,86.52007648183556%,70.38181779996219%,56.13081199460916%,0.3423948287963867s,haca_box_entropy_shannon_12-05-2023_00-07-38.pickle
hacabox,entropy_tsallis,91.11389236545683%,97.06666666666666%,87.88025108643167%,72.55415793151643%,59.05964912280702%,0.34426331520080566s,haca_box_entropy_tsallis_12-05-2023_00-07-38.pickle
hacabox,complex,99.44353518821603%,99.9342105263158%,99.15143603133158%,99.29295375561556%,97.1502038547072%,0.9377853870391846s,haca_box_complex_12-05-2023_00-07-38.pickle
