classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,modelo
cd_box,fourier_real,98.47494553376906%,98.0477223427332%,98.73307121013545%,98.98371525773338%,98.76208106665456%,0.6730630397796631s,cd_box_fourier_real_12-05-2023_16-33-54.pickle
cd_box,fourier_zcurve,98.8133764832794%,98.28326180257511%,99.13419913419914%,99.25577222291626%,98.98373616444546%,0.581662654876709s,cd_box_fourier_zcurve_12-05-2023_16-33-54.pickle
cd_box,entropy_shannon,81.05726872246696%,79.13978494623656%,82.25301743406347%,86.5504049517561%,85.62667480750315%,0.361922025680542s,cd_box_entropy_shannon_12-05-2023_16-33-54.pickle
cd_box,entropy_tsallis,80.59360730593608%,79.14798206278026%,81.48661126500461%,86.3304872871362%,85.60491886644168%,0.3751189708709717s,cd_box_entropy_tsallis_12-05-2023_16-33-54.pickle
cd_box,complex,99.88974641675854%,99.77973568281938%,99.95586937334508%,99.94807892004154%,99.8898678414097%,0.6166696548461914s,cd_box_complex_12-05-2023_16-33-54.pickle
haca_box,fourier_real,96.52650822669105%,94.28571428571428%,97.92284866468843%,98.62766526644127%,96.98885303608097%,0.6444830894470215s,haca_box_fourier_real_12-05-2023_16-33-57.pickle
haca_box,fourier_zcurve,97.38562091503267%,96.44012944983818%,97.96186719263642%,98.59657890079228%,97.95551446036882%,0.6448101997375488s,haca_box_fourier_zcurve_12-05-2023_16-33-57.pickle
haca_box,entropy_shannon,38.095238095238095%,31.292517006802722%,43.8095238095238%,64.85505626350697%,60.59417517006802%,0.35150575637817383s,haca_box_entropy_shannon_12-05-2023_16-33-57.pickle
haca_box,entropy_tsallis,57.720588235294116%,50.32051282051282%,63.306451612903224%,76.2530366421486%,71.17936469051119%,0.40456700325012207s,haca_box_entropy_tsallis_12-05-2023_16-33-57.pickle
haca_box,complex,98.1450252951096%,96.67774086378738%,99.04697072838665%,99.30901660353715%,98.28640453472684%,0.8174870014190674s,haca_box_complex_12-05-2023_16-33-57.pickle
