classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao,modelo,desvio_padrao (n = 5)
cd_box,fourier_real,98.68708971553612%,98.25708061002179%,98.94690653795524%,99.14420646990887%,98.91955388912793%,0.7249400615692139s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 953, 'fp': 4, 'fn': 8, 'tp': 451}",cd_box_fourier_real_20-05-2023_21-52-53.pickle,
cd_box,fourier_zcurve,98.38056680161942%,98.78048780487805%,98.14216478190632%,98.66584852734923%,98.84911836131349%,0.6035473346710205s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 914, 'fp': 10, 'fn': 6, 'tp': 486}",cd_box_fourier_zcurve_20-05-2023_21-52-53.pickle,
cd_box,entropy_shannon,78.6206896551724%,76.51006711409396%,79.94389901823281%,85.13852285144951%,84.07546699357948%,0.37410593032836914s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 888, 'fp': 81, 'fn': 105, 'tp': 342}",cd_box_entropy_shannon_20-05-2023_21-52-53.pickle,
cd_box,entropy_tsallis,79.78260869565219%,77.91932059447984%,80.94397882664313%,85.49114083232186%,84.62103595861558%,0.38414692878723145s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 863, 'fp': 82, 'fn': 104, 'tp': 367}",cd_box_entropy_tsallis_20-05-2023_21-52-53.pickle,
cd_box,complex,99.7946611909651%,99.59016393442623%,99.91776315789474%,99.89247311827957%,99.79508196721312%,0.6558597087860107s,"{'class': 'cd_box', 'method': 'complex', 'tn': 928, 'fp': 0, 'fn': 2, 'tp': 486}",cd_box_complex_20-05-2023_21-52-53.pickle,
cd_box,fourier_real,98.14207650273225%,97.39696312364426%,98.59464207290294%,98.82563858334782%,98.43670145711009%,0.5734281539916992s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 950, 'fp': 5, 'fn': 12, 'tp': 449}",cd_box_fourier_real_20-05-2023_21-52-53.pickle,
cd_box,fourier_zcurve,97.88583509513742%,97.67932489451476%,98.01016088060967%,98.46398305084746%,98.36195544088795%,0.563464879989624s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 933, 'fp': 9, 'fn': 11, 'tp': 463}",cd_box_fourier_zcurve_20-05-2023_21-52-53.pickle,
cd_box,entropy_shannon,79.13148371531967%,75.22935779816514%,81.67330677290838%,86.45168752285227%,84.29835236847032%,0.3259871006011963s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 915, 'fp': 65, 'fn': 108, 'tp': 328}",cd_box_entropy_shannon_20-05-2023_21-52-53.pickle,
cd_box,entropy_tsallis,77.51091703056768%,76.83982683982684%,77.91922739244951%,83.5355857382289%,83.2312341746304%,0.34871339797973633s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 855, 'fp': 99, 'fn': 107, 'tp': 355}",cd_box_entropy_tsallis_20-05-2023_21-52-53.pickle,
cd_box,complex,99.69481180061037%,99.39148073022312%,99.87770077456176%,99.83801295896329%,99.69574036511156%,0.5831844806671143s,"{'class': 'cd_box', 'method': 'complex', 'tn': 923, 'fp': 0, 'fn': 3, 'tp': 490}",cd_box_complex_20-05-2023_21-52-53.pickle,
cd_box,fourier_real,98.77913429522754%,98.01762114537445%,99.24174843889385%,99.31189006863784%,98.90486046873713%,0.5651779174804688s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 960, 'fp': 2, 'fn': 9, 'tp': 445}",cd_box_fourier_real_20-05-2023_21-52-53.pickle,
cd_box,fourier_zcurve,98.39914621131271%,98.08510638297872%,98.58853721129171%,98.88341836216642%,98.72542845575998%,0.5180027484893799s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 940, 'fp': 6, 'fn': 9, 'tp': 461}",cd_box_fourier_zcurve_20-05-2023_21-52-53.pickle,
cd_box,entropy_shannon,77.49419953596289%,73.568281938326%,80.05752636625118%,84.97899159663865%,82.93798712300917%,0.33149099349975586s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 888, 'fp': 74, 'fn': 120, 'tp': 334}",cd_box_entropy_shannon_20-05-2023_21-52-53.pickle,
cd_box,entropy_tsallis,80.625%,78.65853658536585%,81.85279187817258%,85.80817916260955%,84.94615140956606%,0.357008695602417s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 843, 'fp': 81, 'fn': 105, 'tp': 387}",cd_box_entropy_tsallis_20-05-2023_21-52-53.pickle,
cd_box,complex,99.7907949790795%,99.7907949790795%,99.79079497907951%,99.84209258548857%,99.84209258548859%,0.6005501747131348s,"{'class': 'cd_box', 'method': 'complex', 'tn': 937, 'fp': 1, 'fn': 1, 'tp': 477}",cd_box_complex_20-05-2023_21-52-53.pickle,
cd_box,fourier_real,98.02555168408827%,96.34703196347031%,99.06103286384975%,99.07615721397298%,98.12239123735887%,0.5102715492248535s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 977, 'fp': 1, 'fn': 16, 'tp': 422}",cd_box_fourier_real_20-05-2023_21-52-53.pickle,
cd_box,fourier_zcurve,97.90055248618785%,97.57709251101322%,98.09565987599646%,98.54313385338281%,98.3727458397062%,0.5189495086669922s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 954, 'fp': 8, 'fn': 11, 'tp': 443}",cd_box_fourier_zcurve_20-05-2023_21-52-53.pickle,
cd_box,entropy_shannon,80.42704626334519%,77.75229357798165%,82.12209302325581%,86.83945230030463%,85.40675903388879%,0.329559326171875s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 912, 'fp': 68, 'fn': 97, 'tp': 339}",cd_box_entropy_shannon_20-05-2023_21-52-53.pickle,
cd_box,entropy_tsallis,81.8848167539267%,81.45833333333333%,82.14285714285712%,86.42888304715028%,86.24198717948718%,0.334592342376709s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 852, 'fp': 84, 'fn': 89, 'tp': 391}",cd_box_entropy_tsallis_20-05-2023_21-52-53.pickle,
cd_box,complex,99.88700564971752%,99.77426636568849%,99.95477159656264%,99.94866529774127%,99.88713318284425%,0.5986042022705078s,"{'class': 'cd_box', 'method': 'complex', 'tn': 973, 'fp': 0, 'fn': 1, 'tp': 442}",cd_box_complex_20-05-2023_21-52-53.pickle,
cd_box,fourier_real,98.17073170731709%,96.6%,99.13793103448276%,98.98467704749405%,98.24541484716158%,0.5128402709960938s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 915, 'fp': 1, 'fn': 17, 'tp': 483}",cd_box_fourier_real_20-05-2023_21-52-53.pickle,
cd_box,fourier_zcurve,98.38056680161942%,98.38056680161942%,98.38056680161942%,98.75644392141709%,98.75644392141709%,0.5353837013244629s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 914, 'fp': 8, 'fn': 8, 'tp': 486}",cd_box_fourier_zcurve_20-05-2023_21-52-53.pickle,
cd_box,entropy_shannon,80.04410143329659%,76.90677966101694%,82.05244122965641%,86.16858237547893%,84.63983050847457%,0.322873592376709s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 872, 'fp': 72, 'fn': 109, 'tp': 363}",cd_box_entropy_shannon_20-05-2023_21-52-53.pickle,
cd_box,entropy_tsallis,78.82219705549262%,76.99115044247787%,79.96323529411765%,85.09204188111698%,84.1905959681269%,0.3401317596435547s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 881, 'fp': 83, 'fn': 104, 'tp': 348}",cd_box_entropy_tsallis_20-05-2023_21-52-53.pickle,
cd_box,complex,99.79550102249488%,99.59183673469387%,99.91809991809991%,99.89224137931035%,99.79591836734694%,0.5820052623748779s,"{'class': 'cd_box', 'method': 'complex', 'tn': 926, 'fp': 0, 'fn': 2, 'tp': 488}",cd_box_complex_20-05-2023_21-52-53.pickle,
haca_box,fourier_real,95.97197898423818%,94.48275862068965%,96.88826025459687%,97.93224901522605%,96.87830877092574%,0.572498083114624s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 957, 'fp': 7, 'fn': 16, 'tp': 274}",haca_box_fourier_real_20-05-2023_21-53-05.pickle,
haca_box,fourier_zcurve,96.260162601626%,96.41693811074919%,96.16634178037687%,97.47055270311084%,97.57488932992581%,0.6373062133789062s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 935, 'fp': 12, 'fn': 11, 'tp': 296}",haca_box_fourier_zcurve_20-05-2023_21-53-05.pickle,
haca_box,entropy_shannon,42.622950819672134%,32.5%,52.41935483870967%,71.00762957116548%,62.823875802997854%,0.2980985641479492s,"{'class': 'haca_box', 'method': 'entropy_shannon', 'tn': 870, 'fp': 64, 'fn': 216, 'tp': 104}",haca_box_entropy_shannon_20-05-2023_21-53-05.pickle,
haca_box,entropy_tsallis,55.95238095238094%,47.95918367346938%,62.169312169312164%,76.24384236453201%,70.38584183673468%,0.30525970458984375s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 891, 'fp': 69, 'fn': 153, 'tp': 141}",haca_box_entropy_tsallis_20-05-2023_21-53-05.pickle,
haca_box,complex,98.36065573770492%,97.12230215827337%,99.11894273127753%,99.4085805557954%,98.50992157093997%,0.689190149307251s,"{'class': 'haca_box', 'method': 'complex', 'tn': 975, 'fp': 1, 'fn': 8, 'tp': 270}",haca_box_complex_20-05-2023_21-53-05.pickle,
haca_box,fourier_real,96.11650485436893%,94.88817891373802%,96.8688845401174%,97.8455319663494%,97.0190097544248%,0.5816614627838135s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 933, 'fp': 8, 'fn': 16, 'tp': 297}",haca_box_fourier_real_20-05-2023_21-53-05.pickle,
haca_box,fourier_zcurve,96.36048526863085%,95.2054794520548%,97.06703910614524%,98.04953560371517%,97.23891436220204%,0.5682051181793213s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 955, 'fp': 7, 'fn': 14, 'tp': 278}",haca_box_fourier_zcurve_20-05-2023_21-53-05.pickle,
haca_box,entropy_shannon,40.0%,29.86577181208054%,50.22573363431152%,70.83218111092675%,61.89941310269299%,0.30521059036254883s,"{'class': 'haca_box', 'method': 'entropy_shannon', 'tn': 898, 'fp': 58, 'fn': 209, 'tp': 89}",haca_box_entropy_shannon_20-05-2023_21-53-05.pickle,
haca_box,entropy_tsallis,52.24489795918367%,47.40740740740741%,55.65217391304348%,72.22437137330755%,69.02890695573622%,0.3153848648071289s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 892, 'fp': 92, 'fn': 142, 'tp': 128}",haca_box_entropy_tsallis_20-05-2023_21-53-05.pickle,
haca_box,complex,97.71241830065361%,95.83333333333334%,98.87566137566137%,99.15199161425576%,97.86358811040341%,0.6963694095611572s,"{'class': 'haca_box', 'method': 'complex', 'tn': 941, 'fp': 1, 'fn': 13, 'tp': 299}",haca_box_complex_20-05-2023_21-53-05.pickle,
haca_box,fourier_real,96.1344537815126%,93.77049180327869%,97.6109215017065%,98.32486764916297%,96.6744977456857%,0.5918853282928467s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 945, 'fp': 4, 'fn': 19, 'tp': 286}",haca_box_fourier_real_20-05-2023_21-53-05.pickle,
haca_box,fourier_zcurve,96.28378378378379%,95.0%,97.0708446866485%,98.02174408338792%,97.13312368972747%,0.6012964248657227s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 947, 'fp': 7, 'fn': 15, 'tp': 285}",haca_box_fourier_zcurve_20-05-2023_21-53-05.pickle,
haca_box,entropy_shannon,41.35021097046413%,33.33333333333333%,48.32347140039447%,68.09745499689633%,62.39583333333333%,0.3664233684539795s,"{'class': 'haca_box', 'method': 'entropy_shannon', 'tn': 878, 'fp': 82, 'fn': 196, 'tp': 98}",haca_box_entropy_shannon_20-05-2023_21-53-05.pickle,
haca_box,entropy_tsallis,52.75590551181102%,44.666666666666664%,59.187279151943464%,74.27654802176791%,68.45492662473795%,0.3527565002441406s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 880, 'fp': 74, 'fn': 166, 'tp': 134}",haca_box_entropy_tsallis_20-05-2023_21-53-05.pickle,
haca_box,complex,97.77015437392797%,95.63758389261746%,99.09596662030597%,99.32920536635707%,97.81879194630872%,0.7359063625335693s,"{'class': 'haca_box', 'method': 'complex', 'tn': 956, 'fp': 0, 'fn': 13, 'tp': 285}",haca_box_complex_20-05-2023_21-53-05.pickle,
haca_box,fourier_real,95.82637729549249%,93.18181818181817%,97.48641304347828%,98.22237209750458%,96.37949260042282%,0.7280006408691406s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 942, 'fp': 4, 'fn': 21, 'tp': 287}",haca_box_fourier_real_20-05-2023_21-53-05.pickle,
haca_box,fourier_zcurve,96.6542750929368%,95.58823529411765%,97.30538922155688%,98.2648930017351%,97.48861866538877%,0.5964040756225586s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 976, 'fp': 6, 'fn': 12, 'tp': 260}",haca_box_fourier_zcurve_20-05-2023_21-53-05.pickle,
haca_box,entropy_shannon,40.0%,29.48717948717949%,50.88495575221238%,71.13533062900152%,61.77119059284665%,0.4071063995361328s,"{'class': 'haca_box', 'method': 'entropy_shannon', 'tn': 886, 'fp': 56, 'fn': 220, 'tp': 92}",haca_box_entropy_shannon_20-05-2023_21-53-05.pickle,
haca_box,entropy_tsallis,55.66218809980806%,46.62379421221865%,62.988705473501305%,76.5736179529283%,69.86544959815598%,0.31142711639404297s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 878, 'fp': 65, 'fn': 166, 'tp': 145}",haca_box_entropy_tsallis_20-05-2023_21-53-05.pickle,
haca_box,complex,98.52216748768473%,98.0392156862745%,98.81422924901186%,99.1894930818003%,98.86137999503599%,0.6885004043579102s,"{'class': 'haca_box', 'method': 'complex', 'tn': 945, 'fp': 3, 'fn': 6, 'tp': 300}",haca_box_complex_20-05-2023_21-53-05.pickle,
haca_box,fourier_real,96.86985172981876%,94.53376205787781%,98.3277591973244%,98.77489702646278%,97.16083649023264%,0.5790829658508301s,"{'class': 'haca_box', 'method': 'fourier_real', 'tn': 941, 'fp': 2, 'fn': 17, 'tp': 294}",haca_box_fourier_real_20-05-2023_21-53-05.pickle,
haca_box,fourier_zcurve,96.47887323943661%,95.8041958041958%,96.88826025459689%,97.96427633307066%,97.48887476160203%,0.5710549354553223s,"{'class': 'haca_box', 'method': 'fourier_zcurve', 'tn': 960, 'fp': 8, 'fn': 12, 'tp': 274}",haca_box_fourier_zcurve_20-05-2023_21-53-05.pickle,
haca_box,entropy_shannon,41.810344827586206%,32.5503355704698%,50.415800415800426%,69.97973511693834%,62.66638117435623%,0.3177790641784668s,"{'class': 'haca_box', 'method': 'entropy_shannon', 'tn': 887, 'fp': 69, 'fn': 201, 'tp': 97}",haca_box_entropy_shannon_20-05-2023_21-53-05.pickle,
haca_box,entropy_tsallis,55.268389662027836%,48.43205574912892%,60.38227628149435%,75.04683151359453%,70.23464214550552%,0.3141796588897705s,"{'class': 'haca_box', 'method': 'entropy_tsallis', 'tn': 890, 'fp': 77, 'fn': 148, 'tp': 139}",haca_box_entropy_tsallis_20-05-2023_21-53-05.pickle,
haca_box,complex,97.00996677740864%,94.8051948051948%,98.38274932614554%,98.8265306122449%,97.29688915735427%,0.6934266090393066s,"{'class': 'haca_box', 'method': 'complex', 'tn': 944, 'fp': 2, 'fn': 16, 'tp': 292}",haca_box_complex_20-05-2023_21-53-05.pickle,
,,,,,,,,,,"[{'class': 'cd_box', 'method': 'fourier_real', 'deviation': 60.59900989290172}, {'class': 'cd_box', 'method': 'fourier_zcurve', 'deviation': 62.30256816536538}, {'class': 'cd_box', 'method': 'entropy_shannon', 'deviation': 59.36081760443219}, {'class': 'cd_box', 'method': 'entropy_tsallis', 'deviation': 55.324406910512835}, {'class': 'cd_box', 'method': 'complex', 'deviation': 57.500942600969594}, {'class': 'haca_box', 'method': 'fourier_real', 'deviation': 78.5417086648871}, {'class': 'haca_box', 'method': 'fourier_zcurve', 'deviation': 84.84715669956184}, {'class': 'haca_box', 'method': 'entropy_shannon', 'deviation': 84.47784719479223}, {'class': 'haca_box', 'method': 'entropy_tsallis', 'deviation': 84.11206809964906}, {'class': 'haca_box', 'method': 'complex', 'deviation': 84.08865797478278}]"
