classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao,modelo
cd_box,fourier_real,98.6415882967607%,97.9253112033195%,99.07640638119227%,99.15286089826053%,98.80205602992528%,0.624983549118042s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 931, 'fp': 3, 'fn': 10, 'tp': 472}",cd_box_fourier_real_28-05-2023_14-05-43.pickle
cd_box,fourier_zcurve,99.03329752953812%,98.50427350427351%,99.35344827586206%,99.41675599844982%,99.14665152006924%,0.6012885570526123s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 946, 'fp': 2, 'fn': 7, 'tp': 461}",cd_box_fourier_zcurve_28-05-2023_14-05-43.pickle
cd_box,entropy_shannon,78.99891186071817%,76.42105263157895%,80.6308307418925%,85.1170615059504%,83.90659432854186%,0.33710670471191406s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 860, 'fp': 81, 'fn': 112, 'tp': 363}",cd_box_entropy_shannon_28-05-2023_14-05-43.pickle
cd_box,entropy_tsallis,79.09967845659166%,77.84810126582279%,79.87012987012986%,84.71018501444465%,84.14698056921713%,0.3532876968383789s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 852, 'fp': 90, 'fn': 105, 'tp': 369}",cd_box_entropy_tsallis_28-05-2023_14-05-43.pickle
cd_box,complex,100.0%,100.0%,100.0%,100.0%,100.0%,0.5747177600860596s,"{'class': 'cd_box', 'method': 'complex', 'tn': 926, 'fp': 0, 'fn': 0, 'tp': 490}",cd_box_complex_28-05-2023_14-05-43.pickle
cd_box,fourier_real,98.63945578231292%,97.97297297297297%,99.04371584699454%,99.19741154718884%,98.83216549883217%,0.5088913440704346s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 969, 'fp': 3, 'fn': 9, 'tp': 435}",cd_box_fourier_real_28-05-2023_14-05-43.pickle
cd_box,fourier_zcurve,98.32635983263597%,98.94736842105263%,97.95748228428512%,98.58916917740447%,98.88919961966553%,0.5694253444671631s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 930, 'fp': 11, 'fn': 5, 'tp': 470}",cd_box_fourier_zcurve_28-05-2023_14-05-43.pickle
cd_box,entropy_shannon,79.77011494252875%,77.97752808988764%,80.8857808857809%,85.87902890722384%,84.97228618706535%,0.33042430877685547s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 893, 'fp': 78, 'fn': 98, 'tp': 347}",cd_box_entropy_shannon_28-05-2023_14-05-43.pickle
cd_box,entropy_tsallis,79.28730512249443%,79.28730512249443%,79.28730512249443%,84.83496590147472%,84.83496590147472%,0.3466074466705322s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 874, 'fp': 93, 'fn': 93, 'tp': 356}",cd_box_entropy_tsallis_28-05-2023_14-05-43.pickle
cd_box,complex,99.78991596638656%,99.58071278825996%,99.9158603281447%,99.89373007438896%,99.79035639412999%,0.5617587566375732s,"{'class': 'cd_box', 'method': 'complex', 'tn': 939, 'fp': 0, 'fn': 2, 'tp': 475}",cd_box_complex_28-05-2023_14-05-43.pickle
