classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao
cd_box,fourier_real,98.64442127215851%,97.9296066252588%,99.07834101382488%,99.15295905596282%,98.80403160844934%,0.693974494934082s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 930, 'fp': 3, 'fn': 10, 'tp': 473}"
cd_box,fourier_real,98.82352941176471%,97.88135593220339%,99.39759036144578%,99.36734966764044%,98.88771186440677%,0.5405151844024658s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 943, 'fp': 1, 'fn': 10, 'tp': 462}"
cd_box,fourier_real,98.45201238390092%,98.75776397515527%,98.26946847960444%,98.75149342891278%,98.89656687503745%,0.5388154983520508s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 924, 'fp': 9, 'fn': 6, 'tp': 477}"
cd_box,fourier_real,98.99665551839463%,98.4478935698448%,99.32885906040268%,99.41496001109519%,99.12031984191721%,0.540215015411377s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 963, 'fp': 2, 'fn': 7, 'tp': 444}"
cd_box,fourier_real,97.78270509977827%,96.71052631578947%,98.4375%,98.6662660071194%,98.09484649122805%,0.548393964767456s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 955, 'fp': 5, 'fn': 15, 'tp': 441}"
cd_box,fourier_zcurve,98.8056460369164%,98.69848156182212%,98.87005649717514%,99.14271420774968%,99.08746067619903%,0.60080885887146s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 950, 'fp': 5, 'fn': 6, 'tp': 455}"
cd_box,fourier_zcurve,98.37962962962963%,99.06759906759906%,97.97141539880127%,98.64670111427468%,99.02721392083093%,0.5451948642730713s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 977, 'fp': 10, 'fn': 4, 'tp': 425}"
cd_box,fourier_zcurve,99.03536977491962%,98.92933618843684%,99.09909909909912%,99.30765755590694%,99.25391993826477%,0.5429892539978027s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 945, 'fp': 4, 'fn': 5, 'tp': 462}"
cd_box,fourier_zcurve,98.32985386221296%,98.5355648535565%,98.2068390325271%,98.68856837606837%,98.7880382903177%,0.5321304798126221s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 929, 'fp': 9, 'fn': 7, 'tp': 471}"
cd_box,fourier_zcurve,98.45474613686534%,98.02197802197801%,98.7162461266047%,98.97935503142125%,98.75084332940733%,0.6494197845458984s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 956, 'fp': 5, 'fn': 9, 'tp': 446}"
