classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao
cd_box,fourier_real,98.55394883203559%,98.00884955752213%,98.88392857142858%,99.0881764221054%,98.796955899093%,0.7824161052703857s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 960, 'fp': 4, 'fn': 9, 'tp': 443}"
cd_box,fourier_real,98.0891719745223%,97.46835443037975%,98.46547314578007%,98.72606296656929%,98.41570587761025%,0.613999605178833s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 936, 'fp': 6, 'fn': 12, 'tp': 462}"
cd_box,fourier_real,98.91540130151843%,98.48812095032397%,99.17355371900828%,99.30747638658389%,99.08666278366147%,0.6752235889434814s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 950, 'fp': 3, 'fn': 7, 'tp': 456}"
cd_box,fourier_real,97.82135076252723%,97.18614718614718%,98.20647419072614%,98.55537280701753%,98.22619728280105%,0.6384613513946533s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 947, 'fp': 7, 'fn': 13, 'tp': 449}"
cd_box,fourier_real,98.82100750267952%,97.87685774946921%,99.39629150495904%,99.36766587709984%,98.88551882182456%,0.7241003513336182s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 944, 'fp': 1, 'fn': 10, 'tp': 461}"
cd_box,fourier_zcurve,98.64559819413093%,98.20224719101124%,98.91353553644183%,99.13622885051456%,98.89515037202467%,0.6725645065307617s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 967, 'fp': 4, 'fn': 8, 'tp': 437}"
cd_box,fourier_zcurve,98.79518072289157%,98.47161572052401%,98.99034240561897%,99.1962356062252%,99.02703959303862%,0.5666213035583496s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 954, 'fp': 4, 'fn': 7, 'tp': 451}"
cd_box,fourier_zcurve,98.63013698630137%,98.73417721518987%,98.56781802864366%,98.94434811790369%,98.99553871375205%,0.5949499607086182s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 935, 'fp': 7, 'fn': 6, 'tp': 468}"
cd_box,fourier_zcurve,99.0228013029316%,98.7012987012987%,99.21671018276764%,99.35972299055463%,99.19341664624683%,0.66465163230896s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 951, 'fp': 3, 'fn': 6, 'tp': 456}"
cd_box,fourier_zcurve,98.45814977973568%,97.81181619256017%,98.8500663423264%,99.03840630492975%,98.697357522766%,0.7527725696563721s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 955, 'fp': 4, 'fn': 10, 'tp': 447}"
cd_box,entropy_shannon,77.36900780379041%,72.59414225941423%,80.54781801299907%,84.83840543109041%,82.45911803802268%,0.5394186973571777s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 866, 'fp': 72, 'fn': 131, 'tp': 347}"
cd_box,entropy_shannon,80.0%,76.37130801687763%,82.34758871701548%,86.31008044095304%,84.52323362627321%,0.3718998432159424s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 873, 'fp': 69, 'fn': 112, 'tp': 362}"
cd_box,entropy_shannon,79.60308710033077%,76.80851063829788%,81.37962128043281%,85.73744282097971%,84.38734199991003%,0.41114330291748047s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 870, 'fp': 76, 'fn': 109, 'tp': 361}"
cd_box,entropy_shannon,80.56768558951966%,78.343949044586%,81.96357174589073%,86.20835695853921%,85.15081050112897%,0.46626758575439453s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 869, 'fp': 76, 'fn': 102, 'tp': 369}"
