classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao
cd_box,fourier_real,97.83549783549783%,96.99570815450643%,98.34638816362053%,98.61428923065702%,98.18206460356902%,0.8220195770263672s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 944, 'fp': 6, 'fn': 14, 'tp': 452}"
cd_box,fourier_real,98.19341126461211%,97.88135593220339%,98.381601362862%,98.72574823874292%,98.56991525423729%,0.5897152423858643s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 937, 'fp': 7, 'fn': 10, 'tp': 462}"
cd_box,fourier_real,98.87640449438202%,98.43400447427292%,99.14375844975211%,99.3016873183169%,99.06220347552656%,0.5433101654052734s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 966, 'fp': 3, 'fn': 7, 'tp': 440}"
cd_box,fourier_real,98.38536060279871%,98.27956989247312%,98.44894442050841%,98.82552158794553%,98.77175129744583%,0.5404717922210693s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 944, 'fp': 7, 'fn': 8, 'tp': 457}"
cd_box,fourier_real,97.3876698014629%,96.08247422680412%,98.18794774546987%,98.35805084745763%,97.71900295658145%,0.528735876083374s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 925, 'fp': 6, 'fn': 19, 'tp': 466}"
cd_box,fourier_zcurve,98.53438556933483%,98.20224719101124%,98.73474920921824%,99.02371152220168%,98.84365706615444%,0.5612161159515381s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 966, 'fp': 5, 'fn': 8, 'tp': 437}"
cd_box,fourier_zcurve,99.05362776025235%,98.5355648535565%,99.36708860759492%,99.41742762404185%,99.16117261867589%,0.5949511528015137s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 936, 'fp': 2, 'fn': 7, 'tp': 471}"
cd_box,fourier_zcurve,98.30148619957536%,97.26890756302521%,98.93162393162393%,98.99390106166705%,98.47487931342751%,0.5528080463409424s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 937, 'fp': 3, 'fn': 13, 'tp': 463}"
cd_box,fourier_zcurve,98.82854100106495%,98.72340425531915%,98.89173060528559%,99.15016109676388%,99.09743151455176%,0.5594449043273926s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 941, 'fp': 5, 'fn': 6, 'tp': 464}"
cd_box,fourier_zcurve,98.55072463768117%,98.14432989690721%,98.79618098796182%,98.9989660577896%,98.80363648443642%,0.5360841751098633s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 926, 'fp': 5, 'fn': 9, 'tp': 476}"
cd_box,entropy_shannon,79.69094922737307%,77.13675213675214%,81.30630630630633%,85.73969801383869%,84.50719463377692%,0.44814229011535645s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 871, 'fp': 77, 'fn': 107, 'tp': 361}"
cd_box,entropy_shannon,82.31292517006801%,76.58227848101265%,86.18233618233617%,88.97934173669468%,85.9026042086592%,0.35053586959838867s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 897, 'fp': 45, 'fn': 111, 'tp': 363}"
cd_box,entropy_shannon,81.51351351351352%,78.54166666666667%,83.4070796460177%,87.05574005716336%,85.6383547008547%,0.33305978775024414s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 868, 'fp': 68, 'fn': 103, 'tp': 377}"
cd_box,entropy_shannon,78.12499999999999%,74.15254237288136%,80.71955719557195%,85.12439135727328%,83.15677966101696%,0.33853697776794434s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 870, 'fp': 74, 'fn': 122, 'tp': 350}"
cd_box,entropy_shannon,80.4932735426009%,76.38297872340426%,83.17886932344763%,86.95204401766046%,84.86167963654357%,0.33223509788513184s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 883, 'fp': 63, 'fn': 111, 'tp': 359}"
cd_box,entropy_tsallis,78.04878048780488%,76.52173913043478%,78.99461400359067%,84.27485668094437%,83.55375659450608%,0.3550245761871338s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 866, 'fp': 90, 'fn': 108, 'tp': 352}"
cd_box,entropy_tsallis,80.3921568627451%,77.19665271966527%,82.4396782841823%,86.34780178837556%,84.81367817219937%,0.34632372856140137s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 867, 'fp': 71, 'fn': 109, 'tp': 369}"
cd_box,entropy_tsallis,80.0%,80.26607538802661%,79.84119982355536%,85.242061783912%,85.36619831577497%,0.3538384437561035s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 873, 'fp': 92, 'fn': 89, 'tp': 362}"
