classe,metodo,f1_score,recall,fbeta_score,precisions_score,auc_scores,tempo_corrido,matriz_da_confusao,modelo,desvio_padrao_cdbox (n = 5),desvio_padrao_hacabox (n = 5)
cd_box,fourier_zcurve,98.64864864864865%,98.87133182844244%,98.51551956815115%,98.95601661671623%,99.07595368400538%,0.5038402080535889s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 966, 'fp': 7, 'fn': 5, 'tp': 438}",cd_box_fourier_zcurve_15-05-2023_16-14-37.pickle,50.5989090791491,86.7301654558551
cd_box,fourier_zcurve,99.17525773195877%,99.17525773195877%,99.17525773195875%,99.37280609476564%,99.37280609476564%,0.5146842002868652s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 927, 'fp': 4, 'fn': 4, 'tp': 481}",cd_box_fourier_zcurve_15-05-2023_16-14-37.pickle,,
cd_box,fourier_zcurve,98.76543209876543%,98.65470852017937%,98.83198562443845%,99.12924241196959%,99.0696223013268%,0.49457550048828125s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 965, 'fp': 5, 'fn': 6, 'tp': 440}",cd_box_fourier_zcurve_15-05-2023_16-14-37.pickle,,
cd_box,fourier_zcurve,98.90590809628009%,98.26086956521739%,99.29701230228471%,99.36393526701896%,99.02583227214845%,0.5085101127624512s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 954, 'fp': 2, 'fn': 8, 'tp': 452}",cd_box_fourier_zcurve_15-05-2023_16-14-37.pickle,,
cd_box,fourier_zcurve,98.61554845580405%,98.30148619957538%,98.80495091762698%,99.04387103754193%,98.88619283523742%,0.5196659564971924s,"{'class': 'cd_box', 'method': 'fourier_zcurve', 'tn': 940, 'fp': 5, 'fn': 8, 'tp': 463}",cd_box_fourier_zcurve_15-05-2023_16-14-37.pickle,,
cd_box,fourier_real,98.79518072289157%,97.83080260303689%,99.3829881004848%,99.37070833180333%,98.86304528057602%,0.5720667839050293s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 954, 'fp': 1, 'fn': 10, 'tp': 451}",cd_box_fourier_real_15-05-2023_16-14-37.pickle,,
cd_box,fourier_real,98.68131868131869%,97.39696312364426%,99.4683207797962%,99.37952430196484%,98.69848156182212%,0.48310422897338867s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 955, 'fp': 0, 'fn': 12, 'tp': 449}",cd_box_fourier_real_15-05-2023_16-14-37.pickle,,
cd_box,fourier_real,98.24945295404815%,97.82135076252723%,98.5081175954366%,98.82036797749598%,98.59719575743915%,0.5287222862243652s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 951, 'fp': 6, 'fn': 10, 'tp': 449}",cd_box_fourier_real_15-05-2023_16-14-37.pickle,,
cd_box,fourier_real,99.09182643794146%,98.59437751004016%,99.3927125506073%,99.4179619768855%,99.18825629314645%,0.47952795028686523s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 916, 'fp': 2, 'fn': 7, 'tp': 491}",cd_box_fourier_real_15-05-2023_16-14-37.pickle,,
cd_box,fourier_real,98.10901001112346%,97.13656387665198%,98.7018800358102%,98.88114882143972%,98.36038173042579%,0.5009481906890869s,"{'class': 'cd_box', 'method': 'fourier_real', 'tn': 958, 'fp': 4, 'fn': 13, 'tp': 441}",cd_box_fourier_real_15-05-2023_16-14-37.pickle,,
cd_box,entropy_tsallis,78.53403141361255%,77.80082987551867%,78.98062342038753%,83.96720914538864%,83.6541622610998%,0.32018113136291504s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 836, 'fp': 98, 'fn': 107, 'tp': 375}",cd_box_entropy_tsallis_15-05-2023_16-14-37.pickle,,
cd_box,entropy_tsallis,81.13207547169812%,79.30327868852459%,82.2704081632653%,86.20781567653037%,85.39517382702093%,0.3158872127532959s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 849, 'fp': 79, 'fn': 101, 'tp': 387}",cd_box_entropy_tsallis_15-05-2023_16-14-37.pickle,,
cd_box,entropy_tsallis,79.40234791889007%,77.01863354037268%,80.90474119182252%,85.19993222636396%,84.11489018926459%,0.3186960220336914s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 851, 'fp': 82, 'fn': 111, 'tp': 372}",cd_box_entropy_tsallis_15-05-2023_16-14-37.pickle,,
cd_box,entropy_tsallis,78.92004153686396%,77.55102040816327%,79.7649034424853%,84.3366835635449%,83.7539119319434%,0.3228621482849121s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 833, 'fp': 93, 'fn': 110, 'tp': 380}",cd_box_entropy_tsallis_15-05-2023_16-14-37.pickle,,
cd_box,entropy_tsallis,78.60169491525424%,77.13097713097713%,79.51135876553792%,84.29354612806212%,83.64570246923188%,0.3173809051513672s,"{'class': 'cd_box', 'method': 'entropy_tsallis', 'tn': 843, 'fp': 92, 'fn': 110, 'tp': 371}",cd_box_entropy_tsallis_15-05-2023_16-14-37.pickle,,
cd_box,entropy_shannon,81.46399055489964%,78.05429864253394%,83.65664403491756%,87.79536212770634%,85.94706718574334%,0.3029601573944092s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 914, 'fp': 60, 'fn': 97, 'tp': 345}",cd_box_entropy_shannon_15-05-2023_16-14-37.pickle,,
cd_box,entropy_shannon,80.44198895027624%,76.79324894514767%,82.80254777070064%,86.64362184507756%,84.84036120293477%,0.3076329231262207s,"{'class': 'cd_box', 'method': 'entropy_shannon', 'tn': 875, 'fp': 67, 'fn': 110, 'tp': 364}",cd_box_entropy_shannon_15-05-2023_16-14-37.pickle,,
