nameseq,k1,k2,label
DQ789459|DQ789459.1,1.9870461990711334,3.909378832279316,real
DQ789460|DQ789460.1,1.9948549044453805,3.961455159776009,real
DQ789461|DQ789461.1,1.9918899148468017,3.9640762991713676,real
DQ789462|DQ789462.1,1.9952878447252442,3.8942336714627737,real
DQ789463|DQ789463.1,1.9984618182927427,3.974401552334638,real
DQ789464|DQ789464.1,1.9959375588760584,3.9379964838932944,real
DQ789465|DQ789465.1,1.9616298412854674,3.8309321747118945,real
DQ789466|DQ789466.1,1.9974224240316234,3.9650718817029094,real
DQ789467|DQ789467.1,1.9844736043795734,3.9143611816719,real
DQ789468|DQ789468.1,1.9938952040608222,3.9369614382713594,real
DQ789469|DQ789469.1,1.9447543195366106,3.839150538156512,real
DQ789470|DQ789470.1,1.9847627612822627,3.8528961731440976,real
DQ789471|DQ789471.1,1.9851457788976186,3.9259037602754403,real
DQ789472|DQ789472.1,1.965486802972502,3.814938605868933,real
DQ789473|DQ789473.1,1.985023520062359,3.921208113798599,real
DQ789474|DQ789474.1,1.9623453115170526,3.897394721858137,real
DQ789475|DQ789475.1,1.9755719699449905,3.9080108769249993,real
DQ789476|DQ789476.1,1.9347764558349096,3.825000005534631,real
DQ789477|DQ789477.1,1.9679797912827617,3.912379961915456,real
DQ789478|DQ789478.1,1.9899578417215837,3.9668359580062402,real
DQ789479|DQ789479.1,1.9589542996585207,3.849601210203561,real
DQ789480|DQ789480.1,1.9742261630310964,3.900339662811377,real
DQ789481|DQ789481.1,1.9597539624803648,3.853820229469293,real
DQ789482|DQ789482.1,1.9319013136351932,3.850186918946096,real
DQ789483|DQ789483.1,1.9745467165424488,3.894831723947238,real
DQ789484|DQ789484.1,1.9840820643534447,3.939087414692597,real
DQ789485|DQ789485.1,1.985138660711339,3.908349892707268,real
DQ789486|DQ789486.1,1.9100087069052878,3.7802202469969597,real
DQ789487|DQ789487.1,1.9826727057232572,3.9431252157724535,real
DQ789488|DQ789488.1,1.954609558974397,3.833990213795077,real
DQ789489|DQ789489.1,1.9422958967236585,3.852950015584353,real
DQ789490|DQ789490.1,1.9627212846478113,3.901930110473972,real
DQ789491|DQ789491.1,1.979554763751656,3.9336424481592123,real
DQ789492|DQ789492.1,1.9438846293639518,3.837406447658877,real
DQ789493|DQ789493.1,1.9345670664920254,3.785483653231637,real
DQ789494|DQ789494.1,1.9484597253816371,3.8204606068132914,real
DQ789495|DQ789495.1,1.9364338844775353,3.8266644960478384,real
DQ789496|DQ789496.1,1.960251297414331,3.874750856886962,real
DQ789497|DQ789497.1,1.9912065995193786,3.8819636123830934,real
DQ789498|DQ789498.1,1.9874844935623064,3.9467666892030713,real
DQ789499|DQ789499.1,1.9450553925688747,3.7978169554731367,real
DQ789500|DQ789500.1,1.9516370757261354,3.8403934116026734,real
DQ789501|DQ789501.1,1.9476326919052402,3.817932689140621,real
DQ789502|DQ789502.1,1.9591709268245834,3.835673871735994,real
DQ789503|DQ789503.1,1.959514419024287,3.779759625532685,real
DQ789504|DQ789504.1,1.9743807447291128,3.891907792812597,real
DQ789505|DQ789505.1,1.9203440332487096,3.7903134393729054,real
DQ789506|DQ789506.1,1.9449132109231122,3.841328224386668,real
DQ789507|DQ789507.1,1.9716754636242417,3.907034326067469,real
DQ789517|DQ789517.1,1.9264112174413377,3.7720624586439073,real
DQ789518|DQ789518.1,1.9680614459357426,3.8868346490885846,real
DQ789519|DQ789519.1,1.9326656820005046,3.8083057763874395,real
DQ789520|DQ789520.1,1.9625921961175188,3.8453123663861555,real
DQ789521|DQ789521.1,1.9268312397959686,3.8100525913369325,real
DQ789522|DQ789522.1,1.960273399972032,3.8793233641235547,real
DQ789523|DQ789523.1,1.9431086175222279,3.850167185598012,real
DQ789524|DQ789524.1,1.9714345164688771,3.911875435530372,real
DQ789525|DQ789525.1,1.9858261115053366,3.956668258497778,real
DQ789526|DQ789526.1,1.8931541858451737,3.698403449673446,real
DQ789527|DQ789527.1,1.9857189363827752,3.8599326529289346,real
