nameseq,k1,k2,label
GGgCD1,1.967919205020609,3.6994557853166983,real
GGgCD2,1.9768173939383473,3.8316966635698306,real
GGgCD3,1.984199775397114,3.783620850639388,real
GGgCD4,1.9746046150108605,3.8537489706007184,real
GGgCD5a,1.8858747988088722,3.6672818125826465,real
GGgCD5b,1.9285029295921627,3.7597093738193337,real
GGgCD6,1.9877066943129298,3.728807165511582,real
GGgCD7,1.9725437016828196,3.8460397876360273,real
GGgCD8,1.9878909095205712,3.8197870671235252,real
GGgCD9a,1.9948234686715556,3.901499941261365,real
GGgCD9b,1.9915944264727268,3.8913001775437834,real
GGgCD9c,1.9908922857231235,3.864864940499251,real
GGgCD10a,1.99692700615811,3.9246004304662363,real
GGgCD10b,1.9940273453629065,3.9259384945425695,real
GGgCD11a,1.9773020014574232,3.801829116458334,real
GGgCD11b,1.9622166599281015,3.7978998576682366,real
GGgCD12a,1.985200749265102,3.8081435378655537,real
GGgCD12b,1.9718519035253292,3.802234344250684,real
GGgCD13a,1.9700177283307228,3.8024578371839617,real
GGgCD13b,1.946611187340134,3.8139134575186464,real
GGgCD14,1.9884855627281621,3.7672572302809777,real
GGgCD15a,1.9931658693564445,3.7232391175836326,real
GGgCD15b,1.9874473875455294,3.7073723445182982,real
GGgCD15c,1.9898831579542655,3.8450363066427076,real
GGgCD16,1.9258918120257387,3.7658723346284284,real
GGgCD17,1.9276227984856233,3.8229402731636926,real
GGgCD18a,1.9717164258001467,3.8383877575133822,real
GGgCD18b,1.9808958491579585,3.757959227169195,real
GGgCD19a,1.9506836423980802,3.709869143651453,real
GGgCD19b,1.929542974003161,3.605264576062339,real
GGgCD19c,1.9068330866745542,3.6465435854026227,real
GGgCD20,1.9518110402435853,3.727324434868314,real
GGgCD21a,1.896093723489927,3.537283331791134,real
GGgCD21b,1.9538824106870534,3.7278683818567595,real
GGgCD22,1.9911252618232016,3.850567524477454,real
GGgCD23a,1.989220535250991,3.842678212296257,real
GGgCD23b,1.980369391464566,3.7009638454495684,real
GGgCD24,1.9143683123559758,3.6523488996477944,real
GGgCD25a,1.9861483500574053,3.626991219077456,real
GGgCD25b,1.9913628707124666,3.8095479274144015,real
GGgCD26,1.9054716743351974,3.739680474615944,real
GGgCD27,1.9552280061889298,3.762855556461291,real
GGgCD28,1.9194124020720298,3.6734273323143665,real
GGgCD29-1,1.985290209569938,3.9347849751954653,real
GGgCD29-2,1.985290209569938,3.9347849751954653,real
GGgCD30,1.9706828161026295,3.689242011025044,real
GGgCD31,1.9562157487823177,3.734709203185718,real
GGgCD32,1.9922094705594806,3.843194299932683,real
GGgCD33a,1.978785839133871,3.829315465013405,real
GGgCD33b,1.9195741821298804,3.5973047769011193,real
GGgCD33c,1.962713437841599,3.774379864766737,real
GGgCD34,1.9705828463624697,3.817960475621005,real
GGgCD35,1.9532297808036052,3.784487413477473,real
GGgCD36a,1.9594105992166877,3.7500109707885905,real
GGgCD36b,1.9837200295096418,3.8064132123797134,real
GGgCD37a,1.9741825574821101,3.767495286138225,real
GGgCD37b,1.9148499086065536,3.5667684161915116,real
GGgCD38,1.9861606990552274,3.7943018882096764,real
GGgCD39,1.9784820284039009,3.8549258685217622,real
GGgCD40,1.9163795542471858,3.6182757228884364,real
GGgCD41,1.9484049298450334,3.6422578839745365,real
GGgCD42,1.9789886474205116,3.7413921747685412,real
GGgCD43,1.9899320546458088,3.6805967569362785,real
GGgCD44,1.9785961031109909,3.713625293019129,real
GGgCD45,1.9489294741807852,3.63959820483376,real
GGgCD46a,1.9284168146835956,3.776156128487093,real
GGgCD46b,1.9617538613107786,3.707997103550638,real
GGgCD46c,1.9574621598454887,3.729589541390299,real
GGgCD47a,1.9881102204600993,3.929402955945649,real
GGgCD47b,1.9493973810900174,3.818529970130607,real
GGgCD48a,1.9848885202470905,3.803944143425156,real
GGgCD48b,1.9783668415791298,3.8170405731088346,real
GGgCD48c,1.971863022229297,3.805710762031003,real
GGgCD49,1.9000378817875032,3.6690295741701626,real
GGgCD50a,1.9310907435706435,3.7078236508000555,real
GGgCD50b,1.9289973670534213,3.7084884644852845,real
GGgCD51,1.9665480861595908,3.757380164470633,real
GGgCD52,1.987864706055026,3.832231751926779,real
GGgCD53a,1.9475901702961362,3.72557914404023,real
GGgCD53b,1.9745217254331076,3.791274564069274,real
GGgCD54a,1.935724436464397,3.623823347062605,real
GGgCD54b,1.9860638873127023,3.8297907147424888,real
GGgCD55,1.7739900432417384,3.394390499502978,real
GGgCD56,1.953355984088566,3.836582259265643,real
GGgCD57a,1.990895672169382,3.8246130826098077,real
GGgCD57b,1.996320619179132,3.816132409154123,real
GGgCD57c,1.9968756499506697,3.8585064671793683,real
GGgCD57d,1.9612997099987237,3.805688930651282,real
GGgCD58a,1.9808958491579587,3.746374211904423,real
GGgCD58b,1.9718370491090733,3.726725930765846,real
GGgCD59,1.97987421539512,3.7297548791110526,real
GGgCD60,1.923273087056446,3.6979706628574456,real
GGgCD61a,1.9512633673117632,3.7916447217205236,real
GGgCD61b,1.9723699454431605,3.7355980256915413,real
GGgCD61c,1.9152173490863431,3.7273466211864825,real
GGgCD61d,1.9713422177184485,3.8326242677002518,real
GGgCD61e,1.9506836423980802,3.8369958313242023,real
GGgCD62,1.969177405576894,3.820418232807336,real
GGgCD63,1.8210699591626647,3.538520562017359,real
GGgCD64,1.9972693408250057,3.835064347735775,real
GGgCD65,1.9782041554686458,3.868841864394778,real
GGgCD66,1.9966926521311479,3.7321881910775523,real
GGgCD67,1.9857279681267008,3.747178690525238,real
GGgCD68,1.9727730707016418,3.6747524751777276,real
GGgCD69a,1.9914331684777264,3.7642959525960786,real
GGgCD69b,1.9819427338882936,3.7030063007887115,real
GGgCD70,1.9015338267944177,3.6508858308069736,real
GGgCD71,1.9041943914249595,3.6018508608007886,real
GGgCD72a,1.9371167008589465,3.7481725655634457,real
GGgCD72b,1.9555165717917338,3.7600441640409836,real
GGgCD73,1.9794481002919357,3.8055536693965144,real
GGgCD74,1.9844385040977417,3.817150860727199,real
GGgCD75,1.9275313495480724,3.6762702754953205,real
GGgCD76,1.8866664819166876,3.6457502763514698,real
GGgCD77,1.9680582685323031,3.69745164365476,real
GGgCD78,1.977334452984931,3.8562203403990907,real
GGgCD79,1.976495133831309,3.846484489754593,real
GGgCD80,1.9918464463227588,3.9156272633510065,real
GGgCD81,1.9611048841328236,3.800900267849333,real
GGgCD82,1.9984717483721222,3.8705077480564927,real
GGgCD83,1.985575966545128,3.852182136581829,real
GGoCD1,1.94928544382292,3.690865200186316,real
GGoCD2,1.9951492819016186,3.7671481221869696,real
GGoCD3,1.9392225229679583,3.7336421466963516,real
GGoCD4,1.9350674356366475,3.7859843510789153,real
GGoCD5,1.9985565772840845,3.791223890247489,real
GGoCD6,1.9991516618226401,3.855971217031065,real
GGoCD7,1.9466111873401337,3.6174565670713967,real
GGoCD8-1,1.9617971532568488,3.653471032431149,real
GGoCD8-2,1.9617971532568488,3.653471032431149,real
GGoCD9,1.9899988087502678,3.8941951017036436,real
GGoCD10,1.984540893285714,3.8087291474389917,real
