nameseq,k1,k2,label
LM5Cs1H1,1.8723225597124213,3.6785399018294784,real
LM5Cs1H2,1.9409093489919642,3.7247979097047845,real
LM5Cs1H3,1.9614463775590474,3.7910261598776676,real
LM5Cs1H4,1.9480571859057605,3.7793494677128243,real
LM15Cs1H1,1.9113458481043855,3.648293464589307,real
LM18Cs1H1,1.965402007149121,3.84813107321965,real
LM23Cs1H1,1.952785315339241,3.768050487888431,real
LM26Cs1H1,1.9301348228625708,3.5892806693678145,real
LM26Cs1H2,1.9333156367951627,3.828501540669804,real
LM26Cs1H3,1.8735083100277108,3.62027166170208,real
LM26Cs1H4,1.9841025017148073,3.912407289435423,real
LM26Cs1H5,1.9623230225905788,3.8387142606481364,real
LM26Cs1H6,1.9341368314220604,3.593021324569744,real
LM26Cs1H7,1.9846387069377156,3.8824868485250166,real
LM26Cs1H8,1.9394969239300548,3.7698001751476418,real
LM26Cs1H9,1.9684954058345414,3.638442531330125,real
LM26Cs2H1,1.918379192865676,3.728772787706328,real
LM26Cs2H2,1.9860403971741472,3.8737854017403257,real
LM27Cs1H1,1.9753354845430593,3.722765900145306,real
LM27Cs1H2,1.9519114777962896,3.763163304696625,real
LM27Cs1H3,1.953152587415111,3.873087438527327,real
LM33Cs1H1,1.925553842720349,3.72824764126173,real
LM33Cs2H1,1.9548119762843266,3.8472305307006573,real
LM33Cs3H1,1.9258071009525801,3.798984653353658,real
LM33Cs3H2,1.9393679040000342,3.755584830490723,real
LM34Cs1H1,1.9722149304197039,3.757884408233528,real
LM34Cs1H2,1.985051285212449,3.851250157240778,real
LM35Cs3H1,1.9331378226367695,3.690750217800844,real
LM35Cs3H2,1.944352979006481,3.845507204815677,real
LM35Cs3H3,1.8959897747593017,3.7358805642469983,real
LM36Cs1H1,1.9534451713327088,3.833378366181266,real
LM36Cs1H2,1.9501114249360607,3.843469698095918,real
LM36Cs1H3,1.891385611545707,3.6443319799760197,real
LM36Cs1H4,1.9759010902877443,3.774461490402917,real
LM36Cs2H1,1.9109921633983915,3.64369901486752,real
LM36Cs3H1,2.0402109656803167,3.9836060311965564,real
LM36Cs3H2,1.954529872212785,3.6747491726786654,real
