nameseq,k1,k2,label
Oa1707,1.951434587590951,3.6862919485567187,real
Oa1735a,1.9840922657738493,3.822152842757936,real
Oa1785,1.9573984097688117,3.5938666437885156,real
Oa1817,1.9763041958724736,3.6571053357915275,real
Oa1821,1.9718415677151133,3.789378676452367,real
Oa1835,1.98624238236396,3.8382299407429663,real
Oa1853,1.974260138703209,3.8134739718363972,real
Oa1857,1.9714045805613816,3.7992927045709455,real
Oa1942,1.979995989579216,3.844905784361966,real
Oa1990,1.9495258132450073,3.7270690466818066,real
Oa2016,1.9910760598382224,3.818536298133259,real
Oa2046,1.9235375527156957,3.751089856371822,real
Oa2073,1.9854975597329045,3.81568234978039,real
Oa2101,1.9525960202971837,3.730230638742221,real
Oa2121,1.9748986106223452,3.7726224984371934,real
Oa2126,1.9875306546131029,3.7480705186671464,real
Oa2132,1.981356701535849,3.7348200571269334,real
Oa2151,1.9526175770070857,3.688970682582278,real
Oa2156,1.9757489875230205,3.832827549654955,real
Oa2171,1.944827527795164,3.7310737654092514,real
Oa2339,1.979431994173045,3.7885622755154267,real
Oa2367,1.9966838578229207,3.847272906206579,real
Oa2371,1.9496890786163907,3.7213695445263286,real
Oa2572,1.9471100563985084,3.814737290603511,real
Oa2691,1.9485922518590926,3.6533871137096,real
Oa2856,1.978402689368553,3.8616704906854773,real
Oa2949,1.9785319366435017,3.6799728554038644,real
bOaU24,1.9832426253981121,3.7648836304994844,real
bOaCD32,1.983422032770703,3.831952983655775,real
bOaCD36C,1.994277348922279,3.8413424981462443,real
bOaCD58B,1.9833161415578897,3.784799591548084,real
bOaU58,1.944458765419205,3.8210999071870493,real
bOaU86,1.9254333022795898,3.4917033622043046,real
bOa2156i,1.9570514811708917,3.8376936020328722,real
Oa1774,1.9715275093535989,3.658411689429106,real
bOaU73B,1.9719187021609847,3.714889771985207,real
Oa1735b,1.979131727716566,3.819524804070834,real
Oa1781,1.9680580042642433,3.561389395090605,real
Oa1692,1.9714530971430813,3.7962331110236427,real
Oa1702,1.958970683535645,3.6260722628121442,real
Oa1723,2.0716556636582997,3.8484325274597957,real
Oa1724,1.9809531472382145,3.7257889911600985,real
Oa1764,1.949056801306973,3.629013901146295,real
Oa1803,1.9822696725458329,3.739790179602147,real
Oa1805,1.9043937371369906,3.693888697338346,real
Oa1836,1.9450553925688747,3.634276659042728,real
Oa1843,1.953152587415111,3.7284545284619446,real
Oa1892,1.9247718297370875,3.7298957336635796,real
Oa1907,1.9826798745824776,3.852271347512811,real
Oa1925,1.9869479673144617,3.8513393828498015,real
Oa2342,1.9458999788461586,3.745750439067124,real
Oa2376,1.9259934329150719,3.610514014760763,real
Oa2527,1.9299111709758698,3.711883758673732,real
Oa2528,1.919272567161685,3.697284123950808,real
Oa2584,1.9814670229214468,3.8063126516666217,real
Oa2586,1.8644629690626795,3.544947987055661,real
Oa2684,1.9464232907661763,3.658541400140456,real
Oa2985,1.9261401459611798,3.7112390904742925,real
bOaU27,1.925345647173747,3.699466062710611,real
bOaU30,1.9293183026247067,3.444702251505074,real
bOaU75,1.9302239236975818,3.706138682968634,real
Oa1712,1.9948463527123637,3.5728629656525026,real
Oa1716,1.9657941942665131,3.8483451128155486,real
Oa1733,1.8932376576964842,3.5167716937133005,real
Oa1745,1.92916491055202,3.5880963484452995,real
Oa1760,1.9927256935799562,3.8865437449832,real
Oa1770,1.9342908979323339,3.7168053285504596,real
Oa1784,1.9842032039842208,3.8502042107466243,real
Oa1786,1.981358227418069,3.657226705645067,real
Oa1791,1.9569118300268604,3.801572255625059,real
