nameseq,k1,k2,label
SNORA58B,1.9952131374263682,3.8970854782796045,real
SNORA77A,1.9820646732814557,3.79407080451883,real
SNORA77B,1.9700000577037535,3.792920723778571,real
SNORA82,1.9712817417290904,3.881679281315675,real
SCARNA27,1.9969749476937413,3.8593323237732826,real
SNORA83A,1.9447576138032394,3.801179434770882,real
SNORA83B,1.9447576138032394,3.801179434770882,real
SCARNA22,1.974119703378011,3.846091082795576,real
SNORA80B,1.9768858362945916,3.814247955355991,real
SNORA80A,1.9832011271209449,3.8423038646466994,real
SNORA79,1.9147873104509225,3.759580999738063,real
SCARNA21,1.9353165393923215,3.6773472402826144,real
SNORA76,1.9001010774811764,3.7337157557840612,real
SCARNA26,1.984116549399496,3.853666105855616,real
SNORA84_orphan,1.9672513788372967,3.764675953985386,real
SNORA85_orphan,1.9717065788704193,3.8316923372108684,real
SNORA86_orphan,1.97283015230032,3.8043892715326466,real
SNORA36C_orphan,1.9722812089126127,3.811802829519827,real
SNORA38B_orphan,1.9945349015187372,3.8862407412364757,real
SNORA70B_orphan,1.9724008035786949,3.8439806783762096,real
SNORA70C_orphan,1.9837062149145155,3.746628457178614,real
SNORA11B_orphan,1.9864171063330844,3.851654736700037,real
SNORA11C_orphan,1.9968488494655166,3.840161574656862,real
SNORA11D_orphan,1.9862344095165108,3.825232331482283,real
SNORA11E_orphan,1.9862344095165108,3.825232331482283,real
SNORA45_orphan_no_annotated,1.9984442136008256,3.902870467760257,real
SNORA12_orphan,1.9687030026724768,3.887052557201399,real
HsOr_aca10_orphan,1.9534346796627369,3.7906257402840824,real
HsOr_aca11_orphan,1.838264502443342,3.558659484236699,real
HsOr_aca12_orphan,1.9818734728231813,3.872233624385389,real
HsOr_aca13_orphan,1.965948882551753,3.7000699037231115,real
HsOr_aca14_orphan,1.9828888529894493,3.79362139293248,real
HsOr_aca15_orphan,1.9895861997921567,3.852861322715473,real
