nameseq,k1,k2,label
Oa1707,0.7340192275257211,0.9130886426592798,real
Oa1735a,0.7444763029178614,0.9231301939058172,real
Oa1785,0.7340690637237451,0.908284023668639,real
Oa1817,0.7417485512723608,0.9125910509885535,real
Oa1821,0.739590942293645,0.9202477012572715,real
Oa1835,0.7452163257611462,0.9244521337946944,real
Oa1853,0.74072265625,0.9221466364323507,real
Oa1857,0.7401241907781742,0.9237425635478637,real
Oa1942,0.7430268595041323,0.9253534152463998,real
Oa1990,0.7319976195199365,0.9171428571428571,real
Oa2016,0.7469135802469136,0.92521325133902,real
Oa2046,0.7235464468701269,0.9164370982552801,real
Oa2073,0.7452422145328719,0.9200267320115839,real
Oa2101,0.733098972417523,0.9146020761245675,real
Oa2121,0.7412254610350981,0.9208962048468221,real
Oa2126,0.7457309063614187,0.9151234567901234,real
Oa2132,0.7438222222222222,0.9163623082542002,real
Oa2151,0.7337937179772778,0.9150596877869605,real
Oa2156,0.7412742382271468,0.9237211407876867,real
Oa2171,0.7320888888888889,0.9159970781592404,real
Oa2339,0.7426035502958579,0.9205599595209984,real
Oa2367,0.748852157943067,0.9226035502958579,real
Oa2371,0.731404958677686,0.9159763313609467,real
Oa2572,0.7321991178323881,0.921712802768166,real
Oa2691,0.7333481844508799,0.9095500459136823,real
Oa2856,0.7421475529583638,0.92587727528617,real
Oa2949,0.7426697530864197,0.9129141043443761,real
bOaU24,0.744431982054158,0.9217619986850756,real
bOaCD32,0.7440625,0.926774555359718,real
bOaCD36C,0.747991234477721,0.9240007506098705,real
bOaCD58B,0.7442607897153352,0.9197633136094674,real
bOaU58,0.7314285714285714,0.9220751942869145,real
bOaU86,0.7235939643347051,0.8956924172303311,real
bOa2156i,0.7340691378592253,0.9225209905409714,real
Oa1774,0.7408912759471622,0.9143367043426531,real
bOaU73B,0.7402666666666666,0.914536157779401,real
Oa1735b,0.7427896778546129,0.9217451523545707,real
Oa1781,0.7382271468144045,0.9059555555555555,real
Oa1692,0.7399325530648682,0.9195918367346939,real
Oa1702,0.7352862133834991,0.9061111111111111,real
Oa1723,0.738404452690167,0.9213988919667591,real
Oa1724,0.7432950191570881,0.9156300703082747,real
Oa1764,0.7330392774627179,0.9100346020761245,real
Oa1803,0.7438454740563061,0.9145144628099173,real
Oa1805,0.717619986850756,0.9107775341541575,real
Oa1836,0.7311205168188907,0.9090909090909092,real
Oa1843,0.7334593572778828,0.9147923875432526,real
Oa1892,0.7216792180740266,0.9089414858645628,real
