nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
GGgCD1,26567.00000000001,364.28123177711524,2158731.0,35.0,0.0012295956136058512,0.44614274192757014,217322.51881477906,218439.86560819854,183.54826831208425,195.64961590892918,364.28123177711524,1172.3495083182943,2158696.0,47715974886.92783,976.6998924093651,488.34994620468257,8.180167832829412,0.36171196953439194,0.09443287758951692,real
GGgCD2,15445.999999999989,280.4178644426455,1065908.0,73.26006727814487,0.0019638309810522695,0.4540178775944079,111736.36374072677,112355.40650404363,104.10413553576167,148.190301748834,280.4178644426455,562.2576815626827,1065834.739932722,12623737370.688889,414.0673798138487,207.03368990692434,7.23399998321422,0.40717940770153177,0.06177481239751209,real
GGgCD3,9268.0,223.94152685097134,459416.0,28.761620188290475,0.0031290461804056972,0.4801898682476619,52148.636837409285,52450.950308193256,74.08811955593863,97.6035669194707,223.94152685097134,594.8812374507177,459387.2383798117,2751102188.2325583,497.27767053124694,248.63883526562347,5.626741134808944,0.5202854200013063,0.07204283708249612,real
GGgCD4,11030.000000000002,273.7566831602533,638036.0,50.7888043356573,0.00275007555152614,0.4400225288710547,68048.80511809154,68425.80969341905,139.98847440239587,170.5234022333329,273.7566831602533,896.1655973614561,637985.2111956644,4682091432.2,725.6421951281231,362.8210975640616,6.169429294477926,0.4741998025464263,0.13512252107831546,real
GGgCD5a,75460.0,865.7634172568694,6317024.0,213.12745522629984,0.00045498718968106725,0.2577137821599589,621244.0146770028,624281.900835625,429.43995232988783,539.620609289824,865.7634172568694,3174.4759539312054,6316810.872544774,389727891710.94116,2634.8553446413816,1317.4276723206908,8.232759272157471,0.36021708774864986,0.08512658763151322,real
GGgCD5b,78678.99999999993,723.0181402713838,6878115.0,127.13136054981223,0.0004448455115087893,0.28428885513526403,670377.8304657754,673593.0903050675,335.2664586858095,393.0,723.0181402713838,2055.811355796695,6877987.8686394505,453727651306.7308,1662.811355796695,831.4056778983474,8.52041625422001,0.3488599039987573,0.09662987865505729,real
GGgCD6,8362.999999999998,238.1328013047598,549523.0,11.0,0.0035872294631113244,0.562854843783106,58085.719518656224,58411.13225820394,97.15278387048224,119.92855869144037,238.1328013047598,707.8304625013775,549512.0,3411860371.6853933,587.9019038099372,293.9509519049686,6.945560148111472,0.41963156862087203,0.19036368651868546,real
GGgCD7,13184.000000000005,354.65077207381444,1027760.0,72.77619320385013,0.0024271844660194164,0.5145941179387649,104453.99048384892,105002.30916197685,132.24575227924961,176.3546891846944,354.65077207381444,1072.666088965482,1027687.2238067961,11025484929.347368,896.3113997807876,448.1556998903938,7.9227844723793135,0.3684689067932713,0.11216361707993179,real
GGgCD8,6572.999999999992,256.7799622074218,421459.0,45.35366340074327,0.005121963588417268,0.5947622371634181,42145.21355978636,42355.41543014305,116.14083273768084,147.5738535569238,256.7799622074218,1004.5760401797353,421413.64633659925,1793981216.26,857.0021866228115,428.5010933114057,6.411868790474124,0.44960408342687647,0.09036187089351706,real
GGgCD9a,17411.000000000004,237.657895304134,1480811.0,20.566067731116796,0.0021633833017441076,0.5763211606539261,140023.57078720714,140647.2868843497,78.62174171090965,109.42189334427884,237.657895304134,586.5564271428726,1480790.433932269,19781659307.92857,477.1345337985938,238.5672668992969,8.042247474998973,0.36793824085790694,0.0601812376425699,real
GGgCD9b,18044.000000000004,248.80762629968604,1815000.0,43.93680753341676,0.0021983300081282785,0.609571644040355,165692.58456551397,166393.1905849841,99.29846576996611,128.94263928583524,248.80762629968604,731.8081763872076,1814956.0631924665,27686693873.050846,602.8655371013724,301.4327685506862,9.182696994320214,0.32219653801098486,0.08478759205515171,real
GGgCD9c,17516.000000000004,250.4260894920969,1761320.0,44.362318196806754,0.0022645961787318256,0.645435421669268,160799.4915539225,161479.40787006804,85.82797187689089,131.25720968213903,250.4260894920969,821.9107292371107,1761275.6376818032,26075599166.067795,690.6535195549716,345.3267597774858,9.180149095336976,0.3221199347769965,0.09449187018225635,real
GGgCD10a,8064.999999999998,203.57035836679566,463835.0,34.03831297257851,0.004505063029551562,0.6464177162957889,48167.04680588172,48389.528575501325,62.15267615107328,96.2094787412858,203.57035836679566,495.21571080982494,463800.9616870274,2341546475.759259,399.00623206853913,199.50311603426957,5.972355462601579,0.48963535215158155,0.06285831193276267,real
GGgCD10b,8121.000000000005,238.582189294957,415035.0,32.76967063525753,0.004473997455157409,0.6306528100611726,45301.006236065,45510.24987256127,90.42733243524175,114.6220757162775,238.582189294957,604.3848085802131,415002.2303293648,2071182843.462963,489.7627328639356,244.8813664319678,5.578254677510771,0.5220028294490534,0.06565892926267108,real
GGgCD11a,30029.999999999978,461.0432801404869,2630820.0,53.40899401421993,0.0013764013764013775,0.45339199075177555,238878.87813701737,239847.96478609636,158.7238478816039,214.80098892653558,461.0432801404869,1374.2115798902455,2630766.5910059856,57527046212.03252,1159.4105909637099,579.7052954818549,7.954674596637281,0.37134664584575594,0.0645603031908265,real
