nameseq,k1,k2,label
DQ789401|DQ789401.1,1.9951316438910645,3.8284848815520016,real
DQ789402|DQ789402.1,1.9841414760483276,3.780308033559697,real
DQ789403|DQ789403.1,1.9645084609717642,3.7333402539745673,real
DQ789404|DQ789404.1,1.9923196003865034,3.8835528122466947,real
DQ789405|DQ789405.1,1.9714157726920518,3.810604453138332,real
DQ789406|DQ789406.1,1.9761175597637435,3.8522484904752,real
DQ789407|DQ789407.1,1.9528817075947744,3.74188272039029,real
DQ789408|DQ789408.1,1.9625447347084037,3.820000180714897,real
DQ789409|DQ789409.1,1.9758072009096146,3.827817973543389,real
DQ789410|DQ789410.1,1.9912573937665454,3.8645609085812707,real
DQ789411|DQ789411.1,1.9711631561544836,3.8155457973675513,real
DQ789412|DQ789412.1,1.958816669111687,3.8121408449861764,real
DQ789413|DQ789413.1,1.9709655820926968,3.8074093243708065,real
DQ789414|DQ789414.1,1.9955545976825546,3.9194811112069554,real
DQ789415|DQ789415.1,1.9758711211044344,3.83705005430929,real
DQ789416|DQ789416.1,1.9004491564974786,3.672307999320196,real
DQ789417|DQ789417.1,1.9891157079707815,3.8556627934560637,real
DQ789418|DQ789418.1,1.9268851277300572,3.665249991676746,real
DQ789419|DQ789419.1,1.9908781429925868,3.8463276287247306,real
DQ789420|DQ789420.1,1.9727020439823215,3.8027807526004023,real
DQ789421|DQ789421.1,1.9474776902922422,3.7779747787473488,real
DQ789422|DQ789422.1,1.9606049174743938,3.7386000147715506,real
DQ789423|DQ789423.1,1.9668803111438047,3.781460805019677,real
DQ789424|DQ789424.1,1.9742808806112246,3.7879595770062675,real
DQ789425|DQ789425.1,1.9861950929967025,3.9403643695054114,real
DQ789426|DQ789426.1,1.9607041936086032,3.8365915702021756,real
DQ789427|DQ789427.1,1.99900044193615,3.903567905483232,real
DQ789428|DQ789428.1,1.9873064927099469,3.9048024141919258,real
DQ789429|DQ789429.1,1.990001368418945,3.8760600095016073,real
DQ789430|DQ789430.1,1.907382400895482,3.5910474037757742,real
DQ789431|DQ789431.1,1.9790256421590704,3.7698978165514125,real
DQ789432|DQ789432.1,1.9984172920731569,3.970794420449365,real
DQ789433|DQ789433.1,1.9717835707853968,3.8055885357830697,real
DQ789434|DQ789434.1,1.9168339709507873,3.556354355297139,real
DQ789435|DQ789435.1,1.940366076205081,3.7472763126163895,real
DQ789436|DQ789436.1,1.9714045805613818,3.901986488128726,real
DQ789437|DQ789437.1,1.9934048348558266,3.816250808322155,real
DQ789438|DQ789438.1,1.9891330919907932,3.866455521619938,real
DQ789439|DQ789439.1,1.9845622787025285,3.901096226296042,real
DQ789440|DQ789440.1,1.9906057024143777,3.936559806335496,real
DQ789441|DQ789441.1,1.9689107895599594,3.8090032182292273,real
DQ789442|DQ789442.1,1.9790275804306663,3.8543035619703665,real
DQ789443|DQ789443.1,1.977039333895323,3.7901112311813425,real
DQ789444|DQ789444.1,1.9412666984128393,3.652213966112102,real
DQ789445|DQ789445.1,1.9772501292493445,3.8937913890287876,real
DQ789446|DQ789446.1,1.9706745794934548,3.717319614486939,real
DQ789447|DQ789447.1,1.9458680810760594,3.837319856499084,real
