nameseq,k1,k2,label
GGgACA1a,1.9925951843441725,3.9017870827196073,real
GGgACA1b,1.9925951843441725,3.9017870827196073,real
GGgACA2,1.9338246033396183,3.7508288148000206,real
GGgACA3,1.9875800079518378,3.784416434578027,real
GGgACA4a,1.997565095629692,3.8873006574718825,real
GGgACA4b,1.9967984444116946,3.8863128342177786,real
GGgACA4c,1.9918206732988875,3.8295772739815255,real
GGgACA5,1.996437528307573,3.852731210020078,real
GGgACA6,1.9885826961736524,3.901586132359257,real
GGgACA7,1.9808200743416706,3.8454153643418656,real
GGgACA8,1.968940690893559,3.8993487757317804,real
GGgACA9,1.9707401033620096,3.845556037250583,real
GGgACA10,1.9805643988358308,3.8924891073911074,real
GGgACA11,1.9889986288856445,3.891720681632965,real
GGgACA12,1.981359527521418,3.8132477559717537,real
GGgACA13,1.9658916921577592,3.7787512233781606,real
GGgACA14,1.952609143842463,3.8149419566758263,real
GGgACA15,1.9799755934560181,3.8452348358768256,real
GGgACA16,1.9894739212698798,3.9132601655649784,real
GGgACA17,1.9655522352433004,3.804053973974251,real
GGgACA18,1.9022005971783449,3.679835631704861,real
GGgACA19,1.9742601387032093,3.7675694636123103,real
GGgACA20,1.9870093812247818,3.8581942254841453,real
GGgACA21,1.992171601549234,3.790467234416993,real
GGgACA22a,1.957850192058567,3.7960463134670874,real
GGgACA22b,1.9408093798502377,3.750897003599638,real
GGgACA23,1.931999803809352,3.7502733689331715,real
GGgACA24a,1.9846258158366292,3.7978868166313013,real
GGgACA24b,1.9195144584139656,3.735463833708081,real
GGgACA25,1.9794006146772092,3.7158299413410836,real
GGgACA26,1.967052689575344,3.8275576124621056,real
GGgACA27,1.966022558418961,3.790248869850314,real
GGgACA28,1.9688766272482106,3.836655149592369,real
GGgACA29,1.9885454647207996,3.8387642669664377,real
GGgACA30,1.9851434132138293,3.902662930229556,real
GGgACA31,1.9502035077915099,3.7736839159817497,real
GGgACA32,1.9642710218074533,3.8497072536983916,real
GGgACA33,1.9803456865292435,3.928157389858671,real
GGgACA34,1.9785667045830775,3.8511111633841857,real
GGgACA35,1.9934552009489757,3.8601250195445824,real
GGgACA36,1.9934871163506585,3.8238730961897405,real
GGgACA37,1.923322911541882,3.7431915264978093,real
GGgACA38,1.9947820758506527,3.8054544032123365,real
GGgACA39a,1.9755197261344493,3.8891873070619774,real
GGgACA39b,1.985777151242321,3.924035573919606,real
GGgACA40,1.991729859031695,3.858460204788999,real
GGgACA41,1.965970212374622,3.811470729817305,real
GGgACA42,1.9991460579258882,3.852403861352258,real
GGgACA43,1.9817621134228816,3.8810935454234317,real
GGgACA44a,1.9811606280216947,3.8980131952639807,real
GGgACA44b,1.9850125806744372,3.8948994382104627,real
GGgACA45,1.968557599643165,3.8030820026308123,real
GGgACA46,1.9958426858618878,3.9090884847884664,real
GGgACA47,1.965300412324126,3.8422531048791564,real
GGgACA48,1.9578877147791995,3.803017178159345,real
GGgACA49,1.9650903685648524,3.840247952588394,real
GGgACA50,1.98392048272509,3.9259107456756697,real
GGgACA51,1.925787662950857,3.7813006042128023,real
GGgACA52,1.9725914305222738,3.8034507633129255,real
GGoACA1,1.9709664332105272,3.8638269495422564,real
GGoACA2,1.9844385040977417,3.92032097785268,real
GGoACA3,1.9766745099354008,3.8535602003494644,real
GGoACA4,1.9784773446274,3.846464639164805,real
GGoACA5,1.9395224719787463,3.6875791088407515,real
GGoACA6,1.9753038451502853,3.8868677403151226,real
GGoACA7,1.9790654442434472,3.8482966994127183,real
GGoACA8,1.9758813378174156,3.8650212070338976,real
GGoACA9,1.795344897976961,3.5525676668326818,real
GGoACA10,1.9962590613524194,3.896776751195894,real
