nameseq,k1,k2,label
Oa1877,1.990034763358734,3.8575686296901184,real
Oa1953,1.9869860106224326,3.8887968144122556,real
Oa1973,1.9837236494201216,3.9480740979188154,real
Oa2055,1.9107111011373261,3.681343297047136,real
Oa2102,1.9880533828785265,3.913060909336751,real
Oa2133,1.994111489961664,3.925042033534953,real
bOaHACA33,1.983801525388637,3.9137934268092396,real
bOaHACA62i,1.953600244849576,3.8621958231032494,real
bOaHACA70,1.960762247145833,3.8819906507101023,real
Oa1858,1.984456511234315,3.9174597212594273,real
Oa1968,1.9858929687108844,3.887830943799489,real
Oa2161,1.957411802913576,3.8466218829005245,real
Oa1744,1.9852195848166636,3.908327142355977,real
Oa1860,1.9909381099562315,3.8621166286903437,real
Oa1867,1.9982726160218496,3.867879304237166,real
Oa1870,1.9699905081621212,3.8820692361678444,real
Oa1949,1.9856821630368786,3.92678281797907,real
Oa1957,1.9459840115258051,3.818894779902242,real
Oa1969,1.9864350574636989,3.878840330877968,real
Oa2002,1.995534143633309,3.914817098342559,real
Oa2163,1.9930850909358337,3.875286380452153,real
bOaHACA22,1.9767077916703113,3.8856160750204594,real
bOaHACA28,1.95449576304152,3.817865099578666,real
bOaHACA36A,1.9823302173057653,3.874404326313337,real
bOaHACA56,1.9896319759401941,3.839316243312499,real
bOa1860i,1.980953528428793,3.8786785082102164,real
bOa1964i1,1.9848845735758114,3.8878513212098436,real
bOa1964i2,1.9881697204082438,3.8447576570519026,real
Oa1809,1.985007318391499,3.78864632886938,real
Oa1849,1.9975298282516514,3.911374089746898,real
Oa1964,1.946040744419717,3.7856573324537077,real
Oa1967,1.9733259312372293,3.8799597881681507,real
Oa2092,1.9880533828785265,3.8792491724619054,real
Oa1813,1.9739196053947718,3.909297944213317,real
Oa1844,1.9924852393366863,3.890696952838775,real
Oa1861,1.9975650956296915,3.8359755901439323,real
Oa1886,1.9701055584370444,3.820636560398306,real
Oa1959,1.9605151098442601,3.805556694368731,real
Oa1962,1.9725362745519202,3.8379439685914107,real
Oa2001,1.9930293673738324,3.9166670360961713,real
Oa2086,1.9888719572091706,3.910510484490242,real
Oa2150,1.9847954466283784,3.838656529208134,real
Oa2164,1.837855415833523,3.607936272895061,real
Oa2167,1.9957464046966682,3.920600051238873,real
Oa2181,1.9815269037907832,3.891826522980295,real
bOa1886i,1.9377633026558085,3.769645711271908,real
bOa2150i,1.991520908848598,3.818621950481033,real
bOa2164i,1.8730486759680538,3.66540947081865,real
bOa2181i,1.993006930558642,3.9004554197781096,real
bOaHACA1,1.9788736258627357,3.806605882742609,real
bOaHACA44,1.950436377353489,3.7905842309603175,real
Oa1965,1.8265759156138772,3.5763700054614893,real
Oa1862,1.9594160077103175,3.814640717862562,real
Oa1864,1.9934731707866942,3.8965894707239634,real
Oa1874a,1.9813272361812975,3.830175882869914,real
Oa1912,1.993286478314682,3.870066978860054,real
Oa1954a,1.9938191107539536,3.863896995387512,real
Oa1954b,1.9948319316995282,3.8501028543793927,real
Oa1954c,1.9848845735758114,3.8302835288141766,real
Oa1954d,1.9772511819247311,3.824448684520522,real
Oa1956a,1.993286478314682,3.8258929516874347,real
Oa1966,1.9962163831505875,3.848652011003897,real
Oa2149,1.9979623480501767,3.8327314182402787,real
Oa2166,1.9972152618857981,3.883028615728586,real
Oa1874b,1.9938531907808392,3.809340936445957,real
Oa1956b,1.9884222954191677,3.8716428242015466,real
Oa1972a,1.9736123772903744,3.8117477706580964,real
Oa1972b,1.9779147273495572,3.8247915705955817,real
Oa2040,1.99150331372637,3.8185381574697277,real
Oa2050b,1.9941220263861132,3.8579332965123587,real
Oa2052,1.9972152618857981,3.841258802380116,real
Oa2053,1.9949763808818943,3.8573188596721546,real
Oa2077,1.9943074890199135,3.8387020354632844,real
