nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
Oa1877,170.75,115.75685193291844,908.3405505852431,1.3712682528265374,0.255734504636408,3.8165442849172306,187.29955952964752,188.01856240194022,34.756521025689565,46.051772263383064,115.75685193291844,207.832286385708,906.9692823324166,35350.97980769229,161.78051412232492,80.89025706116246,1.096922749807599,0.8808319924272443,0.23126790370774628,real
Oa1953,164.74999999999994,112.19274606893313,710.1065865856827,4.726312690653943,0.28123419322205373,4.113079261920283,170.46883879466068,171.08536463635232,14.44807276414111,53.36104624738398,112.19274606893313,206.3599391036572,705.3802738950288,29270.201992753635,152.99889285627324,76.49944642813662,1.0347122233363322,0.9249301098550038,0.1705147812922757,real
Oa1973,170.74999999999994,98.56124921556889,1017.1890729627465,1.2110881441822774,0.3025866276232309,4.5160057612258555,186.50904803789007,187.11361704007052,23.253068400656655,47.48921990037512,98.56124921556889,236.25679051369735,1015.9779848185642,35011.50568181817,188.76757061332222,94.38378530666111,1.0922931071033097,1.1611568158843255,0.2333765408069954,real
Oa2055,200.74999999999991,103.5292886253872,2268.0360018461556,4.4546926155460325,0.2175176421751765,3.6640031772825936,314.4393820754645,315.64644748150147,29.322729848134678,44.72916996534559,103.5292886253872,241.9448715263647,2263.58130923061,99632.67980769224,197.2157015610191,98.60785078050955,1.5663231983833854,0.9275623562122385,0.24994422411909617,real
Oa2102,169.5,125.85959180146295,664.1804211672207,3.8070136450865526,0.263520157325467,3.763280589879352,146.5989426974151,147.14903447139795,48.96184612681386,60.717707222867205,125.85959180146295,233.44945808520438,660.3734075221342,21652.83834586466,172.73175086233718,86.36587543116859,0.8648905173888797,0.8930570861335386,0.2503190966285183,real
Oa2133,167.24999999999997,96.10926074624827,924.5350952883385,1.796811705359307,0.2810164424514201,4.189804241644304,179.409447911753,180.04905581535274,19.34879494433704,46.47888112200257,96.10926074624827,233.15619979107007,922.7382835829792,32417.662500000006,186.6773186690675,93.33865933453374,1.0727022296666848,1.189581821054553,0.2180119917035568,real
bOaHACA33,185.75000000000003,142.26868323365323,731.2447524872679,0.25,0.2422611036339165,3.642320604361874,159.60067355747594,160.19509153137705,49.58641834639442,77.06424251323448,142.26868323365323,237.70162070453145,730.9947524872679,25662.46735074627,160.637378191297,80.3186890956485,0.8592230070389013,0.8173145350296059,0.20027422559746572,real
bOaHACA62i,164.24999999999991,87.38830640076773,688.3443761272111,1.131521359596492,0.32673769660071045,4.811832135337291,166.79928057398806,167.3197164114259,21.77950102391828,35.69598625295754,87.38830640076773,274.07379654688407,687.2128547676147,27995.88749999999,238.37781029392653,119.18890514696326,1.015520734088208,1.3824105236198228,0.3180921575910752,real
bOaHACA70,148.74999999999994,106.17440235980442,898.6232893356611,1.0484008216915752,0.31148459383753513,4.292020934478585,149.00209730067562,149.54098548752347,24.300819923528678,36.46356188420691,106.17440235980442,218.0359246523081,897.5748885139695,22362.50634057971,181.5723627681012,90.7861813840506,1.0016947717692481,0.8572147321043609,0.31569455993265166,real
Oa1858,188.0000000000001,113.29170546387533,864.8284846940024,0.011630032548515334,0.24113475177304952,3.7785068749481168,190.65675964937614,191.36159295757142,29.924382469908643,54.84107507368715,113.29170546387533,283.56515051070426,864.8168546614539,36619.25925925925,228.72407543701712,114.36203771850856,1.0141317002626384,1.175541239767985,0.25838901682600857,real
Oa1968,186.75000000000003,148.55887683599462,834.8903515024481,1.519729336882562,0.24810352521195891,3.7912708915055506,178.41419506306102,179.05945646425755,36.981159885948585,61.0557901989666,148.55887683599462,214.35007012860174,833.3706221655656,32062.28894927535,153.29427992963514,76.64713996481757,0.955363828985601,0.6421763103071475,0.18765461741230047,real
Oa2161,138.00000000000006,97.12018941737502,729.0,3.479262469966025,0.3285024154589371,4.361327446738543,143.7393474313836,144.27073315279316,23.302439937931346,37.30138916775709,97.12018941737502,167.41732867213133,725.520737530034,20814.044444444447,130.11593950437424,65.05796975218712,1.0415894741404605,0.8532070997916498,0.23648078712840057,real
Oa1744,336.9999999999998,266.23777792089516,1484.4260233889556,0.055528337807485534,0.2492581602373889,5.079604732615402,306.8517557388257,307.46240660299196,72.28669947852289,117.42211490325543,266.23777792089516,442.46821457318026,1484.370495051148,94533.13147410356,325.04609966992484,162.52304983496242,0.9105393345365754,0.691821579205823,0.25370522218800323,real
Oa1860,170.49999999999997,139.35483808573252,547.5643268252155,3.0376273020641658,0.26979472140762467,3.8333766756577217,134.84157370781463,135.33280146839746,44.93284595085213,71.44830442207822,139.35483808573252,227.82099964731958,544.5266995231514,18314.96715328468,156.37269522524136,78.18634761262068,0.7908596698405551,0.6929278795371058,0.22008933686762763,real
Oa1867,169.25000000000003,105.78680012000862,1146.360386202987,1.114165807712625,0.26193993106843916,3.9031896112715336,206.9595371081024,207.74199561577396,32.99282030043124,53.78367325504505,105.78680012000862,181.47633469291853,1145.2462203952743,43156.736742424255,127.69266143787348,63.84633071893674,1.2228037643019343,0.919936342631685,0.13680807351831992,real
Oa1870,153.99999999999997,112.87962934626083,940.82554669833,0.0,0.29437229437229445,4.155231171908695,169.34580006601874,169.97184952111812,27.111667018856703,35.33190237750807,112.87962934626083,198.90341130633797,940.82554669833,28890.429629629623,163.5715089288299,81.78575446441495,1.0996480523767453,0.7284568729376555,0.2762611952916571,real
Oa1949,156.99999999999991,85.87652410102856,1007.1540614262251,1.0566771792503777,0.28025477707006385,4.106214402739422,182.5458846427385,183.24130005487714,18.56026139308313,32.030826623119566,85.87652410102856,237.23033391900861,1006.0973842469747,33577.37404580152,205.19950729588905,102.59975364794452,1.1627126410365516,1.168859150752713,0.29789621649438247,real
Oa1957,130.74999999999997,78.74891003795548,809.1799734168387,0.25,0.3339706819630338,4.440360501520562,154.36037380105037,154.95293019792518,14.78778840328765,29.487601090424498,78.74891003795548,166.13301913527187,808.9299734168387,24010.410576923074,136.64541804484736,68.32270902242368,1.1805764726657775,1.01064325023727,0.21230128600658962,real
Oa1969,176.24999999999994,122.581629047414,1054.24177637386,2.6980886271806974,0.2591016548463358,3.8835570773949186,184.4003796091537,185.07708052401873,32.25292792192824,41.61054414075615,122.581629047414,236.47098271955508,1051.5436877466793,34253.525735294104,194.86043857879895,97.43021928939947,1.0462432885625745,0.8731278818352578,0.26164612056595227,real
Oa2002,171.00000000000014,118.94077014603876,668.2005649063141,5.452131687062986,0.272904483430799,3.9795062080802577,151.94735930578062,152.49295301562123,27.679080335698156,54.48590675914938,118.94077014603876,261.7823494526548,662.7484332192511,23254.10071942446,207.2964426935054,103.6482213467527,0.8885810485718157,1.0278407619285463,0.304527217060544,real
