nameseq,k1,k2,label
AJ609435.1/1-128,1.9087992631157455,3.7157703134261912,hacabox
AL355598.26/27295-27168,1.9087992631157455,3.7157703134261912,hacabox
AC123930.4/14152-14283,1.9138190080116715,3.733606666743405,hacabox
AANG01055650.1/1827-1698,1.916872145601433,3.7234002269115374,hacabox
AAPY01661099.1/194-62,1.9169298828951389,3.7159494682755416,hacabox
nameseq,k1,k2,label
AJ609435.1/1-128,1.9087992631157455,3.7157703134261912,hacabox
AL355598.26/27295-27168,1.9087992631157455,3.7157703134261912,hacabox
AC123930.4/14152-14283,1.9138190080116715,3.733606666743405,hacabox
AANG01055650.1/1827-1698,1.916872145601433,3.7234002269115374,hacabox
AAPY01661099.1/194-62,1.9169298828951389,3.7159494682755416,hacabox
