nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
SNORA58B,55.07407407407408,4.962962962962965,0.479969123343744,14.0,1.0,2.552870301524548,3.0782669461914747,0.02668463611859838,0.016713091922005572,131.0,355.0,1461.0,1.4444444444444449,1.8888888888888895,0.5589710050141709,12.0,0.0,2.557969874049186,1.7976931348623157e+308,0.0,0.0,131.0,21.0,25.0,0.0,0.48148148148148145,1.0,12.0,0.0,1.8332398030762338,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.37037037037037046,1.0,12.0,0.0,1.766942287685417,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.22222222222222218,0.0,12.0,0.0,1.6178021976178936,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.22222222222222218,0.0,12.0,0.0,1.6178021976178936,1.7976931348623157e+308,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
SNORA77A,52.520833333333336,5.125000000000001,0.0954852544881774,15.0,2.0,3.2826881768859293,3.2349290780141846,0.05749746707193515,0.05434782608695652,120.0,266.0,1051.0,19.416666666666664,2.7083333333333335,-0.13425426289661105,13.0,0.0,3.2465259209739195,1.7976931348623157e+308,0.08333333333333334,0.06818181818181818,120.0,42.0,79.0,0.1666666666666667,0.8750000000000002,-0.21809744779582257,11.0,0.0,2.278751485645886,1.7976931348623157e+308,0.0,0.0,120.0,4.0,3.0,0.020833333333333346,0.5000000000000001,-0.500000000000003,8.0,0.0,1.7559422921421233,1.7976931348623157e+308,0.0,0.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
SNORA77B,56.84000000000002,4.679999999999999,0.118193663153131,12.0,2.0,2.852647892748069,3.32,0.07095238095238095,0.03272727272727273,114.0,269.0,1013.0,5.660000000000001,1.9600000000000004,-0.2052827073875373,9.0,0.0,2.6378779350076074,1.7976931348623157e+308,0.0,0.0,114.0,24.0,32.0,0.020000000000000004,0.6799999999999999,0.5966608084358527,8.0,0.0,1.7022338264762569,1.7976931348623157e+308,0.0,0.0,114.0,1.0,0.0,0.0,0.31999999999999995,1.0,8.0,0.0,1.3481839637082174,1.7976931348623157e+308,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
SNORA82,61.81481481481481,4.555555555555556,0.1719673758253143,12.0,2.0,2.5724082006200506,3.3326345213137665,0.07628205128205129,0.04081632653061224,120.0,286.0,1099.0,3.666666666666665,1.8888888888888893,-0.29123299607881115,11.0,0.0,2.499382639822665,1.7976931348623157e+308,0.0,0.0,120.0,27.0,33.0,0.0,0.48148148148148157,1.0,8.0,0.0,1.3976268343787563,1.7976931348623157e+308,0.0,0.0,120.0,0.0,0.0,0.0,0.14814814814814814,0.0,8.0,0.0,1.0785347984119287,1.7976931348623157e+308,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
SCARNA27,61.45098039215685,5.137254901960784,0.48666664083558375,26.0,1.0,4.029399837776347,3.4580392156862745,0.057333333333333326,0.08860759493670886,123.0,223.0,693.0,2.7843137254901964,2.7058823529411757,0.5087501493045123,24.0,0.0,4.164716960215687,1.7976931348623157e+308,0.11538461538461539,0.11538461538461539,123.0,24.0,27.0,0.039215686274509796,1.2156862745098036,0.44278825076720735,20.0,0.0,3.5052550212960845,1.7976931348623157e+308,0.0,0.0,123.0,2.0,0.0,0.0,0.6274509803921569,0.2558139534883721,20.0,0.0,3.003010152012023,1.7976931348623157e+308,0.0,0.0,123.0,0.0,0.0,0.0,0.3137254901960784,0.0,16.0,0.0,2.218374215487208,1.7976931348623157e+308,0.0,0.0,123.0,0.0,0.0,0.0,0.3137254901960784,0.0,16.0,0.0,2.218374215487208,1.7976931348623157e+308,0.0,0.0,123.0,0.0,0.0,0.0,0.3137254901960784,0.0,16.0,0.0,2.218374215487208,1.7976931348623157e+308,0.0,0.0,123.0,0.0,0.0,0.0,0.3137254901960784,0.0,16.0,0.0,2.218374215487208,1.7976931348623157e+308,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
SNORA83A,52.58000000000003,5.44,0.5019659711537597,20.0,2.0,3.092959747555729,3.146122448979592,0.07923809523809523,0.07384615384615385,132.0,309.0,1194.0,23.259999999999994,2.76,0.524366867374783,19.0,0.0,3.240740656084655,1.7976931348623157e+308,0.0,0.0,132.0,32.0,46.0,0.0,0.6,0.5999999999999999,15.0,0.0,2.2449944320643653,1.7976931348623157e+308,0.0,0.0,132.0,0.0,0.0,0.0,0.24000000000000005,0.0,12.0,0.0,1.68,1.7976931348623157e+308,0.0,0.0,132.0,0.0,0.0,0.0,0.24000000000000005,0.0,12.0,0.0,1.68,1.7976931348623157e+308,0.0,0.0,132.0,0.0,0.0,0.0,0.24000000000000005,0.0,12.0,0.0,1.68,1.7976931348623157e+308,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
SNORA83B,52.58000000000003,5.44,0.5019659711537597,20.0,2.0,3.092959747555729,3.146122448979592,0.07923809523809523,0.07384615384615385,132.0,309.0,1194.0,23.259999999999994,2.76,0.524366867374783,19.0,0.0,3.240740656084655,1.7976931348623157e+308,0.0,0.0,132.0,32.0,46.0,0.0,0.6,0.5999999999999999,15.0,0.0,2.2449944320643653,1.7976931348623157e+308,0.0,0.0,132.0,0.0,0.0,0.0,0.24000000000000005,0.0,12.0,0.0,1.68,1.7976931348623157e+308,0.0,0.0,132.0,0.0,0.0,0.0,0.24000000000000005,0.0,12.0,0.0,1.68,1.7976931348623157e+308,0.0,0.0,132.0,0.0,0.0,0.0,0.24000000000000005,0.0,12.0,0.0,1.68,1.7976931348623157e+308,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
SCARNA22,50.571428571428584,5.2653061224489806,0.11052640920062444,12.0,2.0,2.4725060426172556,3.107142857142857,0.08396501457725947,0.0726643598615917,129.0,275.0,967.0,11.183673469387756,2.734693877551021,-0.02205779211670594,11.0,0.0,2.6401570006197925,1.7976931348623157e+308,0.0,0.0,129.0,39.0,60.0,0.04081632653061224,0.7755102040816327,-0.3242424242424256,7.0,0.0,1.6569618881783215,1.7976931348623157e+308,0.0,0.0,129.0,2.0,0.0,0.0,0.16326530612244897,0.0,4.0,0.0,0.7914579359047067,1.7976931348623157e+308,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
SNORA80B,60.54545454545455,4.945454545454546,0.5586752252659495,26.0,2.0,4.020032482085784,3.242424242424242,0.029350649350649346,0.05921052631578947,132.0,292.0,1124.0,13.036363636363632,2.2909090909090906,0.5382687451345242,23.0,0.0,3.9939623855502306,1.7976931348623157e+308,0.0641025641025641,0.08333333333333333,132.0,34.0,60.0,0.5636363636363635,1.054545454545454,0.8093571245624521,19.0,0.0,3.0890903740167563,1.7976931348623157e+308,0.0,0.0,132.0,6.0,5.0,0.0,0.29090909090909095,0.0,16.0,0.0,2.137736502792592,1.7976931348623157e+308,0.0,0.0,132.0,0.0,0.0,0.0,0.29090909090909095,0.0,16.0,0.0,2.137736502792592,1.7976931348623157e+308,0.0,0.0,132.0,0.0,0.0,0.0,0.29090909090909095,0.0,16.0,0.0,2.137736502792592,1.7976931348623157e+308,0.0,0.0,132.0,0.0,0.0,0.0,0.29090909090909095,0.0,16.0,0.0,2.137736502792592,1.7976931348623157e+308,0.0,0.0,132.0,0.0,0.0,0.0,0.29090909090909095,0.0,16.0,0.0,2.137736502792592,1.7976931348623157e+308,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
SNORA80A,58.8888888888889,5.037037037037036,0.3945594096093947,22.0,2.0,3.7414740755332665,3.2222222222222223,0.06265432098765433,0.0911854103343465,133.0,309.0,1220.0,14.518518518518523,2.4444444444444446,0.3060918989088612,20.0,0.0,3.8232556742411674,1.7976931348623157e+308,0.03571428571428571,0.057692307692307696,133.0,50.0,120.0,0.07407407407407411,0.6666666666666664,0.8928571428571429,12.0,0.0,2.054804667656326,1.7976931348623157e+308,0.0,0.0,133.0,2.0,1.0,0.0,0.22222222222222227,0.0,12.0,0.0,1.6178021976178936,1.7976931348623157e+308,0.0,0.0,133.0,0.0,0.0,0.0,0.22222222222222227,0.0,12.0,0.0,1.6178021976178936,1.7976931348623157e+308,0.0,0.0,133.0,0.0,0.0,0.0,0.22222222222222227,0.0,12.0,0.0,1.6178021976178936,1.7976931348623157e+308,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
