nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
SNORA58B,21529.000000000004,285.0831764390291,1287923.0,37.0108656401655,0.002074720919070401,0.5728468622862211,134708.63652342415,135214.11160716283,97.36222342503976,138.45614879361705,285.0831764390291,943.2192638177366,1287885.9891343599,18282855977.714287,804.7631150241195,402.38155751205977,6.257078197938786,0.4731081251765233,0.19532302542586996,real
SNORA77A,15582.000000000011,357.09603090398724,1072212.0,31.28501260789409,0.0026312411757155674,0.5198097888567168,100067.74684182713,100477.02358813754,163.19388459683597,210.07232011417312,357.09603090398724,978.6787273712769,1072180.714987392,10095632269.131147,768.6064072571037,384.30320362855184,6.422009167104805,0.4564378968128878,0.04503952587085,real
SNORA77B,30380.99999999998,460.45150594376537,2273811.0,35.247196746963546,0.0012836970474967915,0.40268543571090926,216422.85903757947,217353.71434000513,225.58531579887708,245.0904932729461,460.45150594376537,1121.1511402813353,2273775.752803253,47242637137.39655,876.0606470083892,438.0303235041946,7.123625260445002,0.4147512230516395,0.03556380817538569,real
SNORA82,33181.999999999985,544.6869559441056,2673044.0,69.28190089756212,0.0012356096678922312,0.39320982143597494,246098.82325196115,247105.36660714023,265.0810607236429,326.20134677580154,544.6869559441056,1568.018122408044,2672974.7180991024,61061062206.04918,1241.8167756322425,620.9083878161213,7.416636226024991,0.3978561857320355,0.04422250824416292,real
SCARNA27,12076.999999999989,173.75576386833941,645915.0,13.245806436825069,0.0034776848555104775,0.6300863541353219,67024.53256830666,67292.09663644015,60.70481230544205,93.27871361145375,173.75576386833941,680.2984331053794,645901.7541935631,4528226269.728001,587.0197194939257,293.50985974696283,5.549766710963544,0.5327860014838912,0.042523759378247455,real
SNORA83A,42836.000000000044,885.1484383538282,3551320.0,180.3175760503671,0.0010505182556727975,0.3913603082990952,310134.66772355523,311289.7356610244,418.9280626323128,528.7394661827539,885.1484383538282,2913.461015151722,3551139.6824239497,96901299527.91045,2384.7215489689684,1192.3607744844842,7.240047336902487,0.4057996985913225,0.08825109853618256,real
SNORA83B,42836.000000000044,885.1484383538282,3551320.0,180.3175760503671,0.0010505182556727975,0.3913603082990952,310134.66772355523,311289.7356610244,418.9280626323128,528.7394661827539,885.1484383538282,2913.461015151722,3551139.6824239497,96901299527.91045,2384.7215489689684,1192.3607744844842,7.240047336902487,0.4057996985913225,0.08825109853618256,real
SCARNA22,23754.000000000044,523.0602384096773,2019012.0,34.312079822495356,0.0018523196093289517,0.4929202150197852,177360.1245037903,178035.78456767043,188.2593217410542,306.75848393414503,523.0602384096773,1964.834135002633,2018977.6879201776,31696740586.625954,1658.075651068488,829.037825534244,7.466537193895343,0.3929452546323721,0.13079365800787232,real
SNORA80B,37660.00000000004,435.61752794031116,2893976.0,134.56800888724655,0.0011949017525225692,0.44477976191851426,263219.1451623533,264199.4805674106,222.80678665200284,283.09405007648104,435.61752794031116,1666.527598148656,2893841.431991113,69801365532.08955,1383.4335480721747,691.7167740360874,6.989355952266411,0.4242592131636143,0.09206603589138854,real
SNORA80A,34315.99999999997,390.08098511085814,2749672.0,84.47338268307476,0.0013210552900493465,0.4516456187923552,245512.1149271457,246419.74136789897,173.16371694414028,243.7867220009863,390.08098511085814,1426.6212009391384,2749587.526617317,60722688935.82222,1182.8344789381522,591.4172394690761,7.154450254317109,0.4145528911062874,0.061947887606590535,real
SNORA79,121782.00000000003,1250.6533735655544,11709124.0,286.194981203082,0.0003831983927564554,0.2807570122899779,1008244.6603022503,1011864.9400304044,662.3379800427855,789.263190753312,1250.6533735655544,4774.305566279534,11708837.805018798,1023870656862.7338,3985.0423755262223,1992.5211877631111,8.2790942857093,0.3586371980099604,0.079795730467155,real
SCARNA21,108163.00000000009,960.8096366980357,10678699.0,219.31237861965832,0.00042528406201751027,0.32360925910533217,917593.1698285467,920935.961117216,428.0444585727415,551.6990342866418,960.8096366980357,3397.297664196969,10678479.687621381,848123044478.8905,2845.598629910327,1422.7993149551635,8.483429359656684,0.35048928181320127,0.06471901695160946,real
SNORA76,121873.99999999994,1240.7815008500454,12366692.0,465.8008018040557,0.0003610286033116171,0.28467264568777473,1077445.4771931618,1081550.0462555955,686.0544140446127,810.9319074336001,1240.7815008500454,4214.456800508484,12366226.199198196,1169750502555.481,3403.524893074884,1701.762446537442,8.840650813078772,0.3358867461583573,0.06419796853223075,real
SCARNA26,40875.00000000003,436.2936231996931,3949259.0,72.1784205087732,0.0011824668705402643,0.47721726501599204,331157.0728340254,332304.93441391044,183.20557256608245,278.72038298659686,436.2936231996931,1392.8196467376288,3949186.8215794913,110426569435.83333,1114.099263751032,557.049631875516,8.101702087682574,0.3663401119359578,0.09412748512127708,real
SNORA84_orphan,51405.000000000044,585.9436333833587,5742635.0,129.06626361729187,0.0008624323185163563,0.4109129297646694,496351.81572952867,498228.3888338304,237.98064615756215,310.7167154336092,585.9436333833587,1771.3800853663627,5742505.933736383,248231527439.95456,1460.6633699327535,730.3316849663768,9.655710839986932,0.3071554576178418,0.05772049118609686,real
SNORA85_orphan,34551.00000000002,513.6053791153822,3318875.0,19.0,0.0012541846352734597,0.43618605529462867,292557.0693591252,293688.82240279607,225.91528656259374,261.02754882507236,513.6053791153822,1744.3428572711177,3318856.0,86253124404.34108,1483.3153084460455,741.6576542230227,8.467398030711847,0.3490333837645441,0.08040283599097789,real
SNORA86_orphan,33609.99999999997,512.0,2145044.0,20.0,0.0013091341862540922,0.4186639100356868,208265.312032513,209058.70657046558,247.1966333293575,333.34384641753377,512.0,1761.5655986555462,2145024.0,43705542792.91602,1428.2217522380124,714.1108761190062,6.196528177105421,0.47676686545140456,0.1010234282018927,real
SNORA36C_orphan,40555.000000000015,590.0292272921735,3022275.0,118.76192410359815,0.0010602884971026997,0.383354358956322,279157.7591255525,280246.09759660345,216.76262060290424,285.2292001245337,590.0292272921735,2036.474907176914,3022156.2380758966,78537875218.125,1751.2457070523803,875.6228535261902,6.883436299483477,0.42948801671745845,0.08724412315590473,real
