nameseq,k1,k2,label
FBgn0063375,1.9031273907112989,3.704136181835754,real
FBgn0063377,1.8530130214531684,3.5465949988521936,real
FBgn0063381,1.934309675758104,3.7044034692943018,real
FBgn0063385,1.9199545660129536,3.719674445379326,real
FBgn0063386,1.9626433456741192,3.747713818091155,real
FBgn0063389,1.9521221905605477,3.7408585943111925,real
FBgn0065053,1.9871086637005078,3.9415193955397267,real
FBgn0065066,1.9284057883790457,3.750063309494035,real
FBgn0065080,1.914046186025191,3.6497019434153635,real
FBgn0082926,1.9056734383807619,3.6875146343139957,real
FBgn0082928,1.8416428405797922,3.563973376544931,real
FBgn0082931,1.92427183783306,3.743359321337059,real
FBgn0082935,1.9580511453646916,3.785604083287534,real
FBgn0082938,1.9474776902922422,3.7102364012807714,real
FBgn0082940,1.844417105663184,3.5589622650229153,real
FBgn0082941,1.8559495917093494,3.593109505122851,real
FBgn0082943,1.8744510719975798,3.6025682873182223,real
FBgn0082946,1.9101968629646178,3.734551423722071,real
FBgn0082949,1.8532191796799344,3.5297146221653724,real
FBgn0082950,1.8177164558775973,3.450103650577107,real
FBgn0082951,1.950714054991964,3.807042628165778,real
FBgn0082952,1.840789319039501,3.6107144803397944,real
FBgn0083988,1.8483131117918599,3.4804828457193513,real
FBgn0086021,1.9708298040428676,3.7675939152314823,real
FBgn0086023,1.9249050677297292,3.7702032128114515,real
FBgn0086028,1.8915299270404144,3.5461511819096403,real
FBgn0086033,1.9784493292686187,3.854202081771772,real
FBgn0086039,1.9380097571183472,3.595805820875689,real
FBgn0086041,1.8623842846002512,3.6505079753591696,real
FBgn0086042,1.9495258132450075,3.8449461043696007,real
FBgn0086049,1.867884462610872,3.6219958480927326,real
FBgn0086051,1.9129514062501303,3.6773710171408247,real
FBgn0086053,1.9109693602009272,3.687117783818073,real
FBgn0086055,1.9530077620510595,3.823342431204876,real
FBgn0086056,1.9699000226227197,3.782852710283316,real
FBgn0086057,1.7970216234094716,3.407785910109858,real
FBgn0086063,1.7222663119439832,3.264155341704262,real
FBgn0086065,1.9300016810763296,3.7924667117726893,real
FBgn0086066,1.9764049662155487,3.6495558757500848,real
FBgn0086067,1.8859075485147503,3.61973821192915,real
FBgn0086069,1.755977451292699,3.3972684464521885,real
FBgn0086074,1.9861811817644677,3.8620144267757546,real
FBgn0086075,1.9050889487926201,3.591001141777705,real
FBgn0086079,1.879415058424553,3.6140008773216223,real
FBgn0086533,1.8896634300521888,3.5818790749163747,real
FBgn0015543,1.8890513994143814,3.624007281832977,real
FBgn0020518,1.841231912151491,3.6003192726830053,real
FBgn0025881,1.9568444311933526,3.7961501838064033,real
FBgn0025882,1.9746046150108605,3.8354143060329164,real
FBgn0065071,1.959596951389976,3.8787017410319757,real
FBgn0082919,1.8732663774862446,3.640100262921771,real
FBgn0086027,1.995741586368292,3.935961085560795,real
FBgn0086061,1.9379598650488283,3.7069031585526586,real
FBgn0086068,1.9257028848678268,3.720743770170851,real
FBgn0086072,1.9197808441926558,3.5968326662724643,real
FBgn0086603,1.9687405061900458,3.8759149534125608,real
FBgn0261973,3.281606974707452,5.079320779303604,real
FBgn0065073,1.977207532324408,3.834390194610058,real
FBgn0065076,1.9420075978556448,3.8268665033031963,real
FBgn0065058,1.9881108365218303,3.9062070810473966,real
FBgn0065070,1.9910196348538551,3.90877302555998,real
FBgn0065048,1.986541544914744,3.9352268656097973,real
FBgn0063392,1.9648474028969374,3.8745817701478353,real
