nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
SNORD11B,60.12765957446811,4.808510638297874,0.6224979870891186,22.0,1.0,3.9011089414794715,3.614246068455134,0.08902691511387165,0.09292035398230089,109.0,212.0,696.0,2.5957446808510647,2.2978723404255312,0.6921990330859676,19.0,0.0,3.814389851752158,1.7976931348623157e+308,0.13888888888888887,0.16666666666666666,109.0,16.0,17.0,0.0425531914893617,1.2765957446808511,0.3895671476137624,19.0,0.0,3.6302636189346646,1.7976931348623157e+308,0.7777777777777777,0.6,109.0,3.0,1.0,0.02127659574468085,0.7659574468085103,0.6808510638297863,16.0,0.0,2.845023770288813,1.7976931348623157e+308,0.0,0.0,109.0,1.0,0.0,0.0,0.5957446808510641,1.0,16.0,0.0,2.5736766851127566,1.7976931348623157e+308,0.0,0.0,109.0,0.0,0.0,0.0,0.5957446808510641,1.0,16.0,0.0,2.5736766851127566,1.7976931348623157e+308,0.0,0.0,109.0,0.0,0.0,0.0,0.34042553191489383,0.0,16.0,0.0,2.308878292127751,1.7976931348623157e+308,0.0,0.0,109.0,0.0,0.0,0.0,0.34042553191489383,0.0,16.0,0.0,2.308878292127751,1.7976931348623157e+308,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
SNORD117,46.12499999999999,4.700000000000001,0.5026243557218513,18.0,2.0,3.57211421989835,3.3653846153846154,0.03869047619047619,0.05521472392638037,90.0,157.0,481.0,6.199999999999999,2.45,0.33303226215376874,17.0,0.0,3.7010133747394107,1.7976931348623157e+308,0.0,0.0,90.0,21.0,34.0,0.6249999999999999,1.3499999999999999,0.28191489361702166,15.0,0.0,3.142849025963544,1.7976931348623157e+308,0.0,0.0,90.0,7.0,8.0,0.0,0.30000000000000004,0.0,12.0,0.0,1.8734993995195195,1.7976931348623157e+308,0.0,0.0,90.0,0.0,0.0,0.0,0.30000000000000004,0.0,12.0,0.0,1.8734993995195195,1.7976931348623157e+308,0.0,0.0,90.0,0.0,0.0,0.0,0.30000000000000004,0.0,12.0,0.0,1.8734993995195195,1.7976931348623157e+308,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
Me18S-C797,50.878048780487816,3.902439024390245,0.3597050464705433,12.0,2.0,2.4475460886443123,3.5439024390243903,0.028455284552845524,0.0379746835443038,80.0,154.0,452.0,0.9268292682926831,1.4146341463414636,0.1930196910741662,10.0,0.0,2.508284903840476,1.7976931348623157e+308,0.21428571428571427,0.21428571428571427,80.0,12.0,12.0,0.07317073170731708,0.6341463414634145,-0.5456026058631912,10.0,0.0,1.81801416132529,1.7976931348623157e+308,0.0,0.0,80.0,3.0,1.0,0.0,0.19512195121951229,0.0,4.0,0.0,0.8616352064710096,1.7976931348623157e+308,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
SNORD105B,64.10416666666663,3.791666666666667,0.3330626057529615,14.0,0.0,2.6296255542482765,1.7976931348623157e+308,0.04668737060041408,0.05202312138728324,89.0,167.0,511.0,2.1666666666666665,1.4166666666666659,0.11680118749420232,11.0,0.0,2.4395468613840747,1.7976931348623157e+308,0.0,0.0,89.0,14.0,20.0,0.06250000000000001,0.6666666666666669,-0.3071104387291982,9.0,0.0,1.8745369798669989,1.7976931348623157e+308,0.0,0.0,89.0,3.0,1.0,0.0,0.16666666666666677,0.0,8.0,0.0,1.1426091000668408,1.7976931348623157e+308,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
SNORD118,69.61999999999999,4.000000000000002,0.39769544115987226,11.0,2.0,2.6758176320519302,3.8416326530612244,0.042,0.078125,98.0,182.0,535.0,4.620000000000001,1.6000000000000005,-0.29105580179565704,9.0,0.0,2.6457513110645907,1.7976931348623157e+308,0.15,0.13636363636363635,98.0,20.0,26.0,0.019999999999999997,0.4800000000000001,-0.3333333333333333,6.0,0.0,1.252836781069266,1.7976931348623157e+308,0.0,0.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
Me28S-A2802,49.48888888888889,4.266666666666667,0.14499346405228797,10.0,1.0,2.434930982366623,3.2494949494949497,0.05503875968992248,0.05825242718446602,95.0,198.0,642.0,8.688888888888892,1.7777777777777781,-0.049023990463418564,9.0,0.0,2.2694971434109843,1.7976931348623157e+308,0.0,0.0,95.0,19.0,24.0,0.022222222222222223,0.5333333333333333,-0.3333333333333333,6.0,0.0,1.309792180292567,1.7976931348623157e+308,0.0,0.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
SNORD12B,47.00000000000002,4.88372093023256,0.6614867141655861,22.0,2.0,3.571263227262748,3.238095238095238,0.028239202657807307,0.04522613065326633,100.0,193.0,651.0,5.302325581395349,2.5581395348837215,0.7245603800316693,21.0,0.0,3.661886193228556,1.7976931348623157e+308,0.0,0.0,100.0,21.0,24.0,0.023255813953488386,0.9767441860465116,0.6282722513089002,19.0,0.0,3.1289226327181643,1.7976931348623157e+308,0.0,0.0,100.0,1.0,0.0,0.0,0.558139534883721,1.0,16.0,0.0,2.527084224596489,1.7976931348623157e+308,0.0,0.0,100.0,0.0,0.0,0.0,0.37209302325581406,0.0,16.0,0.0,2.411438399407576,1.7976931348623157e+308,0.0,0.0,100.0,0.0,0.0,0.0,0.37209302325581406,0.0,16.0,0.0,2.411438399407576,1.7976931348623157e+308,0.0,0.0,100.0,0.0,0.0,0.0,0.37209302325581406,0.0,16.0,0.0,2.411438399407576,1.7976931348623157e+308,0.0,0.0,100.0,0.0,0.0,0.0,0.37209302325581406,0.0,16.0,0.0,2.411438399407576,1.7976931348623157e+308,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
SNORD111B,38.97222222222222,5.222222222222223,0.12266339911880504,14.0,2.0,3.215510250775063,3.226984126984127,0.08796296296296297,0.12962962962962962,91.0,148.0,435.0,12.972222222222218,2.9999999999999996,-0.2840875912408753,13.0,0.0,3.2914029430219167,1.7976931348623157e+308,0.0,0.0,91.0,28.0,46.0,0.05555555555555558,1.4444444444444442,0.08141321044546833,8.0,0.0,2.350466200145131,1.7976931348623157e+308,0.0,0.0,91.0,2.0,0.0,0.0,0.9444444444444444,1.0,8.0,0.0,2.013074547999271,1.7976931348623157e+308,0.0,0.0,91.0,0.0,0.0,0.0,0.2777777777777778,0.0,5.0,0.0,1.145307118227128,1.7976931348623157e+308,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
SNORD58C,55.44444444444444,3.911111111111112,0.36760373358297294,10.0,1.0,2.009115031519236,3.5202020202020203,0.0579004329004329,0.05142857142857143,87.0,169.0,506.0,0.5777777777777778,1.4666666666666663,0.4503351614868971,9.0,0.0,2.124983660067897,1.7976931348623157e+308,0.0,0.0,87.0,10.0,5.0,0.02222222222222223,0.39999999999999986,-0.5,6.0,0.0,1.2,1.7976931348623157e+308,0.0,0.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
SNORD41B,60.304347826086975,4.086956521739131,0.562455864654924,14.0,2.0,2.6770042224108073,3.6801932367149757,0.08523809523809524,0.06818181818181818,91.0,168.0,514.0,2.543478260869565,1.826086956521739,0.6663356504468715,12.0,0.0,2.729105187213081,1.7976931348623157e+308,0.1515151515151515,0.15789473684210525,91.0,17.0,18.0,0.0,0.34782608695652173,1.0,8.0,0.0,1.4021317823127912,1.7976931348623157e+308,0.0,0.0,91.0,0.0,0.0,0.0,0.34782608695652173,1.0,8.0,0.0,1.4021317823127912,1.7976931348623157e+308,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
