nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
DQ789459|DQ789459.1,22951.0,352.6007510486598,1943811.0,45.98502485545837,0.0018880804031777847,0.5445442341123452,173240.02669129326,173910.20337826578,144.02364550419264,168.06623837847707,352.6007510486598,1125.5667252233084,1943765.0149751445,30244758839.069767,957.5004868448314,478.7502434224157,7.548256140965242,0.3913368004015742,0.07247752882696083,real
DQ789460|DQ789460.1,6933.0,237.96343990781304,308755.0,36.20878226587499,0.006057983556901774,0.69603622854907,33512.15657041486,33645.93816650087,82.87656169349373,124.71017527259542,237.96343990781304,613.3491500837391,308718.7912177341,1132049155.1039999,488.6389748111437,244.31948740557186,4.833716510949785,0.5993380234445449,0.06546559097157574,real
DQ789461|DQ789461.1,19195.99999999999,304.8562108036368,1645344.0,40.17515256348429,0.002361603111759396,0.5715301803217611,143509.72287618704,144040.2597054032,110.89231156111789,160.27698052645292,304.8562108036368,1038.7288163994629,1645303.8248474365,20747596416.0,878.4518358730099,439.22591793650497,7.476022237767614,0.39491004673240176,0.08597019076397484,real
DQ789462|DQ789462.1,11196.000000000002,265.90117440173776,717952.0,31.697664150510256,0.0035727045373347617,0.6180716518403827,69629.96056296457,69921.91136360259,94.82263212783006,134.81579376941158,265.90117440173776,649.2376588979455,717920.3023358495,4889073688.739495,514.4218651285339,257.21093256426695,6.2191819009436005,0.47092223249420595,0.08679205218923876,real
DQ789463|DQ789463.1,16728.999999999996,212.41822571310672,1729307.0,12.630984467083392,0.0028094924980572662,0.6877390771416596,146068.02682996713,146588.77011027434,94.90554513550588,125.99858973485043,212.41822571310672,753.0542552669518,1729294.369015533,21488267522.442856,627.0556655321014,313.5278327660507,8.73142607627277,0.33922376031367807,0.06510757198922533,real
DQ789464|DQ789464.1,16634.000000000015,211.234770089983,1686180.0,36.0,0.00264518456174101,0.6575652628183324,146720.12531346886,147279.06114822396,88.43957695315589,127.98792724420449,211.234770089983,751.6433174917682,1686144.0,21691121852.70229,623.6553902475638,311.8276951237819,8.820495690361232,0.3357978026836328,0.10063989908055604,real
DQ789465|DQ789465.1,45904.99999999998,551.9525490584427,4090915.0,151.49984254812549,0.0009076716407072582,0.36509032595425933,368979.93849801645,370464.7732235776,284.44811579537213,362.49595456104896,551.9525490584427,1445.0139839415774,4090763.5001574517,137244148199.59677,1082.5180293805283,541.2590146902642,8.037903027949387,0.36874401060033796,0.03906714231963679,real
DQ789466|DQ789466.1,11858.999999999993,287.9113597688133,550907.0,19.0,0.003878910532085338,0.6725943081060122,66961.15677017534,67205.0962183868,98.93057487082416,142.4369263779951,287.9113597688133,630.3877910151012,550888.0,4516524957.722627,487.9508646371062,243.9754323185531,5.646442092096752,0.5184089940357021,0.040942368033860366,real
DQ789467|DQ789467.1,27832.999999999975,479.85901758216187,2179571.0,99.3872919698421,0.0016886429777602143,0.5149770888386389,196549.38387591043,197250.09691437054,157.98978973379096,246.54726220253264,479.85901758216187,1418.8474873142663,2179471.6127080303,38907600732.72857,1172.3002251117337,586.1501125558668,7.061739082237294,0.4175002807389153,0.07797963875226835,real
DQ789468|DQ789468.1,6146.999999999998,278.573509470908,243771.0,27.49398250284002,0.006995282251504801,0.6993044553898194,26493.443415305606,26596.732085446136,110.47755140644304,133.64231462703333,278.573509470908,602.4435092569854,243743.50601749716,707386157.6249999,468.8011946299521,234.40059731497604,4.309979407077536,0.6645145818008871,0.044435273314311456,real
DQ789469|DQ789469.1,68145.00000000003,964.0143236249986,7238555.0,190.74417069330516,0.0006897057744515368,0.38920285711017544,611261.6266951492,613440.8194419759,481.87633408031166,570.1534365161801,964.0143236249986,2653.251980713472,7238364.255829306,376309638957.6429,2083.098544197292,1041.549272098646,8.97001433260179,0.3297163574929256,0.07042919354871212,real
DQ789470|DQ789470.1,29057.0,367.1836453097312,2916963.0,78.81376203172368,0.0016175104105723233,0.5418922666065799,247327.40337859854,248209.14379873275,162.7747465139011,190.51056861519754,367.1836453097312,1707.042183333841,2916884.1862379685,61607779065.3,1516.5316147186434,758.2658073593217,8.511801059249011,0.34799802968989757,0.13908732894229434,real
DQ789471|DQ789471.1,9779.000000000002,393.97267127804105,313995.0,54.23166053763945,0.004397177625524082,0.5697173664831698,44622.42987556818,44796.397123541086,131.55864269330036,212.99999999999997,393.97267127804105,1317.8072485189286,313940.76833946235,2006717195.25,1104.8072485189286,552.4036242594643,4.563087215008506,0.6309625465192662,0.092973527576995,real
DQ789472|DQ789472.1,23890.0,685.8324585227635,1841844.0,69.91612369129557,0.0018417748011720384,0.43906550690402946,164296.36627752907,164922.25946318693,265.89701217599895,363.14666699336027,685.8324585227635,1786.532614816304,1841774.0838763088,27199351666.442745,1423.3859478229438,711.6929739114719,6.877202439411012,0.423700804842162,0.0641763868623318,real
DQ789473|DQ789473.1,33020.00000000001,327.0033811424952,3326496.0,41.67044719171356,0.0013628104179285278,0.48822344048251365,286868.7541228567,287937.17031309183,141.0291076351543,174.44083369906832,327.0033811424952,1621.421677386724,3326454.3295528083,82907814047.91045,1446.9808436876556,723.4904218438278,8.687727259929032,0.341894990120006,0.11637238764245092,real
DQ789474|DQ789474.1,32709.0,803.1404828784913,2241627.0,127.34230788988391,0.0013553863870290543,0.3960792610381402,210442.50593927078,211238.13261803502,341.8941963010696,417.89855366176914,803.1404828784913,2349.3289620790442,2241499.65769211,44621548671.95455,1931.430408417275,965.7152042086375,6.433779875241394,0.45483956829038413,0.05195165658153762,real
DQ789475|DQ789475.1,17725.0,517.2134866581043,733251.0,61.75203177054039,0.0025011753643629526,0.5020542938511129,91831.47679309094,92178.66697960199,248.50638053085203,278.244934823561,517.2134866581043,1651.2869122020938,733189.2479682295,8496906646.136366,1373.041977378533,686.5209886892665,5.180901370555201,0.562153210890208,0.07640850784100885,real
DQ789476|DQ789476.1,88414.99999999988,1104.1841269980894,8935843.0,255.73502069050423,0.0004901129144752971,0.3083002091085511,784609.5163022177,787644.7675443543,465.0503238951157,618.9857504955772,1104.1841269980894,3141.3795830047475,8935587.26497931,620384279840.0,2522.3938325091704,1261.1969162545852,8.874167463690762,0.3338379693041011,0.07612387913240155,real
DQ789477|DQ789477.1,47116.0,639.0819857659486,4015816.0,125.10259242381007,0.0009550895661770948,0.40815715133167985,354747.22486300016,356068.4481507839,279.82495653617826,346.9192206785166,639.0819857659486,1827.3246732917119,4015690.897407576,126784739768.50746,1480.4054526131954,740.2027263065977,7.529230513265136,0.39304255049929965,0.07598921600167827,real
DQ789478|DQ789478.1,145310.0,715.2963714107833,25546356.0,57.48458142141348,0.0005046681806712087,0.5535119952622785,1728467.9548467193,1732409.7340932384,237.68519068687087,344.27970822741133,715.2963714107833,1959.3960194774254,25546298.515418578,3001243486781.0044,1615.116311250014,807.558155625007,11.895037883467891,0.2509645085808002,0.054830813055233914,real
DQ789479|DQ789479.1,45833.999999999985,715.2799049293493,4033924.0,195.27739774126965,0.0009527134150775991,0.3897316147395679,357431.03406671336,358803.1352119904,325.4717170388644,360.25229834270203,715.2799049293493,2000.4915505220483,4033728.722602259,128739689837.95384,1640.2392521793463,820.1196260896731,7.798381857719455,0.37869168422557326,0.11451977479613477,real
DQ789480|DQ789480.1,28665.99999999997,520.694039700214,2527556.0,56.76765576806589,0.0015232912393311486,0.5045305897286462,223295.55686130433,224152.74065370968,198.5718430452312,303.451321000337,520.694039700214,1501.4021382562782,2527499.232344232,50244451142.56923,1197.9508172559413,598.9754086279706,7.7895610430930216,0.3781352350568489,0.12168302622784966,real
DQ789481|DQ789481.1,219473.00000000006,1710.190842750703,33881611.0,268.71915661148523,0.0003250209972676972,0.35668064834703006,2342595.033057571,2348087.6432542317,821.0181327223938,1063.1021968833438,1710.190842750703,4984.3927442562335,33881342.28084339,5513515580403.211,3921.2905473728897,1960.6452736864449,10.673727670636344,0.27887382080677925,0.07306476971647,real
