nameseq,k1,k2,label
Z96806.1/1-140,0.7409183673469387,0.9283163397339682,hacabox
AK099797.1/1076-1214,0.7360902644790642,0.9283763915143878,hacabox
AL731784.3/25271-25133,0.7360902644790642,0.9283763915143878,hacabox
Z96808.1/1-140,0.7305102040816327,0.9220019667719062,hacabox
AL731784.3/23367-23229,0.7426116660628332,0.9299516908212561,hacabox
nameseq,k1,k2,label
Z96806.1/1-140,0.7409183673469387,0.9283163397339682,hacabox
AK099797.1/1076-1214,0.7360902644790642,0.9283763915143878,hacabox
AL731784.3/25271-25133,0.7360902644790642,0.9283763915143878,hacabox
Z96808.1/1-140,0.7305102040816327,0.9220019667719062,hacabox
AL731784.3/23367-23229,0.7426116660628332,0.9299516908212561,hacabox
