nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
U18795.1/49843-49668,60.946428571428555,6.32142857142857,0.5870286481782139,34.0,1.0,5.66980455337478,3.216233766233766,0.04961038961038962,0.06923076923076923,173.0,372.0,1569.0,23.66071428571429,3.8214285714285716,0.5182678873446576,32.0,0.0,5.8557271808313045,1.7976931348623157e+308,0.04206349206349206,0.10714285714285714,173.0,78.0,187.0,0.3571428571428572,1.9642857142857146,0.43493635077793524,30.0,0.0,5.06022404118027,1.7976931348623157e+308,0.3333333333333333,0.375,173.0,12.0,12.0,0.3035714285714285,1.2142857142857142,0.051492387597244574,27.0,0.0,4.370004436554979,1.7976931348623157e+308,0.0,0.0,173.0,5.0,4.0,0.1785714285714286,1.0714285714285718,0.168084933949267,27.0,0.0,4.156995579128989,1.7976931348623157e+308,0.0,0.0,173.0,3.0,2.0,0.0,0.7142857142857142,0.39393939393939387,22.0,0.0,3.171943330167788,1.7976931348623157e+308,0.0,0.0,173.0,0.0,0.0,0.0,0.2857142857142857,0.0,16.0,0.0,2.1189138534559038,1.7976931348623157e+308,0.0,0.0,173.0,0.0,0.0,0.0,0.2857142857142857,0.0,16.0,0.0,2.1189138534559038,1.7976931348623157e+308,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AABZ01000047.1/10323-10499,62.39285714285711,6.357142857142858,0.570704411360822,34.0,2.0,6.004250195333575,3.2688311688311686,0.05816326530612244,0.0797872340425532,174.0,356.0,1523.0,21.660714285714278,3.964285714285715,0.5292983405907967,32.0,0.0,6.032543545856346,1.7976931348623157e+308,0.02898550724637681,0.07142857142857142,174.0,80.0,199.0,2.1964285714285707,2.3928571428571423,0.4632890487636467,30.0,0.0,5.433620771997025,1.7976931348623157e+308,0.14583333333333331,0.24,174.0,21.0,31.0,0.1785714285714286,1.1071428571428568,0.14063191195592406,27.0,0.0,4.224412771653134,1.7976931348623157e+308,0.0,0.0,174.0,3.0,2.0,0.1785714285714286,1.1071428571428568,0.14063191195592406,27.0,0.0,4.224412771653134,1.7976931348623157e+308,0.0,0.0,174.0,3.0,2.0,0.0,0.75,0.3747383112351711,22.0,0.0,3.2362345844691616,1.7976931348623157e+308,0.0,0.0,174.0,0.0,0.0,0.0,0.5357142857142858,1.0,16.0,0.0,2.4565094698596632,1.7976931348623157e+308,0.0,0.0,174.0,0.0,0.0,0.0,0.2857142857142857,0.0,16.0,0.0,2.1189138534559038,1.7976931348623157e+308,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AABY01000108.1/9971-10148,60.91071428571428,6.2857142857142865,0.5174326458992434,22.0,1.0,4.973911531015339,3.214935064935065,0.06554112554112554,0.08333333333333333,175.0,374.0,1609.0,20.160714285714292,3.8928571428571432,0.3667843419788665,20.0,0.0,5.1536345407480955,1.7976931348623157e+308,0.023076923076923075,0.061855670103092786,175.0,93.0,252.0,1.3571428571428572,1.8928571428571432,0.4531165636810843,15.0,0.0,3.692069548508046,1.7976931348623157e+308,0.0,0.0,175.0,16.0,19.0,0.1785714285714286,0.8214285714285715,-0.3953488372093031,12.0,0.0,2.745822429860775,1.7976931348623157e+308,0.0,0.0,175.0,3.0,2.0,0.1785714285714286,0.8214285714285715,-0.3953488372093031,12.0,0.0,2.745822429860775,1.7976931348623157e+308,0.0,0.0,175.0,3.0,2.0,0.0,0.4642857142857142,1.0,7.0,0.0,1.6793311350726783,1.7976931348623157e+308,0.0,0.0,175.0,0.0,0.0,0.0,0.2500000000000001,0.0,7.0,0.0,1.299038105676658,1.7976931348623157e+308,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AACI02000833.1/1493-1320,60.053571428571416,6.1428571428571415,0.4621564462621192,20.0,1.0,4.576448137040385,3.183766233766234,0.05324675324675325,0.08888888888888889,171.0,381.0,1681.0,18.910714285714285,3.750000000000001,0.2759970182631378,20.0,0.0,4.811630255358958,1.7976931348623157e+308,0.052285714285714276,0.08737864077669903,171.0,97.0,262.0,2.3749999999999996,1.8928571428571426,0.42312431544359275,14.0,0.0,3.513639603787805,1.7976931348623157e+308,0.14814814814814814,0.2608695652173913,171.0,19.0,25.0,0.017857142857142856,0.5000000000000002,-0.6153846153846169,9.0,0.0,1.679710859472121,1.7976931348623157e+308,0.0,0.0,171.0,1.0,0.0,0.0,0.3571428571428572,0.0,5.0,0.0,1.287696884094282,1.7976931348623157e+308,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AACA01000046.1/28759-28583,62.57894736842105,6.210526315789475,0.4645172544308589,30.0,1.0,4.648096543465686,3.2349624060150375,0.06181972789115647,0.07712082262210797,174.0,369.0,1518.0,24.43859649122807,3.8245614035087723,0.31909368193850185,30.0,0.0,5.005690821166126,1.7976931348623157e+308,0.07733333333333332,0.12903225806451613,174.0,85.0,196.0,0.87719298245614,1.8596491228070173,0.22646857096748174,28.0,0.0,4.114324981369823,1.7976931348623157e+308,0.0,0.0,174.0,15.0,23.0,0.0,0.7017543859649124,0.5141700404858296,16.0,0.0,2.4706339287416066,1.7976931348623157e+308,0.0,0.0,174.0,0.0,0.0,0.0,0.42105263157894746,1.0,12.0,0.0,1.9005757984492413,1.7976931348623157e+308,0.0,0.0,174.0,0.0,0.0,0.0,0.42105263157894746,1.0,12.0,0.0,1.9005757984492413,1.7976931348623157e+308,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
U18795.1/49843-49668,60.946428571428555,6.32142857142857,0.5870286481782139,34.0,1.0,5.66980455337478,3.216233766233766,0.04961038961038962,0.06923076923076923,173.0,372.0,1569.0,23.66071428571429,3.8214285714285716,0.5182678873446576,32.0,0.0,5.8557271808313045,1.7976931348623157e+308,0.04206349206349206,0.10714285714285714,173.0,78.0,187.0,0.3571428571428572,1.9642857142857146,0.43493635077793524,30.0,0.0,5.06022404118027,1.7976931348623157e+308,0.3333333333333333,0.375,173.0,12.0,12.0,0.3035714285714285,1.2142857142857142,0.051492387597244574,27.0,0.0,4.370004436554979,1.7976931348623157e+308,0.0,0.0,173.0,5.0,4.0,0.1785714285714286,1.0714285714285718,0.168084933949267,27.0,0.0,4.156995579128989,1.7976931348623157e+308,0.0,0.0,173.0,3.0,2.0,0.0,0.7142857142857142,0.39393939393939387,22.0,0.0,3.171943330167788,1.7976931348623157e+308,0.0,0.0,173.0,0.0,0.0,0.0,0.2857142857142857,0.0,16.0,0.0,2.1189138534559038,1.7976931348623157e+308,0.0,0.0,173.0,0.0,0.0,0.0,0.2857142857142857,0.0,16.0,0.0,2.1189138534559038,1.7976931348623157e+308,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AABZ01000047.1/10323-10499,62.39285714285711,6.357142857142858,0.570704411360822,34.0,2.0,6.004250195333575,3.2688311688311686,0.05816326530612244,0.0797872340425532,174.0,356.0,1523.0,21.660714285714278,3.964285714285715,0.5292983405907967,32.0,0.0,6.032543545856346,1.7976931348623157e+308,0.02898550724637681,0.07142857142857142,174.0,80.0,199.0,2.1964285714285707,2.3928571428571423,0.4632890487636467,30.0,0.0,5.433620771997025,1.7976931348623157e+308,0.14583333333333331,0.24,174.0,21.0,31.0,0.1785714285714286,1.1071428571428568,0.14063191195592406,27.0,0.0,4.224412771653134,1.7976931348623157e+308,0.0,0.0,174.0,3.0,2.0,0.1785714285714286,1.1071428571428568,0.14063191195592406,27.0,0.0,4.224412771653134,1.7976931348623157e+308,0.0,0.0,174.0,3.0,2.0,0.0,0.75,0.3747383112351711,22.0,0.0,3.2362345844691616,1.7976931348623157e+308,0.0,0.0,174.0,0.0,0.0,0.0,0.5357142857142858,1.0,16.0,0.0,2.4565094698596632,1.7976931348623157e+308,0.0,0.0,174.0,0.0,0.0,0.0,0.2857142857142857,0.0,16.0,0.0,2.1189138534559038,1.7976931348623157e+308,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AABY01000108.1/9971-10148,60.91071428571428,6.2857142857142865,0.5174326458992434,22.0,1.0,4.973911531015339,3.214935064935065,0.06554112554112554,0.08333333333333333,175.0,374.0,1609.0,20.160714285714292,3.8928571428571432,0.3667843419788665,20.0,0.0,5.1536345407480955,1.7976931348623157e+308,0.023076923076923075,0.061855670103092786,175.0,93.0,252.0,1.3571428571428572,1.8928571428571432,0.4531165636810843,15.0,0.0,3.692069548508046,1.7976931348623157e+308,0.0,0.0,175.0,16.0,19.0,0.1785714285714286,0.8214285714285715,-0.3953488372093031,12.0,0.0,2.745822429860775,1.7976931348623157e+308,0.0,0.0,175.0,3.0,2.0,0.1785714285714286,0.8214285714285715,-0.3953488372093031,12.0,0.0,2.745822429860775,1.7976931348623157e+308,0.0,0.0,175.0,3.0,2.0,0.0,0.4642857142857142,1.0,7.0,0.0,1.6793311350726783,1.7976931348623157e+308,0.0,0.0,175.0,0.0,0.0,0.0,0.2500000000000001,0.0,7.0,0.0,1.299038105676658,1.7976931348623157e+308,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AACI02000833.1/1493-1320,60.053571428571416,6.1428571428571415,0.4621564462621192,20.0,1.0,4.576448137040385,3.183766233766234,0.05324675324675325,0.08888888888888889,171.0,381.0,1681.0,18.910714285714285,3.750000000000001,0.2759970182631378,20.0,0.0,4.811630255358958,1.7976931348623157e+308,0.052285714285714276,0.08737864077669903,171.0,97.0,262.0,2.3749999999999996,1.8928571428571426,0.42312431544359275,14.0,0.0,3.513639603787805,1.7976931348623157e+308,0.14814814814814814,0.2608695652173913,171.0,19.0,25.0,0.017857142857142856,0.5000000000000002,-0.6153846153846169,9.0,0.0,1.679710859472121,1.7976931348623157e+308,0.0,0.0,171.0,1.0,0.0,0.0,0.3571428571428572,0.0,5.0,0.0,1.287696884094282,1.7976931348623157e+308,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
