nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
DQ789401|DQ789401.1,2842.9999999999986,135.30126103982167,137747.0,21.10102866273779,0.008676280923906677,0.6001297595432268,15975.420745632962,16084.46925214779,45.474209328409486,69.89357367784919,135.30126103982167,447.3458182580172,137725.89897133727,258710151.12328768,377.452244580168,188.726122290084,5.6192123621642525,0.5084746340155741,0.06252246482350068,real
DQ789402|DQ789402.1,8608.0,146.71149651716763,511560.0,21.376741867138467,0.003059169764560099,0.4670015643924868,57321.029369682474,57687.301654741386,64.51110925627077,93.3004120645962,146.71149651716763,500.0619580550823,511538.62325813284,3327824772.205128,406.76154599048607,203.38077299524303,6.659041515994711,0.44283687487081685,0.06235205508926782,real
DQ789403|DQ789403.1,8564.000000000002,223.99999999999994,431336.0,24.9227067932635,0.0028024287716020544,0.37946035801803807,50780.40078613008,51136.75884786587,111.75017151523382,129.6545882517721,223.99999999999994,939.3904416273024,431311.07729320676,2614968105.464789,809.7358533755303,404.86792668776513,5.929519008188938,0.4927097780377081,0.08279770089112742,real
DQ789404|DQ789404.1,4832.999999999998,135.40707418671275,227483.0,21.698170621538242,0.004827919166839094,0.5063133348485467,27406.33185962689,27604.214081774975,41.599965447593334,66.78868603929534,135.40707418671275,267.29993547385567,227461.30182937847,761992635.0724638,200.51124943456034,100.25562471728017,5.670666637621953,0.5142161617841445,0.02949981116979215,real
DQ789405|DQ789405.1,5583.000000000002,185.35528949035955,265515.0,38.592334522564144,0.003940533763209742,0.4296353327559878,32546.999861738408,32796.40580682819,104.60377992362534,111.97448382086102,185.35528949035955,504.1210211335999,265476.4076654774,1075604233.8461537,392.14653731273893,196.07326865636946,5.829661447561955,0.4975246320802985,0.07118413319835516,real
DQ789406|DQ789406.1,10775.000000000002,265.50651781157757,669875.0,19.372831074027587,0.002753286929621036,0.4682529728450254,71543.52412343133,71948.87311297706,128.25345457862258,156.2537654310339,265.50651781157757,1000.3569943125958,669855.627168926,5176640342.227273,844.1032288815619,422.05161444078095,6.639770220272048,0.44068950800033807,0.09561731659242667,real
DQ789407|DQ789407.1,5562.999999999996,320.7674380811431,249235.0,47.558395504505874,0.0038947809934687548,0.3803141545491109,30817.723731645074,31057.553992547448,113.24133004285524,157.5824025832256,320.7674380811431,893.6232228485737,249187.44160449549,964571660.0,736.0408202653482,368.0204101326741,5.539766983937641,0.5103134099942513,0.08783730848182447,real
DQ789408|DQ789408.1,6706.0,170.30954585638398,311372.0,43.60334906045436,0.0033303509295158564,0.39798109556218697,37952.71945460562,38239.159136738985,83.71241335513743,103.6192018940759,170.30954585638398,556.9962715909724,311328.39665093954,1462233291.4848485,453.37706969689646,226.68853484844823,5.659516769252255,0.5166183515751069,0.0399732653475148,real
DQ789409|DQ789409.1,4143.999999999998,189.51411226072548,111704.0,26.43296118179845,0.00514800514800515,0.4336471733144658,15704.54099934156,15828.689500447828,70.29982950382819,97.87087987780072,189.51411226072548,490.2741699796952,111677.5670388182,250547411.30158728,392.4032901018945,196.20164505094726,3.7897058396094514,0.7554157529160014,0.03268818163476744,real
DQ789410|DQ789410.1,42432.0,446.1558267179333,5341664.0,31.118256696970594,0.0012490573152337857,0.5874339946516465,424411.4893072524,425752.44522145804,136.51578239220274,190.29274652183437,446.1558267179333,1093.7749934339818,5341632.881743303,181265144612.05063,903.4822469121474,451.7411234560737,10.002156139405459,0.2967816274847812,0.048767232060826955,real
DQ789411|DQ789411.1,5323.999999999998,168.52175498202683,252440.0,51.028869952914036,0.004445279238667671,0.45552124641247227,29958.915534444834,30172.148940940315,72.69444207187426,97.35330252833644,168.52175498202683,703.4798593489734,252388.97113004708,910358571.7142857,606.1265568206369,303.06327841031845,5.627144164997153,0.5162548262894097,0.14895747883927823,real
DQ789412|DQ789412.1,5038.999999999996,205.38054877514242,201419.0,26.73875743638263,0.004365945624131775,0.40158916829684616,24883.223263878015,25073.90209269084,105.3931518081586,117.7414772371617,205.38054877514242,746.3509451056207,201392.2612425636,628700566.1538461,628.609467868459,314.3047339342295,4.938127260146464,0.5827564299004977,0.0412687843790798,real
DQ789413|DQ789413.1,36489.99999999998,452.4565658357818,3374132.0,81.63995106311108,0.0011966748880971963,0.4473690448740976,297371.4197195151,298512.96487559023,197.7262580964158,255.3137919168822,452.4565658357818,1844.109610855478,3374050.3600489367,89109990198.81538,1588.7958189385959,794.3979094692979,8.149394895026452,0.3635609313244223,0.08928308274327494,real
