nameseq,k1,k2,label
AY948705.1/1-134,0.7404767208732457,0.9315393747526711,hacabox
DQ789482.1/2-135,0.7278903987525062,0.9255469500819719,hacabox
AAGD02002634.1/3105-2972,0.7337937179772778,0.9245293685341173,hacabox
DQ789492.1/2-135,0.7296725328580975,0.9223811408219798,hacabox
AY948709.1/1-134,0.7356872354644687,0.927921307026966,hacabox
nameseq,k1,k2,label
AY948705.1/1-134,0.7404767208732457,0.9315393747526711,hacabox
DQ789482.1/2-135,0.7278903987525062,0.9255469500819719,hacabox
AAGD02002634.1/3105-2972,0.7337937179772778,0.9245293685341173,hacabox
DQ789492.1/2-135,0.7296725328580975,0.9223811408219798,hacabox
AY948709.1/1-134,0.7356872354644687,0.927921307026966,hacabox
