nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
GGgACA1a,69.05357142857143,4.75,0.29043298421893093,14.0,1.0,3.066233147411611,3.511038961038961,0.06268398268398268,0.05660377358490566,130.0,255.0,880.0,8.25,2.3928571428571432,0.21439020547791077,12.0,0.0,3.0336127179402745,1.7976931348623157e+308,0.04285714285714286,0.07894736842105263,130.0,36.0,63.0,0.4285714285714285,1.0357142857142856,0.10123966942148749,8.0,0.0,2.2197513190371905,1.7976931348623157e+308,0.0,0.0,130.0,6.0,4.0,0.0,0.28571428571428575,1.0,8.0,0.0,1.2777531299998799,1.7976931348623157e+308,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
GGgACA1b,69.05357142857143,4.75,0.29043298421893093,14.0,1.0,3.066233147411611,3.511038961038961,0.06268398268398268,0.05660377358490566,130.0,255.0,880.0,8.25,2.3928571428571432,0.21439020547791077,12.0,0.0,3.0336127179402745,1.7976931348623157e+308,0.04285714285714286,0.07894736842105263,130.0,36.0,63.0,0.4285714285714285,1.0357142857142856,0.10123966942148749,8.0,0.0,2.2197513190371905,1.7976931348623157e+308,0.0,0.0,130.0,6.0,4.0,0.0,0.28571428571428575,1.0,8.0,0.0,1.2777531299998799,1.7976931348623157e+308,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
GGgACA2,55.28,5.200000000000001,0.4214790682827448,16.0,1.0,3.5383612025908264,3.256326530612245,0.10628166160081054,0.09152542372881356,128.0,277.0,1075.0,18.020000000000003,2.7600000000000002,0.39412053619559895,14.0,0.0,3.246906219772909,1.7976931348623157e+308,0.07962962962962963,0.09090909090909091,128.0,31.0,45.0,0.4800000000000001,1.0799999999999996,-0.19395796847635624,11.0,0.0,2.8763866221354877,1.7976931348623157e+308,0.4666666666666666,0.3333333333333333,128.0,7.0,8.0,0.019999999999999997,0.4800000000000001,-0.500000000000003,8.0,0.0,1.7232527382830412,1.7976931348623157e+308,0.0,0.0,128.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
GGgACA3,53.941176470588225,5.333333333333334,0.2680979519608607,13.0,2.0,3.0657287568305054,3.1576470588235295,0.057049486461251166,0.055350553505535055,132.0,261.0,934.0,10.843137254901963,2.980392156862745,0.17681076981418187,11.0,0.0,3.2868734537725905,1.7976931348623157e+308,0.19824561403508775,0.13953488372093023,132.0,39.0,70.0,0.09803921568627452,1.0980392156862746,0.1732283464566922,8.0,0.0,2.18061784697378,1.7976931348623157e+308,0.0,0.0,132.0,3.0,1.0,0.0,0.6274509803921569,1.0,8.0,0.0,1.6563695750543432,1.7976931348623157e+308,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
GGgACA4a,70.56140350877189,4.56140350877193,0.23854442751702523,12.0,2.0,2.6755392560874305,3.520050125313283,0.05847953216374269,0.05434782608695652,128.0,266.0,947.0,24.80701754385965,2.210526315789474,0.07135746170397218,11.0,0.0,2.660542367244688,1.7976931348623157e+308,0.0,0.0,128.0,36.0,60.0,0.0,0.4561403508771929,1.0,8.0,0.0,1.364592033868776,1.7976931348623157e+308,0.0,0.0,128.0,0.0,0.0,0.0,0.14035087719298245,0.0,8.0,0.0,1.05028979277865,1.7976931348623157e+308,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
GGgACA4b,51.69230769230769,4.961538461538462,-0.07301174706323364,10.0,1.0,2.5642628155051206,3.0271493212669682,0.11746031746031745,0.05865921787709497,127.0,344.0,1416.0,2.596153846153846,2.0384615384615388,-0.024835905623558276,9.0,0.0,2.1027595281287144,1.7976931348623157e+308,0.0,0.0,127.0,22.0,27.0,0.0,0.3461538461538462,0.0,3.0,0.0,0.9584565995674702,1.7976931348623157e+308,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
GGgACA4c,48.08163265306121,5.387755102040817,0.23853355609494697,18.0,2.0,3.3552658979799856,3.003401360544218,0.080466472303207,0.055900621118012424,131.0,310.0,1242.0,4.26530612244898,2.612244897959184,0.11890152017456089,16.0,0.0,3.4512128984803643,1.7976931348623157e+308,0.08444444444444446,0.08571428571428572,131.0,33.0,44.0,0.2857142857142858,1.1428571428571428,0.3801629132726405,12.0,0.0,2.7180425129200643,1.7976931348623157e+308,0.41666666666666663,0.375,131.0,6.0,5.0,0.040816326530612256,0.6530612244897961,-0.7142857142857143,12.0,0.0,2.3347509626245047,1.7976931348623157e+308,0.7777777777777778,0.6,131.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
GGgACA5,57.249999999999986,4.961538461538461,0.2248561390592603,14.0,1.0,2.9019989030211737,3.2450980392156863,0.07609710550887022,0.059602649006622516,128.0,290.0,1072.0,13.461538461538462,2.307692307692308,-0.06773823191733665,12.0,0.0,3.0098457763867463,1.7976931348623157e+308,0.2523809523809524,0.15,128.0,36.0,62.0,0.03846153846153846,0.6923076923076922,-0.5,6.0,0.0,1.7269187938956652,1.7976931348623157e+308,0.0,0.0,128.0,2.0,0.0,0.0,0.23076923076923073,0.0,6.0,0.0,1.153846153846154,1.7976931348623157e+308,0.0,0.0,128.0,0.0,0.0,0.0,0.23076923076923073,0.0,6.0,0.0,1.153846153846154,1.7976931348623157e+308,0.0,0.0,128.0,0.0,0.0,0.0,0.23076923076923073,0.0,6.0,0.0,1.153846153846154,1.7976931348623157e+308,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
GGgACA6,61.624999999999986,4.821428571428572,0.34739350464305013,18.0,1.0,3.370603712653729,3.2409090909090907,0.05207792207792208,0.05202312138728324,132.0,334.0,1343.0,2.1607142857142843,1.8928571428571437,0.4223488085065984,14.0,0.0,2.986150002383453,1.7976931348623157e+308,0.0,0.0,132.0,19.0,23.0,0.1785714285714286,0.8214285714285715,0.7735751295336797,12.0,0.0,2.3383995049815502,1.7976931348623157e+308,0.0,0.0,132.0,3.0,2.0,0.0,0.39285714285714285,1.0,12.0,0.0,1.8193265181357186,1.7976931348623157e+308,0.0,0.0,132.0,0.0,0.0,0.0,0.39285714285714285,1.0,12.0,0.0,1.8193265181357186,1.7976931348623157e+308,0.0,0.0,132.0,0.0,0.0,0.0,0.21428571428571425,0.0,12.0,0.0,1.5891853900919277,1.7976931348623157e+308,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
GGgACA7,67.67857142857143,4.5357142857142865,0.36699817181224387,14.0,2.0,3.0411715653339786,3.461038961038961,0.02576530612244898,0.050335570469798654,125.0,288.0,1121.0,5.464285714285715,1.8928571428571437,0.14763413458227154,12.0,0.0,2.90122247280947,1.7976931348623157e+308,0.0,0.0,125.0,31.0,58.0,0.48214285714285704,0.6785714285714287,0.00202020202020335,9.0,0.0,1.9374794271455489,1.7976931348623157e+308,0.0,0.0,125.0,6.0,7.0,0.0,0.14285714285714285,0.0,4.0,0.0,0.7423074889580904,1.7976931348623157e+308,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
