nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
AFSP01066114.1/1322-1172,65.25,5.1000000000000005,0.7043820388295153,30.0,2.0,3.9441940452602817,3.211864406779661,0.06849206349206348,0.047619047619047616,148.0,366.0,1425.0,3.5833333333333344,2.0333333333333337,0.6907860267815585,28.0,0.0,3.9789725083521525,1.7976931348623157e+308,0.0,0.0,148.0,19.0,16.0,0.06666666666666667,0.8333333333333331,0.3939784471119619,28.0,0.0,3.777859476240775,1.7976931348623157e+308,0.0,0.0,148.0,2.0,1.0,0.0,0.6333333333333335,0.4502314814814816,25.0,0.0,3.3114280236108953,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.5000000000000002,-0.20000000000000184,25.0,0.0,3.253203549323856,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.33333333333333337,0.0,20.0,0.0,2.5603819159562025,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.33333333333333337,0.0,20.0,0.0,2.5603819159562025,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.33333333333333337,0.0,20.0,0.0,2.5603819159562025,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.33333333333333337,0.0,20.0,0.0,2.5603819159562025,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.33333333333333337,0.0,20.0,0.0,2.5603819159562025,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,hacabox
AASG02003814.1/14641-14787,62.322033898305044,4.983050847457629,0.34098536920212474,17.0,2.0,3.050376611500752,3.1490356516656925,0.10706214689265538,0.07653061224489796,144.0,372.0,1500.0,3.1525423728813564,1.9322033898305093,0.6090552504762968,14.0,0.0,2.8276144750742676,1.7976931348623157e+308,0.0,0.0,144.0,25.0,31.0,0.016949152542372885,0.6440677966101693,0.9038245219347579,12.0,0.0,1.9464240298244873,1.7976931348623157e+308,0.0,0.0,144.0,1.0,0.0,0.0,0.3389830508474576,1.0,12.0,0.0,1.6935587792266846,1.7976931348623157e+308,0.0,0.0,144.0,0.0,0.0,0.0,0.2033898305084746,0.0,12.0,0.0,1.5489708011926593,1.7976931348623157e+308,0.0,0.0,144.0,0.0,0.0,0.0,0.2033898305084746,0.0,12.0,0.0,1.5489708011926593,1.7976931348623157e+308,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
ACYM01129633.1/2287-2137,60.8620689655172,5.310344827586206,0.48264235794591315,20.0,2.0,3.1470122478297555,3.135511191772535,0.10205254515599345,0.08461538461538462,148.0,368.0,1442.0,2.1379310344827576,2.310344827586206,0.49656147055603667,17.0,0.0,3.018374171588842,1.7976931348623157e+308,0.0,0.0,148.0,25.0,30.0,0.0,0.8620689655172412,0.6896551724137929,15.0,0.0,2.37405716938738,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.3448275862068965,1.0,12.0,0.0,1.8620689655172415,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.20689655172413798,0.0,12.0,0.0,1.5620347107456722,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.20689655172413798,0.0,12.0,0.0,1.5620347107456722,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AEKV01000424.1/18275-18422,64.89830508474576,4.949152542372881,0.39970631424375835,13.0,2.0,2.3751804842291517,3.2378725891291644,0.08813559322033898,0.08356545961002786,145.0,339.0,1262.0,4.1525423728813555,2.135593220338982,0.44604488846311713,10.0,0.0,2.459555059104715,1.7976931348623157e+308,0.05555555555555555,0.1,145.0,28.0,31.0,0.06779661016949153,0.3728813559322035,-0.31623931623931556,8.0,0.0,1.4601869520976167,1.7976931348623157e+308,0.0,0.0,145.0,2.0,1.0,0.0,0.16949152542372883,0.0,5.0,0.0,0.9048371400026536,1.7976931348623157e+308,0.0,0.0,145.0,0.0,0.0,0.0,0.16949152542372883,0.0,5.0,0.0,0.9048371400026536,1.7976931348623157e+308,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AARH01006065.1/328881-329029,60.99999999999998,5.2631578947368425,0.3272534600687202,14.0,2.0,3.0752339279982195,3.1785714285714284,0.09874686716791982,0.08356545961002786,146.0,339.0,1291.0,24.49122807017543,2.526315789473685,0.4710135401603786,14.0,0.0,3.0842284892597074,1.7976931348623157e+308,0.0,0.0,146.0,37.0,52.0,0.07017543859649122,0.7017543859649124,0.4222833562585967,14.0,0.0,2.208158018442201,1.7976931348623157e+308,0.0,0.0,146.0,2.0,1.0,0.0,0.2807017543859649,1.0,8.0,0.0,1.2670505322994938,1.7976931348623157e+308,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
AFSP01066114.1/1322-1172,65.25,5.1000000000000005,0.7043820388295153,30.0,2.0,3.9441940452602817,3.211864406779661,0.06849206349206348,0.047619047619047616,148.0,366.0,1425.0,3.5833333333333344,2.0333333333333337,0.6907860267815585,28.0,0.0,3.9789725083521525,1.7976931348623157e+308,0.0,0.0,148.0,19.0,16.0,0.06666666666666667,0.8333333333333331,0.3939784471119619,28.0,0.0,3.777859476240775,1.7976931348623157e+308,0.0,0.0,148.0,2.0,1.0,0.0,0.6333333333333335,0.4502314814814816,25.0,0.0,3.3114280236108953,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.5000000000000002,-0.20000000000000184,25.0,0.0,3.253203549323856,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.33333333333333337,0.0,20.0,0.0,2.5603819159562025,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.33333333333333337,0.0,20.0,0.0,2.5603819159562025,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.33333333333333337,0.0,20.0,0.0,2.5603819159562025,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.33333333333333337,0.0,20.0,0.0,2.5603819159562025,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.33333333333333337,0.0,20.0,0.0,2.5603819159562025,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,hacabox
AASG02003814.1/14641-14787,62.322033898305044,4.983050847457629,0.34098536920212474,17.0,2.0,3.050376611500752,3.1490356516656925,0.10706214689265538,0.07653061224489796,144.0,372.0,1500.0,3.1525423728813564,1.9322033898305093,0.6090552504762968,14.0,0.0,2.8276144750742676,1.7976931348623157e+308,0.0,0.0,144.0,25.0,31.0,0.016949152542372885,0.6440677966101693,0.9038245219347579,12.0,0.0,1.9464240298244873,1.7976931348623157e+308,0.0,0.0,144.0,1.0,0.0,0.0,0.3389830508474576,1.0,12.0,0.0,1.6935587792266846,1.7976931348623157e+308,0.0,0.0,144.0,0.0,0.0,0.0,0.2033898305084746,0.0,12.0,0.0,1.5489708011926593,1.7976931348623157e+308,0.0,0.0,144.0,0.0,0.0,0.0,0.2033898305084746,0.0,12.0,0.0,1.5489708011926593,1.7976931348623157e+308,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
ACYM01129633.1/2287-2137,60.8620689655172,5.310344827586206,0.48264235794591315,20.0,2.0,3.1470122478297555,3.135511191772535,0.10205254515599345,0.08461538461538462,148.0,368.0,1442.0,2.1379310344827576,2.310344827586206,0.49656147055603667,17.0,0.0,3.018374171588842,1.7976931348623157e+308,0.0,0.0,148.0,25.0,30.0,0.0,0.8620689655172412,0.6896551724137929,15.0,0.0,2.37405716938738,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.3448275862068965,1.0,12.0,0.0,1.8620689655172415,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.20689655172413798,0.0,12.0,0.0,1.5620347107456722,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.20689655172413798,0.0,12.0,0.0,1.5620347107456722,1.7976931348623157e+308,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AEKV01000424.1/18275-18422,64.89830508474576,4.949152542372881,0.39970631424375835,13.0,2.0,2.3751804842291517,3.2378725891291644,0.08813559322033898,0.08356545961002786,145.0,339.0,1262.0,4.1525423728813555,2.135593220338982,0.44604488846311713,10.0,0.0,2.459555059104715,1.7976931348623157e+308,0.05555555555555555,0.1,145.0,28.0,31.0,0.06779661016949153,0.3728813559322035,-0.31623931623931556,8.0,0.0,1.4601869520976167,1.7976931348623157e+308,0.0,0.0,145.0,2.0,1.0,0.0,0.16949152542372883,0.0,5.0,0.0,0.9048371400026536,1.7976931348623157e+308,0.0,0.0,145.0,0.0,0.0,0.0,0.16949152542372883,0.0,5.0,0.0,0.9048371400026536,1.7976931348623157e+308,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
