nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
FBgn0063375,56.02439024390246,3.658536585365855,0.571917808219178,10.0,1.0,2.148280720376078,3.801219512195122,0.0325,0.0625,74.0,138.0,408.0,0.048780487804878044,1.170731707317073,0.5816993464052291,7.0,0.0,1.8986829713198599,1.7976931348623157e+308,0.6,0.6,74.0,3.0,0.0,0.024390243902439022,0.4878048780487806,-0.2962962962962953,7.0,0.0,1.4163152332641926,1.7976931348623157e+308,0.0,0.0,74.0,1.0,0.0,0.0,0.19512195121951217,0.0,4.0,0.0,0.8616352064710096,1.7976931348623157e+308,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
FBgn0063377,42.39999999999999,4.057142857142858,0.3705961918634897,12.0,1.0,2.650529404184941,3.4941176470588236,0.08823529411764708,0.14285714285714285,70.0,114.0,302.0,0.20000000000000007,1.8285714285714278,-0.02181818181818182,11.0,0.0,2.7618390796787593,1.7976931348623157e+308,0.75,0.46153846153846156,70.0,9.0,5.0,0.02857142857142857,0.9142857142857143,0.1111111111111111,7.0,0.0,2.129673731838197,1.7976931348623157e+308,0.75,0.75,70.0,2.0,0.0,0.0,0.22857142857142856,0.0,4.0,0.0,0.9284615319583956,1.7976931348623157e+308,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
FBgn0063381,65.40000000000002,3.400000000000001,0.410721871371527,10.0,1.0,2.2561028345356955,4.3538461538461535,0.015789473684210527,0.027522935779816515,66.0,107.0,270.0,1.0250000000000001,1.25,0.11119515885022804,8.0,0.0,2.342541355024496,1.7976931348623157e+308,0.0,0.0,66.0,10.0,9.0,0.0,0.35000000000000014,1.0,4.0,0.0,1.061838029079765,1.7976931348623157e+308,0.0,0.0,66.0,0.0,0.0,0.0,0.19999999999999998,0.0,4.0,0.0,0.8717797887081346,1.7976931348623157e+308,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
FBgn0063385,48.62790697674418,3.999999999999999,0.422650321074139,14.0,2.0,2.551789158017712,3.3156146179401995,0.09920634920634921,0.09230769230769231,84.0,183.0,582.0,0.8139534883720929,1.3488372093023258,0.5715957291209594,10.0,0.0,2.1554012299039087,1.7976931348623157e+308,0.0,0.0,84.0,8.0,6.0,0.0,0.32558139534883734,1.0,8.0,0.0,1.342003539186373,1.7976931348623157e+308,0.0,0.0,84.0,0.0,0.0,0.0,0.18604651162790709,0.0,8.0,0.0,1.205719199703788,1.7976931348623157e+308,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
FBgn0063386,61.35714285714285,3.1428571428571437,0.2190855893511662,8.0,0.0,1.712300437749067,1.7976931348623157e+308,0.03675213675213675,0.030303030303030304,64.0,97.0,229.0,0.2619047619047619,1.1428571428571426,-0.1566265060240971,6.0,0.0,1.7535192990020925,1.7976931348623157e+308,0.0,0.0,64.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
FBgn0063389,55.60000000000001,3.3499999999999996,0.286767593036953,9.0,2.0,1.82414363469547,3.8512820512820514,0.08632478632478631,0.08108108108108109,65.0,105.0,258.0,0.10000000000000005,1.0500000000000003,0.38448275862068954,6.0,0.0,1.5960889699512368,1.7976931348623157e+308,0.0,0.0,65.0,2.0,1.0,0.0,0.15000000000000002,0.0,3.0,0.0,0.6538348415311012,1.7976931348623157e+308,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
FBgn0065053,64.84090909090908,3.1363636363636362,0.15482233502538176,6.0,2.0,1.2896600871919186,4.015856236786469,0.0,0.0,69.0,118.0,287.0,0.31818181818181823,0.9090909090909087,0.1999999999999993,4.0,0.0,1.3787046261911908,1.7976931348623157e+308,0.0,0.0,69.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
FBgn0065066,59.26470588235292,2.5294117647058822,0.369846000993542,6.0,1.0,1.193987242952026,4.591800356506239,0.013541666666666667,0.04411764705882353,43.0,66.0,143.0,0.0,0.3529411764705883,0.0,2.0,0.0,0.7624400821656306,1.7976931348623157e+308,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
FBgn0065080,37.71428571428571,3.7142857142857144,0.23060779046339808,12.0,2.0,2.336926291048975,3.2184873949579833,0.05469387755102041,0.049586776859504134,65.0,117.0,351.0,6.4,1.6,0.0458100558659215,9.0,0.0,2.3077509150067055,1.7976931348623157e+308,0.0,0.0,65.0,16.0,25.0,0.0,0.3428571428571429,0.0,3.0,0.0,0.954473890770861,1.7976931348623157e+308,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
FBgn0082926,41.7027027027027,4.216216216216216,0.2515109108524152,12.0,1.0,2.7912521179003127,3.3168168168168166,0.1451058201058201,0.12080536912751678,77.0,137.0,403.0,5.621621621621621,1.9459459459459454,0.3469387755102042,8.0,0.0,2.6298283362530035,1.7976931348623157e+308,0.0,0.0,77.0,16.0,21.0,0.05405405405405408,0.756756756756757,-0.5984251968503957,8.0,0.0,1.8802732033433605,1.7976931348623157e+308,0.0,0.0,77.0,2.0,0.0,0.0,0.2702702702702703,0.0,5.0,0.0,1.1306216574784804,1.7976931348623157e+308,0.0,0.0,77.0,0.0,0.0,0.0,0.2702702702702703,0.0,5.0,0.0,1.1306216574784804,1.7976931348623157e+308,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
