nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
X01556.1/3-118,3401136.999999995,19481.028727364934,586523091.0,8056.484491956256,2.254148147124529e-05,0.09482300787727313,38952120.11368462,39037075.76556222,10615.001415984336,12269.111019507689,19481.028727364934,62013.85272646119,586515034.515508,1523893284326245.5,49744.7417069535,24872.37085347675,11.452676006195773,0.26044713058516605,0.061048599596433405,negative
X55260.1/3-119,3455148.999999996,20072.17188911076,599004531.0,8398.129191388864,2.2189105785790067e-05,0.09558063859337798,39784980.317469776,39871752.46049932,11225.524696176479,12609.913286693809,20072.17188911076,66839.96633663093,598996132.8708086,1589756644271333.2,54230.053049937116,27115.026524968558,11.514693090651033,0.25902313893586565,0.06602564498819263,negative
M16174.1/3-119,3709837.000000006,21295.31252480246,651131971.0,9304.987125471518,2.0665777678821614e-05,0.09319987034918643,43192336.42481242,43286540.10580276,11817.055215663644,13198.588155820707,21295.31252480246,69203.43478176834,651122666.0128745,1873724554331270.5,56004.84662594764,28002.42331297382,11.642650721530986,0.25619417652222237,0.06216621351958343,negative
X55267.1/3-119,3713517.0000000033,21506.696484267442,648676219.0,8995.0,2.0645298423749402e-05,0.09310901782771054,43052414.25198381,43146312.758843176,11570.479404230426,13159.371658198193,21506.696484267442,67511.38706155817,648667224.0,1861604304683913.2,54352.015403359976,27176.007701679988,11.593434001240272,0.25726852031385994,0.06530412737988367,negative
M16172.1/3-119,3641228.999999997,21419.110573991762,628693235.0,8907.0,2.105516205288564e-05,0.0924671212665521,41763573.45870798,41854660.96813154,11802.795891481244,13413.977362233061,21419.110573991762,67875.82226229351,628684328.0,1751812644757233.8,54461.84490006045,27230.922450030226,11.46963661409596,0.26002156350473293,0.06429783656700065,negative
AF001265.1/6033-6149,3623869.000000004,20433.225122073585,626540435.0,8348.837911332732,2.1156025967458146e-05,0.09360090661901518,41621562.90656931,41712340.68704883,11059.782717647142,13151.555567639474,20433.225122073585,65594.8080749941,626532086.1620886,1739919365592429.5,52443.25250735463,26221.626253677314,11.485393899881387,0.259728529389932,0.06374598598966766,negative
X05057.1/3-119,3581917.000000001,20349.48760697221,620948307.0,8323.45545397101,2.1403808817085e-05,0.09407395259868345,41243711.29332104,41333664.96897591,11222.152556604748,12899.22948754408,20349.48760697221,67587.00469321947,620939983.544546,1708471859767546.5,54687.77520567539,27343.887602837694,11.514424062121215,0.2590625868072487,0.06882735590656369,negative
X15126.1/3-120,3681781.000000002,20343.72933302255,642073731.0,8337.21993424595,2.0823255556663102e-05,0.09395897947861666,42623534.73728882,42716497.84605838,11078.919957763834,13042.889454590862,20343.72933302255,65862.90376894263,642065393.7800658,1824699188232310.8,52820.01431435177,26410.007157175885,11.576879433428767,0.2577053235894913,0.06387701751374952,negative
Z50737.1/3-119,3719901.0000000084,21683.74174478819,644885643.0,9527.267976481842,2.0609867484824597e-05,0.09204366855375837,42813122.21387646,42906498.81817887,11902.32418144161,13581.157909857122,21683.74174478819,67811.56908343805,644876115.7320235,1840967640834384.5,54230.41117358093,27115.205586790464,11.509210114429488,0.25914138472175463,0.06013909637167348,negative
X55261.1/3-119,3803837.0,21418.3356125867,665719011.0,8235.801974390739,2.0155087262326613e-05,0.09204274810174297,44174164.902832896,44270509.97890362,11054.868616604637,13108.143564590127,21418.3356125867,70392.78124544665,665710775.1980256,1959878053792205.2,57284.63768085652,28642.31884042826,11.61305410900438,0.2568753935274629,0.06554479036126104,negative
