nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
LM5Cs1H1,1686454.0000000016,7031.3948301528335,357083956.0,2225.2214126366175,5.6133559923168126e-05,0.23746718551506088,21401037.732131496,21438815.409781925,3647.6198117379,4346.941239803444,7031.3948301528335,23976.012697234928,357081730.77858734,459622806174703.0,19629.071457431484,9814.535728715742,12.689962330506184,0.23542165938734347,0.07279086032606623,real
LM5Cs1H2,11637.000000000011,343.59688602847467,574379.0,83.9957827544738,0.0019764544126493065,0.35319721559999134,69603.55187775982,70113.47482579264,131.46891594638856,161.55922669982414,343.59688602847467,821.1259762389877,574295.0042172455,4915899352.1470585,659.5667495391635,329.78337476958177,5.981228141081013,0.4867597763030285,0.07887210537766895,real
LM5Cs1H3,9902.0,228.68544582198953,377956.0,59.07155716998312,0.002524742476267421,0.41952379152167235,48246.36738657118,48571.26242036651,108.96560406988199,134.61803398874974,228.68544582198953,604.271327663202,377896.92844283005,2359167533.108108,469.65329367445224,234.82664683722612,4.8723861226591785,0.6014948945277774,0.102032834456595,real
LM5Cs1H4,6877.0,271.0035777000377,325747.0,25.509279498564158,0.0033444816053511705,0.3976282418078938,39292.04624348292,39579.903910429384,106.53271450064783,127.09531135794663,271.0035777000377,788.6257101475155,325721.49072050146,1566568793.5588236,661.5303987895688,330.7651993947844,5.713544604258095,0.5043766146484914,0.058717184591681494,real
LM15Cs1H1,14551.999999999996,346.1403339396285,751208.0,94.16825534492489,0.001466006963533077,0.2751523686137201,93197.41163787758,93934.16153475846,197.8683170614564,238.0966103028341,346.1403339396285,1963.9683415075472,751113.831744655,8823626703.238094,1725.8717312047131,862.9358656023566,6.404440052080649,0.4572828606418114,0.16699893262330595,real
LM18Cs1H1,8962.0,211.32709456003445,479316.0,33.14949532849316,0.0025291973517815964,0.41424033175937514,57837.26553010611,58267.28829500933,68.14741650944116,89.76585651394834,211.32709456003445,741.4956701188433,479282.8505046715,3395076885.2537313,651.7298136048951,325.86490680244754,6.453611418222061,0.45389453453076717,0.09804609025510479,real
LM23Cs1H1,8411.0,222.0492202101748,417819.0,72.93872078495025,0.002575991756826378,0.3559801010616239,51507.67958275736,51908.523601620574,87.96290840594538,119.05596159661972,222.0492202101748,1467.3851504904408,417746.06127921504,2694494822.5,1348.329188893821,674.1645944469105,6.1238472931586445,0.4769551363675377,0.21769317424415024,real
LM26Cs1H1,14117.000000000004,383.5920086718938,690507.0,98.14297637733733,0.0016292413402280933,0.3357285199224922,83236.55352067384,83846.35327385162,161.06137181513606,205.62669516831707,383.5920086718938,1171.8919068941602,690408.8570236226,7030210957.323529,966.2652117258432,483.1326058629216,5.89619278321696,0.4949775336835786,0.09502800075702407,real
LM26Cs1H2,19067.0,411.72832531113244,1222467.0,70.64329379850273,0.0014160591598048986,0.3537016416128611,135107.44876578788,135949.2478680923,183.28403339414967,234.45344733867043,411.72832531113244,1265.208351029063,1222396.3567062016,18482197995.9,1030.7549036903924,515.3774518451962,7.085931125283887,0.41423189865041965,0.07322419142299129,real
LM26Cs1H3,47340.99999999998,722.7219364257321,2862235.0,194.51278904877847,0.0005984946100279535,0.2406977869478573,312698.2547472883,314554.0470323101,308.8980251579293,358.2910910420637,722.7219364257321,2356.804147668401,2862040.4872109513,98944248504.40475,1998.5130566263374,999.2565283131687,6.605231295225881,0.4472517261209164,0.050623650126354856,real
LM26Cs1H4,4682.000000000001,163.05761083709473,238348.0,26.807185276284837,0.004841235939057382,0.46775238664477103,28705.735803145682,28919.164286762785,48.5832868162942,85.38343682762047,163.05761083709473,537.7405480628809,238321.1928147237,836318063.0447761,452.3571112352604,226.1785556176302,6.131084110026842,0.47226893121489366,0.06078153581946607,real
LM26Cs1H5,13874.999999999996,299.88236586768073,995195.0,61.723399648439724,0.0019459459459459465,0.4325289142673523,109774.43538456483,110458.39487019536,127.96771650327004,165.0742151699414,299.88236586768073,867.4828237663676,995133.2766003516,12201056997.3,702.4086085964261,351.20430429821306,7.911671018707377,0.37099123087927316,0.0716640524477338,real
LM26Cs1H6,10497.000000000007,365.0889979747359,496867.0,68.21772599717752,0.0022228573243148818,0.35290628922976475,60037.73348486767,60471.22455457997,160.94470651129325,224.0527487953426,365.0889979747359,1139.3023922062598,496798.78227400285,3656768999.130435,915.2496434109172,457.6248217054586,5.7195135262329835,0.5062771567440495,0.20131590659071208,real
LM26Cs1H7,5474.999999999998,180.61489345643096,252891.0,19.0,0.0045053272450532745,0.5070820364202407,30312.392779191814,30519.305712133835,65.72256561670224,96.8231405799285,180.61489345643096,432.8061612270983,252872.0,931428021.150685,335.9830206471698,167.9915103235849,5.536510096656041,0.5239822350987027,0.06400556161511757,real
LM26Cs1H8,9047.0,270.4158347378744,307691.0,77.11878596923918,0.002431745329943628,0.3310539765878286,41415.23507116675,41732.59783541288,139.9966339519164,163.08387668036303,270.4158347378744,950.4961653118057,307613.8812140308,1741609722.0923078,787.4122886314427,393.70614431572136,4.5777865669466955,0.6357504056307319,0.07717552371182271,real
LM26Cs1H9,5432.999999999996,254.39616269688833,253347.0,56.616114610024354,0.004294742008712194,0.4370676253117548,30340.376299578093,30559.44323322396,90.91175298927357,135.02489457205067,254.39616269688833,696.3458445900663,253290.38388538998,933879570.7246376,561.3209500180157,280.6604750090078,5.584460942311451,0.5120507194278062,0.08926138074411706,real
