nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
BC028232.1/151-277,52.347826086956516,5.782608695652176,0.6717353198045664,36.0,2.0,5.912084321184361,3.3265700483091787,0.05217391304347825,0.08786610878661087,124.0,225.0,812.0,3.413043478260871,3.521739130434784,0.6480364093165017,35.0,0.0,6.063931607516919,1.7976931348623157e+308,0.1288888888888889,0.2,124.0,39.0,75.0,1.108695652173913,1.8695652173913049,0.40875399324505834,35.0,0.0,5.57404191670864,1.7976931348623157e+308,0.0,0.0,124.0,7.0,6.0,0.021739130434782608,1.3478260869565217,0.7208021683936044,29.0,0.0,4.640171432854179,1.7976931348623157e+308,0.0,0.0,124.0,1.0,0.0,0.0,1.0000000000000002,0.5050659015511523,29.0,0.0,4.403555875406384,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.7826086956521736,1.0,24.0,0.0,3.670760159861815,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.5217391304347827,0.0,24.0,0.0,3.499932486521412,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.5217391304347827,0.0,24.0,0.0,3.499932486521412,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.5217391304347827,0.0,24.0,0.0,3.499932486521412,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.5217391304347827,0.0,24.0,0.0,3.499932486521412,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,hacabox
ABDC01310736.1/270-396,53.34042553191489,5.531914893617021,0.43561984361124195,22.0,2.0,4.384940688746056,3.3191489361702127,0.04057971014492754,0.06276150627615062,124.0,229.0,840.0,8.787234042553193,3.5319148936170226,0.3593245297358925,22.0,0.0,4.546923504355338,1.7976931348623157e+308,0.10980392156862746,0.1016949152542373,124.0,55.0,113.0,1.191489361702128,1.404255319148936,0.5579178885630499,18.0,0.0,3.4062494159630026,1.7976931348623157e+308,0.0,0.0,124.0,6.0,5.0,0.0,0.7659574468085103,1.0,12.0,0.0,2.280469958633917,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.25531914893617025,0.0,12.0,0.0,1.7316587190958121,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.25531914893617025,0.0,12.0,0.0,1.7316587190958121,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AANG01147281.1/396-522,54.659574468085104,5.4893617021276615,0.5266323674056144,18.0,1.0,3.648796598037827,3.376503237742831,0.08783068783068783,0.12313432835820895,124.0,246.0,871.0,8.106382978723401,3.191489361702129,0.47023208879919287,14.0,0.0,3.6474316109105884,1.7976931348623157e+308,0.05555555555555555,0.06521739130434782,124.0,44.0,73.0,0.10638297872340428,1.1489361702127654,0.8333333333333334,12.0,0.0,2.3608394053923747,1.7976931348623157e+308,0.0,0.0,124.0,3.0,1.0,0.0,0.25531914893617025,0.0,12.0,0.0,1.7316587190958124,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.25531914893617025,0.0,12.0,0.0,1.7316587190958124,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.25531914893617025,0.0,12.0,0.0,1.7316587190958124,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AAFC03057820.1/30291-30417,56.15686274509804,5.058823529411765,0.4738051976654558,16.0,2.0,3.0189711577309035,3.2462745098039214,0.043464052287581705,0.07291666666666667,124.0,274.0,1016.0,5.666666666666667,2.549019607843137,0.620191527349456,14.0,0.0,2.8581752405158585,1.7976931348623157e+308,0.0,0.0,124.0,20.0,19.0,0.019607843137254898,0.7450980392156864,0.9038245219347579,12.0,0.0,2.075469587827332,1.7976931348623157e+308,0.0,0.0,124.0,1.0,0.0,0.0,0.3921568627450981,1.0,12.0,0.0,1.8158175533788585,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.2352941176470588,0.0,12.0,0.0,1.6637806616154063,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.2352941176470588,0.0,12.0,0.0,1.6637806616154063,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AANU01174700.1/2922-2796,41.47619047619048,6.095238095238097,0.5366426828825791,22.0,2.0,4.122005544054425,3.0232288037166084,0.06927437641723355,0.084,124.0,236.0,854.0,23.714285714285715,3.6666666666666674,0.5941353867930008,21.0,0.0,4.432921570566487,1.7976931348623157e+308,0.12037037037037039,0.14634146341463414,124.0,37.0,63.0,4.0,2.1428571428571432,0.5081420287552628,19.0,0.0,3.8948771517482914,1.7976931348623157e+308,0.0,0.0,124.0,12.0,14.0,0.023809523809523808,0.8571428571428569,0.6917808219178081,16.0,0.0,2.8332332915511462,1.7976931348623157e+308,0.0,0.0,124.0,1.0,0.0,0.0,0.28571428571428575,0.0,12.0,0.0,1.829464067837957,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.28571428571428575,0.0,12.0,0.0,1.829464067837957,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
BC028232.1/151-277,52.347826086956516,5.782608695652176,0.6717353198045664,36.0,2.0,5.912084321184361,3.3265700483091787,0.05217391304347825,0.08786610878661087,124.0,225.0,812.0,3.413043478260871,3.521739130434784,0.6480364093165017,35.0,0.0,6.063931607516919,1.7976931348623157e+308,0.1288888888888889,0.2,124.0,39.0,75.0,1.108695652173913,1.8695652173913049,0.40875399324505834,35.0,0.0,5.57404191670864,1.7976931348623157e+308,0.0,0.0,124.0,7.0,6.0,0.021739130434782608,1.3478260869565217,0.7208021683936044,29.0,0.0,4.640171432854179,1.7976931348623157e+308,0.0,0.0,124.0,1.0,0.0,0.0,1.0000000000000002,0.5050659015511523,29.0,0.0,4.403555875406384,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.7826086956521736,1.0,24.0,0.0,3.670760159861815,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.5217391304347827,0.0,24.0,0.0,3.499932486521412,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.5217391304347827,0.0,24.0,0.0,3.499932486521412,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.5217391304347827,0.0,24.0,0.0,3.499932486521412,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.5217391304347827,0.0,24.0,0.0,3.499932486521412,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,hacabox
ABDC01310736.1/270-396,53.34042553191489,5.531914893617021,0.43561984361124195,22.0,2.0,4.384940688746056,3.3191489361702127,0.04057971014492754,0.06276150627615062,124.0,229.0,840.0,8.787234042553193,3.5319148936170226,0.3593245297358925,22.0,0.0,4.546923504355338,1.7976931348623157e+308,0.10980392156862746,0.1016949152542373,124.0,55.0,113.0,1.191489361702128,1.404255319148936,0.5579178885630499,18.0,0.0,3.4062494159630026,1.7976931348623157e+308,0.0,0.0,124.0,6.0,5.0,0.0,0.7659574468085103,1.0,12.0,0.0,2.280469958633917,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.25531914893617025,0.0,12.0,0.0,1.7316587190958121,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.25531914893617025,0.0,12.0,0.0,1.7316587190958121,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AANG01147281.1/396-522,54.659574468085104,5.4893617021276615,0.5266323674056144,18.0,1.0,3.648796598037827,3.376503237742831,0.08783068783068783,0.12313432835820895,124.0,246.0,871.0,8.106382978723401,3.191489361702129,0.47023208879919287,14.0,0.0,3.6474316109105884,1.7976931348623157e+308,0.05555555555555555,0.06521739130434782,124.0,44.0,73.0,0.10638297872340428,1.1489361702127654,0.8333333333333334,12.0,0.0,2.3608394053923747,1.7976931348623157e+308,0.0,0.0,124.0,3.0,1.0,0.0,0.25531914893617025,0.0,12.0,0.0,1.7316587190958124,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.25531914893617025,0.0,12.0,0.0,1.7316587190958124,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.25531914893617025,0.0,12.0,0.0,1.7316587190958124,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AAFC03057820.1/30291-30417,56.15686274509804,5.058823529411765,0.4738051976654558,16.0,2.0,3.0189711577309035,3.2462745098039214,0.043464052287581705,0.07291666666666667,124.0,274.0,1016.0,5.666666666666667,2.549019607843137,0.620191527349456,14.0,0.0,2.8581752405158585,1.7976931348623157e+308,0.0,0.0,124.0,20.0,19.0,0.019607843137254898,0.7450980392156864,0.9038245219347579,12.0,0.0,2.075469587827332,1.7976931348623157e+308,0.0,0.0,124.0,1.0,0.0,0.0,0.3921568627450981,1.0,12.0,0.0,1.8158175533788585,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.2352941176470588,0.0,12.0,0.0,1.6637806616154063,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.2352941176470588,0.0,12.0,0.0,1.6637806616154063,1.7976931348623157e+308,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
