nameseq,k1,k2,label
AL138659.1/77819-77696,0.7418054110301768,0.926432678960936,hacabox
AJ505659.1/1-124,0.7418054110301768,0.926432678960936,hacabox
AARH01007754.1/2159-2040,0.7397222222222222,0.9262057764282183,hacabox
AASG02009944.1/1753-1868,0.7381093935790726,0.9196219281663516,hacabox
AACV01024246.1/8981-8858,0.7494797086368367,0.9307951616101526,hacabox
nameseq,k1,k2,label
AL138659.1/77819-77696,0.7418054110301768,0.926432678960936,hacabox
AJ505659.1/1-124,0.7418054110301768,0.926432678960936,hacabox
AARH01007754.1/2159-2040,0.7397222222222222,0.9262057764282183,hacabox
AASG02009944.1/1753-1868,0.7381093935790726,0.9196219281663516,hacabox
AACV01024246.1/8981-8858,0.7494797086368367,0.9307951616101526,hacabox
