nameseq,k1,k2,label
AC009733.5/161685-161548,1.9826254364075633,3.919617333565024,hacabox
AC009733.5/161938-161801,1.9697811576461421,3.8868218157815777,hacabox
AC009733.5/161346-161211,1.9771768773463436,3.902995513150418,hacabox
AC009733.5/161167-161032,1.988577335078829,3.902644218328998,hacabox
AC009733.5/161513-161377,1.9891748947988157,3.9473732282887246,hacabox
nameseq,k1,k2,label
AC009733.5/161685-161548,1.9826254364075633,3.919617333565024,hacabox
AC009733.5/161938-161801,1.9697811576461421,3.8868218157815777,hacabox
AC009733.5/161346-161211,1.9771768773463436,3.902995513150418,hacabox
AC009733.5/161167-161032,1.988577335078829,3.902644218328998,hacabox
AC009733.5/161513-161377,1.9891748947988157,3.9473732282887246,hacabox
