nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
DQ789401|DQ789401.1,59.74418604651161,3.3488372093023244,0.23386710534535501,12.0,1.0,2.176873381178895,3.8449612403100777,0.04959349593495935,0.06870229007633588,71.0,125.0,325.0,0.32558139534883723,1.0232558139534884,-0.3079781420765019,10.0,0.0,2.0056707060409615,1.7976931348623157e+308,0.0,0.0,71.0,8.0,7.0,0.023255813953488372,0.27906976744186046,-1.0,6.0,0.0,1.0853266874026082,1.7976931348623157e+308,0.0,0.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
DQ789402|DQ789402.1,48.317073170731696,3.853658536585365,0.2717493140600948,12.0,2.0,2.4250821018010726,3.4158536585365855,0.07270615563298491,0.06040268456375839,76.0,143.0,421.0,1.170731707317073,1.4146341463414627,0.6363636363636365,10.0,0.0,2.2521058953148887,1.7976931348623157e+308,0.0,0.0,76.0,8.0,7.0,0.0,0.3414634146341464,1.0,8.0,0.0,1.3723712094278242,1.7976931348623157e+308,0.0,0.0,76.0,0.0,0.0,0.0,0.19512195121951217,0.0,8.0,0.0,1.2340595746998553,1.7976931348623157e+308,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
DQ789403|DQ789403.1,53.97619047619048,3.2857142857142856,0.31722513089005205,8.0,2.0,1.7766436291597743,3.632984901277584,0.06587301587301589,0.060810810810810814,69.0,142.0,396.0,0.857142857142857,0.7619047619047619,-0.3333333333333333,4.0,0.0,1.4443572274383905,1.7976931348623157e+308,0.0,0.0,69.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
DQ789404|DQ789404.1,75.34693877551017,2.7346938775510194,0.09701992298677409,6.0,1.0,1.366889963235947,4.139455782312925,0.0,0.0,67.0,138.0,382.0,0.0,0.24489795918367352,0.0,2.0,0.0,0.6556072818044493,1.7976931348623157e+308,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
DQ789405|DQ789405.1,59.85365853658538,3.121951219512196,0.3366536545968502,10.0,2.0,1.7557587749087984,3.9926829268292683,0.0,0.0,63.0,101.0,241.0,1.2682926829268293,0.9268292682926831,-0.036363636363635994,9.0,0.0,1.9176998913515402,1.7976931348623157e+308,0.0,0.0,63.0,10.0,16.0,0.0,0.14634146341463417,0.0,3.0,0.0,0.6462264048532571,1.7976931348623157e+308,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
DQ789406|DQ789406.1,47.20454545454545,3.9545454545454546,0.14184094465784478,8.0,2.0,1.7445310056723171,3.1955602536997887,0.09224806201550388,0.0594059405940594,86.0,194.0,644.0,0.5681818181818181,1.2727272727272727,0.12500000000000044,4.0,0.0,1.54277843167974,1.7976931348623157e+308,0.0,0.0,86.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
DQ789407|DQ789407.1,51.62162162162162,3.3513513513513513,0.3308001541935127,8.0,2.0,1.8190614778879828,3.8678678678678677,0.014814814814814815,0.030303030303030304,62.0,97.0,229.0,0.18918918918918923,1.2972972972972971,0.2391930835734871,6.0,0.0,1.8433938275653983,1.7976931348623157e+308,0.38888888888888884,0.375,62.0,6.0,2.0,0.0,0.32432432432432434,0.0,3.0,0.0,0.9315506994385993,1.7976931348623157e+308,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
DQ789408|DQ789408.1,56.7857142857143,3.0952380952380962,0.18946301925025352,8.0,2.0,1.4769583256448402,3.770034843205575,0.011904761904761904,0.024390243902439025,64.0,121.0,309.0,0.047619047619047616,0.5714285714285714,-0.3333333333333339,4.0,0.0,1.178030178747903,1.7976931348623157e+308,0.0,0.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
DQ789409|DQ789409.1,62.24390243902435,3.0243902439024395,0.29044693410432554,6.0,1.0,1.3878884624835897,4.11219512195122,0.04786324786324787,0.05217391304347826,61.0,111.0,272.0,0.048780487804878044,0.5853658536585367,-0.3333333333333339,4.0,0.0,1.188883668971116,1.7976931348623157e+308,0.0,0.0,61.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
DQ789410|DQ789410.1,50.28846153846155,6.03846153846154,0.28855958280698285,16.0,2.0,3.1437455518337605,2.9720965309200604,0.10970695970695973,0.07105263157894737,156.0,362.0,1504.0,40.84615384615384,3.4615384615384612,0.2548881451470851,14.0,0.0,3.159001415135549,1.7976931348623157e+308,0.0,0.0,156.0,56.0,103.0,0.980769230769231,1.076923076923077,-0.10348006453099752,10.0,0.0,2.424602694226844,1.7976931348623157e+308,0.0,0.0,156.0,7.0,6.0,0.0,0.49999999999999994,1.0,5.0,0.0,1.3936669947687261,1.7976931348623157e+308,0.0,0.0,156.0,0.0,0.0,0.0,0.19230769230769235,0.0,5.0,0.0,0.9615384615384616,1.7976931348623157e+308,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
