nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
AC012160.7/77294-77140,56.12962962962963,5.888888888888888,0.6595689309951808,38.0,2.0,5.5064496414950534,3.1180992313067786,0.07883597883597883,0.09651474530831099,152.0,349.0,1436.0,13.925925925925927,3.185185185185186,0.6389043335397114,37.0,0.0,5.640705478842144,1.7976931348623157e+308,0.0619047619047619,0.11764705882352941,152.0,47.0,96.0,0.48148148148148134,1.7037037037037037,0.4328723809761859,37.0,0.0,5.418178010110551,1.7976931348623157e+308,0.13333333333333333,0.17647058823529413,152.0,15.0,20.0,0.0,0.5925925925925926,-0.14285714285714285,28.0,0.0,3.8031104157017586,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.44444444444444453,0.0,24.0,0.0,3.2356043952357876,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.44444444444444453,0.0,24.0,0.0,3.2356043952357876,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.44444444444444453,0.0,24.0,0.0,3.2356043952357876,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.44444444444444453,0.0,24.0,0.0,3.2356043952357876,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.44444444444444453,0.0,24.0,0.0,3.2356043952357876,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.44444444444444453,0.0,24.0,0.0,3.2356043952357876,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,hacabox
AC012160.7/77640-77489,55.62264150943397,5.886792452830191,0.6709318563581058,38.0,2.0,5.3787154858459365,3.13933236574746,0.06540880503144654,0.0718562874251497,149.0,318.0,1225.0,15.490566037735842,3.245283018867925,0.6409970420086946,37.0,0.0,5.673193039155548,1.7976931348623157e+308,0.14444444444444443,0.18,149.0,44.0,77.0,0.6226415094339625,1.5849056603773588,0.5198246781013922,35.0,0.0,5.2608700129338715,1.7976931348623157e+308,0.20833333333333331,0.23076923076923078,149.0,11.0,13.0,0.07547169811320756,0.9056603773584904,0.24340175953079254,32.0,0.0,4.506867509987506,1.7976931348623157e+308,0.0,0.0,149.0,2.0,1.0,0.0,0.45283018867924535,0.0,24.0,0.0,3.265404928722103,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.45283018867924535,0.0,24.0,0.0,3.265404928722103,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.45283018867924535,0.0,24.0,0.0,3.265404928722103,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.45283018867924535,0.0,24.0,0.0,3.265404928722103,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.45283018867924535,0.0,24.0,0.0,3.265404928722103,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.45283018867924535,0.0,24.0,0.0,3.265404928722103,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,hacabox
AC012160.7/77986-77835,55.055555555555564,5.703703703703703,0.5929990415366762,34.0,2.0,4.863429782112807,3.0775681341719077,0.05679012345679012,0.06976744186046512,149.0,328.0,1295.0,8.314814814814815,3.1851851851851856,0.5984457752716431,32.0,0.0,4.8115373460436865,1.7976931348623157e+308,0.03623188405797101,0.06666666666666667,149.0,43.0,69.0,0.31481481481481477,1.3333333333333335,0.4637144660150758,30.0,0.0,4.32477787911746,1.7976931348623157e+308,0.0,0.0,149.0,6.0,5.0,0.018518518518518517,0.6666666666666667,0.5552325581395349,24.0,0.0,3.4210676262979227,1.7976931348623157e+308,0.0,0.0,149.0,1.0,0.0,0.0,0.37037037037037046,0.0,20.0,0.0,2.696336996029822,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.37037037037037046,0.0,20.0,0.0,2.696336996029822,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.37037037037037046,0.0,20.0,0.0,2.696336996029822,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.37037037037037046,0.0,20.0,0.0,2.696336996029822,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.37037037037037046,0.0,20.0,0.0,2.696336996029822,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.37037037037037046,0.0,20.0,0.0,2.696336996029822,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,hacabox
AF426408.1/1766-1920,65.91666666666669,5.199999999999998,0.595855271398522,28.0,2.0,4.024094100954069,3.2344632768361583,0.06623015873015874,0.08674698795180723,152.0,391.0,1645.0,11.066666666666666,2.133333333333333,0.5256989100196106,27.0,0.0,4.0144184579532265,1.7976931348623157e+308,0.0,0.0,152.0,29.0,48.0,0.2833333333333332,1.0666666666666669,0.43216367584866844,25.0,0.0,3.4826554364290594,1.7976931348623157e+308,0.0,0.0,152.0,6.0,5.0,0.0,0.26666666666666666,0.0,16.0,0.0,2.0483055327649624,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.26666666666666666,0.0,16.0,0.0,2.0483055327649624,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.26666666666666666,0.0,16.0,0.0,2.0483055327649624,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.26666666666666666,0.0,16.0,0.0,2.0483055327649624,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.26666666666666666,0.0,16.0,0.0,2.0483055327649624,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
AF426408.1/186-341,67.35593220338986,5.423728813559321,0.6199536633919256,24.0,0.0,4.283208799646962,1.7976931348623157e+308,0.0882623224728488,0.09705882352941177,153.0,318.0,1211.0,7.728813559322031,2.949152542372883,0.5476598430877445,22.0,0.0,4.450952017050595,1.7976931348623157e+308,0.20588235294117646,0.10526315789473684,153.0,53.0,122.0,0.0847457627118644,1.2542372881355937,0.5816849423063144,18.0,0.0,3.3778602209842696,1.7976931348623157e+308,0.0,0.0,153.0,3.0,1.0,0.01694915254237288,0.7457627118644068,0.8533333333333334,16.0,0.0,2.8018953653927903,1.7976931348623157e+308,0.0,0.0,153.0,1.0,0.0,0.0,0.47457627118644086,1.0,16.0,0.0,2.5601637408134517,1.7976931348623157e+308,0.0,0.0,153.0,0.0,0.0,0.0,0.47457627118644086,1.0,16.0,0.0,2.5601637408134517,1.7976931348623157e+308,0.0,0.0,153.0,0.0,0.0,0.0,0.27118644067796627,0.0,16.0,0.0,2.065294401590213,1.7976931348623157e+308,0.0,0.0,153.0,0.0,0.0,0.0,0.27118644067796627,0.0,16.0,0.0,2.065294401590213,1.7976931348623157e+308,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
AC012160.7/77294-77140,56.12962962962963,5.888888888888888,0.6595689309951808,38.0,2.0,5.5064496414950534,3.1180992313067786,0.07883597883597883,0.09651474530831099,152.0,349.0,1436.0,13.925925925925927,3.185185185185186,0.6389043335397114,37.0,0.0,5.640705478842144,1.7976931348623157e+308,0.0619047619047619,0.11764705882352941,152.0,47.0,96.0,0.48148148148148134,1.7037037037037037,0.4328723809761859,37.0,0.0,5.418178010110551,1.7976931348623157e+308,0.13333333333333333,0.17647058823529413,152.0,15.0,20.0,0.0,0.5925925925925926,-0.14285714285714285,28.0,0.0,3.8031104157017586,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.44444444444444453,0.0,24.0,0.0,3.2356043952357876,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.44444444444444453,0.0,24.0,0.0,3.2356043952357876,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.44444444444444453,0.0,24.0,0.0,3.2356043952357876,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.44444444444444453,0.0,24.0,0.0,3.2356043952357876,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.44444444444444453,0.0,24.0,0.0,3.2356043952357876,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.44444444444444453,0.0,24.0,0.0,3.2356043952357876,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,hacabox
AC012160.7/77640-77489,55.62264150943397,5.886792452830191,0.6709318563581058,38.0,2.0,5.3787154858459365,3.13933236574746,0.06540880503144654,0.0718562874251497,149.0,318.0,1225.0,15.490566037735842,3.245283018867925,0.6409970420086946,37.0,0.0,5.673193039155548,1.7976931348623157e+308,0.14444444444444443,0.18,149.0,44.0,77.0,0.6226415094339625,1.5849056603773588,0.5198246781013922,35.0,0.0,5.2608700129338715,1.7976931348623157e+308,0.20833333333333331,0.23076923076923078,149.0,11.0,13.0,0.07547169811320756,0.9056603773584904,0.24340175953079254,32.0,0.0,4.506867509987506,1.7976931348623157e+308,0.0,0.0,149.0,2.0,1.0,0.0,0.45283018867924535,0.0,24.0,0.0,3.265404928722103,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.45283018867924535,0.0,24.0,0.0,3.265404928722103,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.45283018867924535,0.0,24.0,0.0,3.265404928722103,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.45283018867924535,0.0,24.0,0.0,3.265404928722103,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.45283018867924535,0.0,24.0,0.0,3.265404928722103,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.45283018867924535,0.0,24.0,0.0,3.265404928722103,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,hacabox
AC012160.7/77986-77835,55.055555555555564,5.703703703703703,0.5929990415366762,34.0,2.0,4.863429782112807,3.0775681341719077,0.05679012345679012,0.06976744186046512,149.0,328.0,1295.0,8.314814814814815,3.1851851851851856,0.5984457752716431,32.0,0.0,4.8115373460436865,1.7976931348623157e+308,0.03623188405797101,0.06666666666666667,149.0,43.0,69.0,0.31481481481481477,1.3333333333333335,0.4637144660150758,30.0,0.0,4.32477787911746,1.7976931348623157e+308,0.0,0.0,149.0,6.0,5.0,0.018518518518518517,0.6666666666666667,0.5552325581395349,24.0,0.0,3.4210676262979227,1.7976931348623157e+308,0.0,0.0,149.0,1.0,0.0,0.0,0.37037037037037046,0.0,20.0,0.0,2.696336996029822,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.37037037037037046,0.0,20.0,0.0,2.696336996029822,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.37037037037037046,0.0,20.0,0.0,2.696336996029822,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.37037037037037046,0.0,20.0,0.0,2.696336996029822,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.37037037037037046,0.0,20.0,0.0,2.696336996029822,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,0.0,0.37037037037037046,0.0,20.0,0.0,2.696336996029822,1.7976931348623157e+308,0.0,0.0,149.0,0.0,0.0,hacabox
AF426408.1/1766-1920,65.91666666666669,5.199999999999998,0.595855271398522,28.0,2.0,4.024094100954069,3.2344632768361583,0.06623015873015874,0.08674698795180723,152.0,391.0,1645.0,11.066666666666666,2.133333333333333,0.5256989100196106,27.0,0.0,4.0144184579532265,1.7976931348623157e+308,0.0,0.0,152.0,29.0,48.0,0.2833333333333332,1.0666666666666669,0.43216367584866844,25.0,0.0,3.4826554364290594,1.7976931348623157e+308,0.0,0.0,152.0,6.0,5.0,0.0,0.26666666666666666,0.0,16.0,0.0,2.0483055327649624,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.26666666666666666,0.0,16.0,0.0,2.0483055327649624,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.26666666666666666,0.0,16.0,0.0,2.0483055327649624,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.26666666666666666,0.0,16.0,0.0,2.0483055327649624,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.26666666666666666,0.0,16.0,0.0,2.0483055327649624,1.7976931348623157e+308,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hacabox
