nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
FBgn0065055,196.4999999999999,111.5865543891646,952.7973071768272,0.0,0.2748091603053437,4.4787847640020875,212.47176282979342,213.1305915825388,23.15807741401778,45.21878904227358,111.5865543891646,277.47552417609376,952.7973071768272,45424.64906832297,232.25673513382017,116.12836756691009,1.0812812357750308,1.1989373714406129,0.23659854327830407,real
FBgn0065064,242.9999999999998,185.34230821915216,942.6597922761399,0.2667920579643873,0.30178326474622796,5.238682950081858,209.78083801910986,210.2592442003193,48.19815709612689,86.9556032717296,185.34230821915216,362.200749062801,942.3930002181755,44208.949771689506,275.24514579107137,137.62257289553568,0.8632956297082718,0.8245418264883947,0.2558453431371301,real
FBgn0082954,209.99999999999997,137.01330362818405,973.6813678522432,2.9117822509928657,0.2285714285714286,3.7067370361370227,198.27253970229964,198.9645925558341,38.05260341596747,68.62093901010044,137.01330362818405,314.3936623827536,970.7695856012504,39586.909090909074,245.77272337265313,122.88636168632657,0.9441549509633318,1.1043389540690298,0.24842601537713344,real
FBgn0082960,190.99999999999997,127.0698971202952,881.3331822987155,0.04691744400668704,0.24432809773123912,3.8408324666684033,194.94101672044292,195.64098671662143,36.14802397772434,48.351891496087354,127.0698971202952,254.78609629217533,881.2862648547089,38275.395683453244,206.43420479608798,103.21710239804399,1.0206335953949892,0.9838376338939132,0.25252023625117975,real
FBgn0082962,217.50000000000009,121.18639022499627,1256.5580140374439,4.0,0.22988505747126428,3.888612228175043,249.30152426329042,250.1367075885134,38.06155734452803,50.10795703162454,121.18639022499627,269.0311349468693,1252.5580140374439,62568.37248322145,218.92317791524476,109.46158895762238,1.146213904658806,1.1590014548802257,0.23037568887900656,real
FBgn0082963,209.4999999999999,138.3942370231407,1307.5362365194037,2.868659711565292,0.23866348448687363,3.787740237036879,194.79540548996525,195.44798824081698,56.614678103888686,79.78000245886054,138.3942370231407,307.63863447365753,1304.6675768078385,38199.91610738254,227.858632014797,113.9293160073985,0.9298110047253716,1.0950837797946238,0.3008236890658115,real
FBgn0082967,196.99999999999994,145.55219072678017,746.457352823781,0.5965387138289594,0.23688663282571917,3.757226303054678,192.15098230297966,192.84093419002247,29.00498314799912,65.96508857236115,145.55219072678017,258.6869555519768,745.860814109952,37187.625899280574,192.72186697961564,96.36093348980782,0.9753856969694401,0.8032403788407068,0.19057041180014309,real
FBgn0082972,176.99999999999994,107.04845472099262,894.037590128478,11.369958397855607,0.248587570621469,3.664468101918728,184.46137807140008,185.16409062778686,48.44300062123273,66.77684217355845,107.04845472099262,204.7410940825855,882.6676317306224,34285.740458015265,137.96425190902704,68.98212595451352,1.0421546783694924,1.13766165053691,0.22068448315009828,real
FBgn0082973,198.25000000000009,137.49026723618965,870.25,8.38615763845309,0.2572509457755358,4.0257105435791,185.00945921763025,185.61704528410098,38.92348855083781,73.3417119429961,137.49026723618965,286.8071475469745,861.8638423615469,34453.68749999999,213.4654356039784,106.7327178019892,0.9332129090422707,0.9852425873912355,0.2921473288347909,real
FBgn0082976,217.49999999999994,150.4791046020197,952.4056453363096,1.0,0.22988505747126442,3.7225244830470556,187.65193843922847,188.28058991014646,57.94056125961015,98.643308282765,150.4791046020197,308.1733920781744,951.4056453363096,35449.58053691275,209.53008379540938,104.76504189770469,0.8627675330539243,1.0714660763232955,0.2440180899086122,real
FBgn0082979,201.7500000000001,138.30098977568034,993.7739445493887,1.2893192078396456,0.22304832713754635,3.6402692282592293,219.2039575372671,220.02036243961533,27.352680344643325,49.208442784678496,138.30098977568034,222.78406297554164,992.4846253415491,48408.95988805969,173.57562019086316,86.78781009543158,1.0865128006803815,0.8683558126025085,0.1660175845904213,real
FBgn0082980,194.00000000000006,133.62834717343344,843.5915814470297,0.0,0.23367697594501713,3.6927589882898317,195.7140771636011,196.43760671860502,27.544238942288814,51.05474871398488,133.62834717343344,282.3117832921417,843.5915814470297,38587.73333333334,231.2570345781568,115.6285172890784,1.0088354492969127,0.925405883442418,0.30049598086192064,real
FBgn0082981,218.74999999999994,171.1165155711414,1053.868042338845,2.25,0.23619047619047623,3.8782717178352053,205.23309918236873,205.89836218860034,61.80501735163554,80.62249818481749,171.1165155711414,282.28529000883714,1051.618042338845,42394.13555194806,201.66279182401965,100.83139591200982,0.9382084534051145,0.6962836591947347,0.2201502487282212,real
FBgn0082983,167.5000000000001,161.04500198877517,616.7236661782323,0.36215406675548706,0.28258706467661676,4.036917831882263,136.57690141455106,137.06036098446367,28.52233369152453,53.650944306717044,161.04500198877517,227.58050265951093,616.3615121114768,18785.54255319149,173.9295583527939,86.96477917639695,0.8153844860570207,0.14178820747218726,0.28204573322837645,real
FBgn0082986,187.74999999999986,136.39825194212088,746.9478949250281,9.375702791252154,0.23968042609853546,3.6167151474948507,169.33509677559462,169.96576971006348,47.45377545462011,65.83372833407472,136.39825194212088,224.94962719500114,737.572192133776,28888.36287313433,159.11589886092642,79.55794943046321,0.901917958858028,0.9097655896922138,0.18697287274264923,real
FBgn0082987,166.4999999999998,120.68677373013465,714.6288179569655,7.212849814595711,0.2602602602602606,3.710714621898977,147.24893887563329,147.8185693929025,34.168913300972484,57.18959741727013,120.68677373013465,253.7519196833545,707.4159681423697,21850.32945736433,196.56232226608435,98.28116113304218,0.8843780112650659,0.9333831527687766,0.30852741920159144,real
FBgn0082989,222.99999999999997,169.42026194103636,1288.147422018596,0.0,0.20926756352765322,3.4701193012105955,216.06249096037007,216.83830132350536,34.27004116047177,97.55624560221673,169.42026194103636,283.8298202811965,1288.147422018596,47018.84892086331,186.27357467897974,93.13678733948987,0.968890093992691,0.7439477970582753,0.22460722212110934,real
