nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
DQ789459|DQ789459.1,67.9661016949153,4.372881355932204,0.22662365729105025,11.0,2.0,2.4763170102141867,3.3436586791350087,0.08587570621468926,0.07717041800643087,127.0,295.0,1039.0,2.4915254237288136,1.5254237288135601,-0.08783239323126488,9.0,0.0,2.374696642202492,1.7976931348623157e+308,0.0,0.0,127.0,18.0,20.0,0.03389830508474577,0.5084745762711865,-0.6666666666666672,6.0,0.0,1.3700535849465232,1.7976931348623157e+308,0.0,0.0,127.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
DQ789460|DQ789460.1,70.76271186440678,4.1694915254237275,0.11200183936235315,10.0,2.0,1.9842818140891154,3.4400935125657512,0.07344632768361582,0.05825242718446602,123.0,297.0,1038.0,0.32203389830508483,1.2542372881355937,0.6352433764633395,6.0,0.0,1.7524145119407228,1.7976931348623157e+308,0.2592592592592593,0.2727272727272727,123.0,9.0,5.0,0.0,0.23728813559322026,1.0,4.0,0.0,0.8894672381967408,1.7976931348623157e+308,0.0,0.0,123.0,0.0,0.0,0.0,0.13559322033898305,0.0,4.0,0.0,0.7238697120021228,1.7976931348623157e+308,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
DQ789461|DQ789461.1,70.42372881355931,4.5423728813559325,0.175607741494468,10.0,2.0,2.0195823859159265,3.4284044418468733,0.03898305084745763,0.047619047619047616,133.0,305.0,1068.0,1.4406779661016949,1.7627118644067798,0.11062590975254845,7.0,0.0,2.019724625053048,1.7976931348623157e+308,0.14583333333333331,0.15,133.0,18.0,15.0,0.0,0.40677966101694907,0.0,3.0,0.0,1.0270682988164828,1.7976931348623157e+308,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
DQ789462|DQ789462.1,64.24999999999999,4.178571428571429,0.27235201849252927,12.0,1.0,2.40614646610021,3.3363636363636364,0.03298701298701299,0.020477815699658702,117.0,289.0,1089.0,1.8749999999999996,1.2857142857142851,-0.0840934649506443,9.0,0.0,2.225776635840412,1.7976931348623157e+308,0.0,0.0,117.0,16.0,18.0,0.017857142857142856,0.49999999999999983,-0.27272727272726865,6.0,0.0,1.3887301496588271,1.7976931348623157e+308,0.0,0.0,117.0,1.0,0.0,0.0,0.1785714285714286,0.0,5.0,0.0,0.9278843611976128,1.7976931348623157e+308,0.0,0.0,117.0,0.0,0.0,0.0,0.1785714285714286,0.0,5.0,0.0,0.9278843611976128,1.7976931348623157e+308,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
DQ789463|DQ789463.1,61.75862068965519,4.79310344827586,-0.041515395262217,12.0,1.0,2.4966088772273034,3.1669691470054446,0.09933166248955723,0.048,138.0,363.0,1461.0,1.8103448275862064,1.862068965517242,-0.021947363526457146,11.0,0.0,2.3002869076079886,1.7976931348623157e+308,0.0,0.0,138.0,23.0,30.0,0.034482758620689676,0.6206896551724138,-0.5,6.0,0.0,1.4482758620689655,1.7976931348623157e+308,0.0,0.0,138.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
DQ789464|DQ789464.1,62.05357142857142,4.642857142857143,0.08868046660882369,10.0,2.0,2.1333120747240115,3.2564935064935066,0.04039115646258503,0.04807692307692308,129.0,302.0,1095.0,1.3035714285714293,1.9642857142857146,0.17204301075268905,6.0,0.0,1.8609164957304323,1.7976931348623157e+308,0.0,0.0,129.0,18.0,15.0,0.0,0.32142857142857134,0.0,3.0,0.0,0.9278843611976126,1.7976931348623157e+308,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
DQ789465|DQ789465.1,64.83636363636364,4.50909090909091,0.25079465153545066,16.0,2.0,2.7625595988485174,3.4013468013468016,0.04991341991341992,0.061016949152542375,122.0,283.0,1044.0,1.018181818181818,1.818181818181818,0.1740574807229282,14.0,0.0,2.642938509867785,1.7976931348623157e+308,0.0,0.0,122.0,25.0,27.0,0.01818181818181819,0.43636363636363645,-0.3333333333333333,6.0,0.0,1.202476782820833,1.7976931348623157e+308,0.0,0.0,122.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
DQ789466|DQ789466.1,62.526315789473664,4.736842105263159,0.1486783574605945,12.0,2.0,2.578768343231262,3.2330827067669174,0.04444444444444444,0.044642857142857144,135.0,326.0,1230.0,2.07017543859649,1.8245614035087725,-0.14961067853170204,10.0,0.0,2.5760217323477406,1.7976931348623157e+308,0.0,0.0,135.0,25.0,29.0,0.08771929824561404,0.7719298245614037,-0.1605504587155987,7.0,0.0,1.706720913265307,1.7976931348623157e+308,0.0,0.0,135.0,3.0,1.0,0.0,0.14035087719298245,0.0,4.0,0.0,0.7360062092422116,1.7976931348623157e+308,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
DQ789467|DQ789467.1,63.75000000000001,5.142857142857143,0.5699079633840564,25.0,1.0,3.7722131218602555,3.3181818181818183,0.06978354978354978,0.07741935483870968,138.0,294.0,993.0,8.25,2.464285714285715,0.6957483519886741,21.0,0.0,3.84969519069036,1.7976931348623157e+308,0.08444444444444446,0.09090909090909091,138.0,31.0,48.0,0.03571428571428572,0.9642857142857143,0.7646047090919875,19.0,0.0,2.9578242831168855,1.7976931348623157e+308,0.0,0.0,138.0,2.0,0.0,0.0,0.42857142857142866,1.0,16.0,0.0,2.3517253761649037,1.7976931348623157e+308,0.0,0.0,138.0,0.0,0.0,0.0,0.28571428571428575,0.0,16.0,0.0,2.1189138534559038,1.7976931348623157e+308,0.0,0.0,138.0,0.0,0.0,0.0,0.28571428571428575,0.0,16.0,0.0,2.1189138534559038,1.7976931348623157e+308,0.0,0.0,138.0,0.0,0.0,0.0,0.28571428571428575,0.0,16.0,0.0,2.1189138534559038,1.7976931348623157e+308,0.0,0.0,138.0,0.0,0.0,0.0,0.28571428571428575,0.0,16.0,0.0,2.1189138534559038,1.7976931348623157e+308,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
DQ789468|DQ789468.1,68.69642857142857,4.607142857142858,0.1398676082898769,10.0,1.0,2.43983731475051,3.498051948051948,0.10406926406926409,0.09642857142857143,126.0,262.0,883.0,3.1428571428571423,2.0357142857142847,0.395926477893691,9.0,0.0,2.2753672051709253,1.7976931348623157e+308,0.0,0.0,126.0,17.0,18.0,0.07142857142857144,0.75,-0.48484848484848564,9.0,0.0,1.7243011006533302,1.7976931348623157e+308,0.0,0.0,126.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
