nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
GGgCD1,57.65217391304349,4.130434782608697,0.5002153387444097,14.0,1.0,3.1110510991301425,3.56231884057971,0.06894179894179894,0.06030150753768844,95.0,191.0,662.0,3.434782608695653,1.7391304347826084,0.35899752997168566,11.0,0.0,2.9446693370777464,1.7976931348623157e+308,0.0,0.0,95.0,23.0,45.0,0.21739130434782614,0.6956521739130435,-0.016722408026755852,10.0,0.0,2.205423800516939,1.7976931348623157e+308,0.0,0.0,95.0,3.0,2.0,0.021739130434782608,0.4347826086956523,-1.0,10.0,0.0,1.752664727890989,1.7976931348623157e+308,0.0,0.0,95.0,1.0,0.0,0.021739130434782608,0.4347826086956523,-1.0,10.0,0.0,1.752664727890989,1.7976931348623157e+308,0.0,0.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
GGgCD2,56.045454545454554,4.22727272727273,0.4984833164812941,16.0,2.0,3.1756433590379216,3.6067653276955602,0.013961038961038962,0.03636363636363636,88.0,161.0,493.0,1.2500000000000002,1.909090909090909,0.7916691567561108,12.0,0.0,2.9757976915150737,1.7976931348623157e+308,0.0,0.0,88.0,16.0,21.0,0.09090909090909091,0.9090909090909093,0.8176291793313063,12.0,0.0,2.5299854636501355,1.7976931348623157e+308,0.0,0.0,88.0,2.0,1.0,0.0,0.6363636363636365,1.0,12.0,0.0,2.247128562601505,1.7976931348623157e+308,0.0,0.0,88.0,0.0,0.0,0.0,0.27272727272727276,0.0,12.0,0.0,1.7883923248096363,1.7976931348623157e+308,0.0,0.0,88.0,0.0,0.0,0.0,0.27272727272727276,0.0,12.0,0.0,1.7883923248096363,1.7976931348623157e+308,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
GGgCD3,51.95,4.300000000000001,0.45445953069051315,11.0,2.0,2.4617067250182343,3.664102564102564,0.02333333333333333,0.04225352112676056,84.0,138.0,376.0,3.0499999999999994,2.1,0.730392156862745,8.0,0.0,2.467792535850613,1.7976931348623157e+308,0.0,0.0,84.0,13.0,16.0,0.25000000000000006,1.0000000000000002,0.5015105740181266,8.0,0.0,2.16794833886788,1.7976931348623157e+308,0.0,0.0,84.0,3.0,2.0,0.0,0.4000000000000001,1.0,8.0,0.0,1.4966629547095762,1.7976931348623157e+308,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
GGgCD4,54.22727272727273,4.090909090909091,0.2474011283255533,10.0,2.0,1.9166516947552739,3.522198731501057,0.11666666666666668,0.10465116279069768,88.0,160.0,444.0,0.7727272727272728,1.6363636363636365,0.11210762331838522,8.0,0.0,2.05703790890632,1.7976931348623157e+308,0.0,0.0,88.0,12.0,11.0,0.0,0.18181818181818182,0.0,4.0,0.0,0.8331955809010619,1.7976931348623157e+308,0.0,0.0,88.0,0.0,0.0,0.0,0.18181818181818182,0.0,4.0,0.0,0.8331955809010619,1.7976931348623157e+308,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
GGgCD5a,49.68888888888889,4.488888888888888,0.19442139234670378,12.0,2.0,2.793820341175401,3.2585858585858585,0.04888888888888889,0.08181818181818182,100.0,208.0,686.0,10.711111111111114,1.9999999999999996,0.1493443080357137,10.0,0.0,2.5991451586157237,1.7976931348623157e+308,0.0,0.0,100.0,22.0,33.0,0.022222222222222223,0.6666666666666663,-0.25000000000000094,6.0,0.0,1.398411797560202,1.7976931348623157e+308,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
GGgCD5b,61.07999999999998,4.12,0.3330839292651691,11.0,2.0,2.3886397802933783,3.493061224489796,0.05666666666666667,0.07075471698113207,102.0,202.0,618.0,3.5599999999999996,1.6000000000000005,0.3248462308682596,9.0,0.0,2.3916521486202797,1.7976931348623157e+308,0.0,0.0,102.0,15.0,16.0,0.20000000000000007,0.6399999999999999,0.27017543859649124,7.0,0.0,1.729277305697383,1.7976931348623157e+308,0.0,0.0,102.0,3.0,2.0,0.0,0.15999999999999998,0.0,4.0,0.0,0.7838367176906171,1.7976931348623157e+308,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
GGgCD6,54.48888888888889,3.8666666666666676,0.2940968955785518,12.0,2.0,2.499777767900356,3.4767676767676767,0.03365079365079366,0.03428571428571429,87.0,171.0,552.0,3.6444444444444444,1.5111111111111108,0.35384012539184995,8.0,0.0,2.2173279436918087,1.7976931348623157e+308,0.0,0.0,87.0,12.0,15.0,0.08888888888888889,0.6222222222222222,-0.5,6.0,0.0,1.6504395224557462,1.7976931348623157e+308,0.0,0.0,87.0,2.0,1.0,0.0,0.22222222222222227,0.0,5.0,0.0,1.030402055055078,1.7976931348623157e+308,0.0,0.0,87.0,0.0,0.0,0.0,0.22222222222222227,0.0,5.0,0.0,1.030402055055078,1.7976931348623157e+308,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
GGgCD7,59.41666666666667,3.874999999999999,0.1643024077395516,10.0,2.0,2.2603926650031405,3.528368794326241,0.015277777777777777,0.015873015873015872,93.0,187.0,574.0,0.5624999999999998,1.4583333333333333,-0.07142857142857095,8.0,0.0,2.207547029824934,1.7976931348623157e+308,0.3,0.2,93.0,13.0,9.0,0.041666666666666664,0.5416666666666666,-0.8687500000000018,7.0,0.0,1.5405401289446794,1.7976931348623157e+308,0.0,0.0,93.0,2.0,0.0,0.0,0.16666666666666666,0.0,4.0,0.0,0.7993052538854535,1.7976931348623157e+308,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
GGgCD8,49.26666666666667,4.400000000000001,0.02131765016850604,12.0,2.0,2.3795424396766327,3.2393939393939393,0.06148148148148148,0.0547945205479452,98.0,211.0,708.0,1.0,1.8222222222222215,-0.34666084043405426,10.0,0.0,2.387829222340184,1.7976931348623157e+308,0.3333333333333333,0.13043478260869565,98.0,21.0,25.0,0.022222222222222223,0.3111111111111112,-0.9599999999999999,7.0,0.0,1.2440475557580803,1.7976931348623157e+308,0.0,0.0,98.0,1.0,0.0,0.0,0.17777777777777778,0.0,4.0,0.0,0.8243216440440625,1.7976931348623157e+308,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
GGgCD9a,63.61538461538461,4.307692307692307,0.2246143455030087,10.0,2.0,2.3414201931114498,3.4947209653092006,0.08553113553113552,0.0641025641025641,110.0,224.0,702.0,1.2692307692307696,1.7692307692307694,0.01609386356556899,8.0,0.0,2.3006302198058735,1.7976931348623157e+308,0.2121212121212121,0.17647058823529413,110.0,15.0,12.0,0.01923076923076923,0.4615384615384616,-0.3333333333333333,6.0,0.0,1.2319705675420742,1.7976931348623157e+308,0.0,0.0,110.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
