nameseq,k1,k2,label
BC028232.1/151-277,1.8489635553477433,3.6092644118935233,hacabox
ABDC01310736.1/270-396,1.8976609881475568,3.7241983613015135,hacabox
AANG01147281.1/396-522,1.9145060968733447,3.7651676464255646,hacabox
AAFC03057820.1/30291-30417,1.9546158787972754,3.852196708726509,hacabox
AANU01174700.1/2922-2796,1.9721933963222582,3.6570835333840823,hacabox
nameseq,k1,k2,label
BC028232.1/151-277,1.8489635553477433,3.6092644118935233,hacabox
ABDC01310736.1/270-396,1.8976609881475568,3.7241983613015135,hacabox
AANG01147281.1/396-522,1.9145060968733447,3.7651676464255646,hacabox
AAFC03057820.1/30291-30417,1.9546158787972754,3.852196708726509,hacabox
AANU01174700.1/2922-2796,1.9721933963222582,3.6570835333840823,hacabox
