nameseq,k1,k2,label
AM055742.1/1-134,1.9699964227664897,3.8431815703323267,hacabox
AAFC03012751.1/570-436,1.9788919973001051,3.914016860801199,hacabox
ABDC01105195.1/1988-2122,1.9731751615105928,3.8976893636169847,hacabox
AADA01032425.1/12845-12711,1.965544434527395,3.8487030621625853,hacabox
AAIY01155199.1/1916-1782,1.9703567569829574,3.8690624787444605,hacabox
nameseq,k1,k2,label
AM055742.1/1-134,1.9699964227664897,3.8431815703323267,hacabox
AAFC03012751.1/570-436,1.9788919973001051,3.914016860801199,hacabox
ABDC01105195.1/1988-2122,1.9731751615105928,3.8976893636169847,hacabox
AADA01032425.1/12845-12711,1.965544434527395,3.8487030621625853,hacabox
AAIY01155199.1/1916-1782,1.9703567569829574,3.8690624787444605,hacabox
