nameseq,k1,k2,label
AAHK01022453.1/206-268,1.973300398783688,3.8084614323278845,hacabox
AC159420.1/7886-7948,1.9683722283282608,3.7473251429436774,hacabox
FR796455.1/43976-44038,1.9733442232385934,3.793741926146542,hacabox
FR798998.1/39703-39765,1.9555662523366408,3.774636891885123,hacabox
FR796419.1/39405-39467,1.9601013378899728,3.775270199892886,hacabox
nameseq,k1,k2,label
AAHK01022453.1/206-268,1.973300398783688,3.8084614323278845,hacabox
AC159420.1/7886-7948,1.9683722283282608,3.7473251429436774,hacabox
FR796455.1/43976-44038,1.9733442232385934,3.793741926146542,hacabox
FR798998.1/39703-39765,1.9555662523366408,3.774636891885123,hacabox
FR796419.1/39405-39467,1.9601013378899728,3.775270199892886,hacabox
