nameseq,k1,k2,label
FBgn0065055,1.9990102708804813,3.884803919457247,real
FBgn0065064,1.9695595341102687,3.9148382793887975,real
FBgn0082954,1.9613874004088823,3.882381443471045,real
FBgn0082960,1.9859901032769693,3.897824658823745,real
FBgn0082962,1.9696672472473233,3.8435053366452414,real
FBgn0082963,1.9776193570542886,3.8681683356481082,real
FBgn0082967,1.9812631639132379,3.884636491406791,real
FBgn0082972,1.992450811827692,3.9279185783254595,real
FBgn0082973,1.9745995947371866,3.886487972257741,real
FBgn0082976,1.9706299361601245,3.8938002591724663,real
FBgn0082979,1.9449311894520145,3.816398987951945,real
FBgn0082980,1.9636725485773905,3.8675464222883082,real
FBgn0082981,1.9805076253118155,3.839821634066374,real
FBgn0082983,1.9941174359660576,3.922380360411777,real
FBgn0082986,1.98060548658466,3.922139645337468,real
FBgn0082987,1.9977783561041598,3.932149311125793,real
FBgn0082989,1.911665712084824,3.742374465794649,real
FBgn0082997,1.9413477778910784,3.8413691045019194,real
FBgn0083001,1.9881562902703065,3.9422906476939783,real
FBgn0083005,1.952949474633414,3.833670711784814,real
FBgn0083006,1.9161884135411362,3.7768671865657,real
FBgn0083012,1.998175636110283,3.977398276710426,real
FBgn0083013,1.9828500287796555,3.8517282182461003,real
FBgn0083014,1.9936497625324157,3.9006268303211025,real
FBgn0083015,1.969206729390822,3.8534990959845055,real
FBgn0083026,1.8915386138969885,3.770315505627803,real
FBgn0083027,1.9939342805928666,3.9289639147707565,real
FBgn0083038,1.9316945141622817,3.7710563945537867,real
FBgn0083039,1.9642528226852933,3.871798359326494,real
FBgn0083042,1.9596004872451251,3.7975794877264457,real
FBgn0083044,1.9948966485249129,3.904944683134307,real
FBgn0083046,1.9833359911282968,3.942301898789074,real
FBgn0083054,1.9708153237172241,3.8845810628207147,real
FBgn0083055,1.9931336202687815,3.9445151296436105,real
FBgn0083057,1.985604623261255,3.868326579898733,real
FBgn0083058,1.980947013275121,3.9292600833283795,real
FBgn0086658,1.9743241003877283,3.911119281792236,real
FBgn0086659,1.9860287740197304,3.9174384112500102,real
FBgn0086660,1.9986456431976902,3.9160576769646873,real
FBgn0086661,1.9901074869291722,3.945613131182188,real
FBgn0086662,1.9930727946045756,3.9345381133981507,real
FBgn0086663,1.9934048348558266,3.905851834254507,real
FBgn0086664,1.9648759245177192,3.878486064621863,real
FBgn0086665,1.97166161740138,3.8829225786876744,real
FBgn0086666,1.9953101674413656,3.9362341436454935,real
FBgn0086667,1.9339215445339688,3.821515955051805,real
FBgn0086668,1.9938191107539538,3.8899089954768025,real
FBgn0086669,1.998026904012593,3.9129846213276727,real
FBgn0086670,1.9874442825807317,3.93700734697927,real
FBgn0086671,1.9766004603133167,3.930285117959447,real
FBgn0026169,1.9961685456738496,3.932615734825109,real
FBgn0082922,1.9839303789338811,3.9250381252559507,real
FBgn0082923,1.9942425642096917,3.9111909147203385,real
FBgn0082924,1.9405655110610376,3.7321541404711756,real
FBgn0082925,1.985138660711339,3.8810001891203476,real
FBgn0086672,1.9774859388554364,3.837085034767547,real
