nameseq,k1,k2,label
SNORD11B,1.9069713988508823,3.6920636138012917,real
SNORD117,1.88661179196097,3.599897888326254,real
Me18S-C797,1.931900363918051,3.7259015641415854,real
SNORD105B,1.975745661340448,3.8093872958615673,real
SNORD118,1.91723240074556,3.7417980229587324,real
Me28S-A2802,1.9668441148195568,3.766129169776511,real
SNORD12B,1.9441030622414082,3.7626212659583413,real
SNORD111B,1.9409278874828677,3.632472148076998,real
SNORD58C,1.955513922316481,3.757959066418294,real
SNORD41B,1.9780451653016224,3.8075644489299667,real
SNORD119,1.9496702707227835,3.717545460001272,real
SNORD121A,1.9521636838340726,3.7812776935245673,real
SNORD121B,1.9723476868538776,3.7985585282047802,real
SNORD120,1.9356798493791914,3.7714421019211235,real
SNORD122_orphan,1.957895093120293,3.777740904555951,real
SNORD123_orphan,1.9692166918498035,3.586880313827103,real
SNORD124_orphan,1.989771512903328,3.7195820649007887,real
SNORD125_orphan,1.9790451244808205,3.713054322393869,real
SNORD126_orphan,1.9832483530794036,3.830871137344608,real
SNORD114@_orphan,1.9484230094214738,3.6456605247425355,real
SNORD116@_orphan,1.9892930708988157,3.8524649098302084,real
