nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
X01556.1/3-118,165.50000000000003,110.76839234901429,3721.0,0.04891792763424044,0.4632426988922457,6.917769663984721,270.6385966561311,271.22886692473406,20.580655768815898,41.826013927761316,110.76839234901429,219.36788096933367,3720.951082072366,73565.09825327511,177.54186704157235,88.77093352078617,1.6352785296442962,0.6066940376637425,0.263837612355723,negative
X55260.1/3-119,141.49999999999997,100.35001432829368,6241.0,0.5293415912156947,0.5418138987043583,7.787867879122513,416.3811354996765,417.28927427858434,12.483326781527769,28.745158231996143,100.35001432829368,158.4647284682513,6240.470658408784,174130.3384279476,129.71957023625515,64.85978511812758,2.942622865722096,0.29648306921247347,0.28471433726491646,negative
M16174.1/3-119,135.50000000000006,84.15521470696245,6241.0,1.3900966300058901,0.5658056580565803,8.032511198668296,418.42472441288646,419.33732031576557,15.151720434308118,28.4896552075185,84.15521470696245,158.72628240142637,6239.609903369994,175843.78820960698,130.23662719390788,65.11831359695394,3.088005346220563,0.3681291924019223,0.3031415989148735,negative
X55267.1/3-119,135.5,79.49111962600114,6084.0,0.43549086073349397,0.5658056580565806,7.928326959132234,406.1394464959049,407.0252478676805,14.55208920322801,38.40434504286909,79.49111962600114,139.49824427617477,6083.564509139266,165669.55240174674,101.09389923330568,50.54694961665284,2.9973390885306634,0.4137166250944078,0.22494226846704463,negative
M16172.1/3-119,139.49999999999994,98.2459921246076,5184.0,0.7185452275187468,0.5495818399044208,7.6560747021503035,348.3435803915439,349.1033273799792,20.14039144581959,39.7535538470719,98.2459921246076,173.5375621715852,5183.281454772481,121873.13318777292,133.7840083245133,66.89200416225665,2.4970865977888463,0.3552872238583139,0.2913158585283683,negative
AF001265.1/6033-6149,143.49999999999994,91.70744688496778,5625.0,0.08438384383708801,0.534262485481998,7.5405475041146754,376.65800137525287,377.4795028993896,25.876481015864584,38.122032538785476,91.70744688496778,181.73089324633565,5624.915616156163,142490.7751091703,143.60886070755018,71.80443035377509,2.624794434670753,0.41251655023332023,0.27425601019027057,negative
X05057.1/3-119,143.50000000000003,85.75038709903431,5625.0,0.4722293493173635,0.5342624854819976,7.567336636846225,377.583434488326,378.4069544076916,23.734214269195764,38.041115482920745,85.75038709903431,165.43862765048894,5624.527770650682,143191.8231441048,127.3975121675682,63.6987560837841,2.631243445911679,0.4588359098371769,0.2604641427956906,negative
X15126.1/3-120,139.50000000000003,81.44719908589818,5776.0,0.21498092108275002,0.5495818399044204,7.713933157457375,386.4521315764735,387.29499436960896,24.035817203833833,40.891887406719405,81.44719908589818,167.6348192126779,5775.785019078918,149997.41266375544,126.7429318059585,63.37146590297925,2.770266176175437,0.4506597027472781,0.24723512545599766,negative
Z50737.1/3-119,135.50000000000006,71.5737946689045,5776.0,0.8847813036693337,0.5658056580565803,7.926318063678851,387.4832254433732,388.32833708076555,20.026600896512626,34.551300335404605,71.5737946689045,160.12170495137082,5775.115218696331,150798.89737991267,125.57040461596621,62.785202307983106,2.8596548003200963,0.49493398268749883,0.2536223889969758,negative
X55261.1/3-119,143.49999999999994,74.48985375545502,5476.0,2.415516046362269,0.534262485481998,7.776136446597256,374.1861167921653,375.0022270676227,16.450197659310625,25.379231406094178,74.48985375545502,166.45158779267052,5473.584483953638,140626.67030567685,141.07235638657636,70.53617819328818,2.6075687581335574,0.5532819884085276,0.22719902425623362,negative
Z50059.1/3-119,151.5,83.449625953902,4900.0,1.0,0.506050605060506,7.4791965879688,346.0191468690714,346.77382420367087,25.297477890528576,36.94274123759047,83.449625953902,183.46831685406107,4899.0,120252.08515283844,146.5255756164706,73.2627878082353,2.2839547648123526,0.589999495650863,0.2755728341917949,negative
Z50061.1/3-119,147.49999999999991,81.51412542828217,5329.0,1.5042669887864273,0.5197740112994353,7.538209695103589,368.514925070885,369.3186663202612,20.44236457541448,33.914773637427864,81.51412542828217,147.5343152288783,5327.495733011214,136396.27729257641,113.61954159145046,56.80977079572523,2.4984062716670183,0.5371766792812407,0.212690862013193,negative
Z50060.1/3-119,139.49999999999997,86.12019099519138,4356.0,0.6962695466657176,0.5495818399044207,7.791972188737006,306.7983865668136,307.4675223378502,14.36357012112886,27.1114561800017,86.12019099519138,166.8598108216085,4355.3037304533345,94536.27729257641,139.7483546416068,69.8741773208034,2.199271588292571,0.5219695866280285,0.24079113473631952,negative
Z50075.1/3-119,143.5,91.91469132767983,4356.0,0.2116259961887784,0.5342624854819977,7.536987216404767,301.19636451989254,301.85328212582186,19.664338141627844,32.22771136216665,91.91469132767983,191.9170006672421,4355.788374003811,91115.403930131,159.68928930507545,79.84464465253772,2.098929369476603,0.5138040967514388,0.288524843044193,negative
Z50066.1/3-119,139.49999999999994,74.83232886947371,5184.0,0.2429612017234717,0.5495818399044208,7.83207186107251,353.6824140383573,354.4538051707161,18.59773907951363,31.043099341444027,74.83232886947371,177.10774611487886,5183.757038798277,125637.5,146.06464677343484,73.03232338671742,2.5353578067265765,0.5485232109124284,0.2603910039745402,negative
Z50062.1/3-119,145.4999999999999,84.52269048870428,5041.0,1.0194877405529785,0.5269186712485686,7.5815753643272625,347.75170740055324,348.5101634976165,22.49277437492823,32.540368184367196,84.52269048870428,172.80617102653656,5039.980512259447,121459.33406113538,140.26580284216936,70.13290142108468,2.3900460989728765,0.5260417839535697,0.27108306537820914,negative
Z50065.1/3-120,141.49999999999994,76.49912602161156,5776.0,0.2682781295916149,0.5418138987043584,7.8677781608884345,392.55222582479394,393.40839309229096,15.649183131529167,27.339265776166144,76.49912602161156,154.146070860918,5775.731721870408,154770.16375545852,126.80680508475186,63.40340254237593,2.7742206772070253,0.49675586866293764,0.2300819103327221,negative
M33888.1/3-119,139.50000000000009,78.16315754530252,5184.0,0.8386634078731005,0.5495818399044202,7.803570274861267,352.40211406857367,353.1707128312691,17.06177120572789,25.992847794738605,78.16315754530252,180.1362517941443,5183.161336592127,124729.55240174673,154.1434039994057,77.07170199970285,2.5261800291654013,0.5221606795704018,0.30603992117698503,negative
X05526.1/2-115,133.50000000000003,67.0596075187809,6084.0,0.18803961770109437,0.5742821473158551,8.221198348448896,408.8462424922113,409.73794746095905,13.388511983947307,27.208245667860098,67.0596075187809,161.57707797847613,6083.811960382299,167885.18558951965,134.36883231061603,67.18441615530801,3.062518670353642,0.48752111852282604,0.270929330929465,negative
X75601.1/91-203,135.5,57.758752409383185,6084.0,3.4933288075012237,0.5658056580565806,8.1380019736683,411.90199076964893,412.80036040995066,15.634576675778181,29.414662602819206,57.758752409383185,159.0742611415652,6080.506671192499,170404.13755458515,129.65959853874597,64.82979926937298,3.0398670905509144,0.5662117396812435,0.25120588894068074,negative
X55251.1/3-116,141.49999999999994,78.70555269454913,6241.0,0.11634763596136377,0.5418138987043584,8.00232806790478,420.73655652914215,421.65419460184137,11.517006903634178,25.03022969418442,78.70555269454913,163.252174133659,6240.883652364038,177792.25982532752,138.22194443947458,69.11097221973729,2.9734032263543626,0.4477465506454135,0.2722873037339456,negative
X55259.1/3-117,143.5000000000001,85.00602139286151,6400.0,0.7284578702657544,0.5342624854819973,7.845155030847656,429.3684315363672,430.3048959673243,16.969126110273272,29.88120898000072,85.00602139286151,175.23807405369803,6399.271542129734,185162.30349344978,145.3568650736973,72.67843253684865,2.9921145054799085,0.40869780573645315,0.2747750810948429,negative
X55254.1/3-119,143.49999999999997,79.61484269655864,5476.0,0.04268021059823086,0.5342624854819978,7.666759748692363,371.1404720587611,371.94993969877373,24.704440705828308,42.67347899925166,79.61484269655864,161.85943277013465,5475.9573197894015,138346.7576419214,119.18595377088299,59.592976885441495,2.586344753022726,0.5163960449993177,0.21772311674432487,negative
X00991.1/1-118,155.50000000000003,106.0562738125995,3844.0,0.43599377585555954,0.49303322615219713,7.121133835350669,274.8112988943504,275.4106699420048,25.364217977896534,49.92893421611084,106.0562738125995,189.4426671905838,3843.5640062241446,75851.03711790392,139.51373297447296,69.75686648723648,1.767275234047269,0.539756477113507,0.2327146774890237,negative
K02348.1/1-119,151.5,105.8588211605567,3025.0,1.6389093084093738,0.506050605060506,7.112114034832008,230.16352882244396,230.665521848048,21.758805733783927,45.01855927869519,105.8588211605567,188.61230207506514,3023.3610906915906,53206.58296943231,143.59374279636995,71.79687139818498,1.5192312133494652,0.5948967554453748,0.2529529551866058,negative
K02350.1/1-119,161.50000000000009,104.3169985305555,3844.0,0.2367478776214188,0.47471620227038164,6.937971339375176,274.9931817336568,275.59294947281694,27.64738430545956,57.595985314048455,104.3169985305555,196.0439676138512,3843.7632521223786,75951.47379912663,138.44798229980276,69.22399114990138,1.7027441593415273,0.6238300285368044,0.19716451752710482,negative
K02349.1/1-119,161.50000000000006,97.44760652240065,3249.0,0.5560720596978832,0.4747162022703817,6.883891131698378,245.08620932235252,245.62074912707746,36.34630535072528,50.51522794066278,97.44760652240065,193.91566904361406,3248.4439279403023,60329.552401746725,143.40044110295128,71.70022055147564,1.5175616676306651,0.7840391385712822,0.20487583231511589,negative
X05233.1/1-119,159.49999999999994,115.20787366118827,3481.0,1.4692543612970042,0.4806687565308257,6.879917147313886,252.71574941028112,253.26692945306766,36.56409280052135,49.30252148790575,115.20787366118827,214.42264344689406,3479.530745638703,64144.13755458515,165.1201219589883,82.56006097949415,1.5844247611929856,0.5257938190496855,0.2984225642654746,negative
X06837.1/1-119,159.50000000000006,112.46197486259894,3844.0,4.001666111557865,0.48066875653082536,6.875724030938567,273.72111719777854,274.31811052898445,28.20908980454278,59.14417276817527,112.46197486259894,199.94795397805845,3839.998333888442,75250.42576419213,140.8037812098832,70.4018906049416,1.7161198570393632,0.5155396005133236,0.25243526989213516,negative
X01534.1/1-119,161.49999999999991,106.4511052381228,3600.0,0.4815184292247162,0.47471620227038214,6.871122726608389,269.39793985849263,269.9855042202877,37.53840201550451,59.16522854934461,106.4511052381228,181.76632091776662,3599.5184815707753,72892.17248908296,122.601092368422,61.300546184211,1.6680986988141968,0.6130213333196919,0.21683979283831845,negative
X01535.1/1-119,165.49999999999991,104.14887126329347,3844.0,0.12302941269695726,0.463242698892246,6.796590005871776,281.0893985905552,281.70246234737886,40.07760442904451,59.06564027060719,104.14887126329347,220.86083828801276,3843.876970587303,79356.27729257641,161.79519801740557,80.89759900870278,1.6984253691272226,0.6547859404623723,0.2867752868182623,negative
AJ243001.2/1-116,165.5,105.21709545585203,3844.0,1.3587198553005726,0.46324269889224573,6.822223016418236,279.06853996823077,279.6771961764766,31.180339887498935,56.97723552610593,105.21709545585203,199.0274492513102,3842.6412801446995,78219.33406113538,142.0502137252043,71.02510686260214,1.6862147430104577,0.648044074237217,0.23169465542112627,negative
X04305.1/1-118,157.5,109.92875387875334,3249.0,1.0955349625377988,0.4867724867724868,6.993866564391317,246.76152455356566,247.29971826717036,29.13874814603927,51.011478311301204,109.92875387875334,179.54288034759384,3247.904465037462,61157.15065502183,128.53140203629263,64.26570101814632,1.5667398384353375,0.578346801114695,0.20466560451599897,negative
J01888.1/1-119,169.5,108.99783339345603,3600.0,0.208480447420161,0.4523107177974435,6.692573319838425,266.49812382078784,267.07936360355905,37.707967512380016,54.15800922663782,108.99783339345603,226.35262528737354,3599.7915195525798,71331.38646288209,172.1946160607357,86.09730803036786,1.572260317526772,0.6810798410786925,0.27355694626830424,negative
J01889.1/1-119,171.4999999999999,106.46860881749525,3481.0,1.707214158364961,0.4470359572400392,6.63508708014809,261.0809261512606,261.65035087600614,41.135949979981504,53.76759643451193,106.46860881749525,231.89903201707443,3479.292785841635,68460.90611353712,178.13143558256252,89.06571779128126,1.5223377618149316,0.7472555595060344,0.3138236237392646,negative
X01003.1/1-119,171.5,109.16823274191233,2916.0,3.341423103922306,0.4470359572400389,6.672078359529363,237.57788196715617,238.09604590214389,32.34147430291856,49.710360076545165,109.16823274191233,234.63794756489042,2912.6585768960776,56689.7270742358,184.92758748834527,92.46379374417263,1.385293772403243,0.78709053311669,0.25750921310431857,negative
X00996.1/1-119,167.49999999999997,118.36798027787877,2916.0,2.569685340522622,0.45771144278606973,6.747296386390967,237.81347733044905,238.33215510544363,29.04257247250442,50.03420382867925,118.36798027787877,203.64457920372172,2913.4303146594775,56802.216157205236,153.61037537504245,76.80518768752123,1.4197819542116363,0.6197969131982891,0.24951903079891824,negative
AJ132198.1/1-116,161.49999999999991,115.72490642334738,3481.0,1.0262023892787002,0.47471620227038214,6.84212842452657,253.8449329807471,254.39857580414838,30.270673095857624,57.46865152243541,115.72490642334738,203.79709886945002,3479.9737976107212,64718.635371179036,146.32844734701462,73.16422367350731,1.5717952506547817,0.5409809804648458,0.23981681688557582,negative
AJ312082.1/1-119,169.5,120.35988805912963,3600.0,0.7978906457558248,0.4523107177974435,6.64613310420444,259.5558706714221,260.1219692079637,35.71922625570815,58.55033135490709,120.35988805912963,231.3671131211898,3599.2021093542444,67663.43886462881,172.8167817662827,86.40839088314135,1.5313030718078,0.5679714946969316,0.2893574515835409,negative
X00020.1/1-119,169.49999999999994,118.66694928412112,3249.0,6.585036250984466,0.45231071779744364,6.664366578287714,245.9822148042415,246.5187088217173,31.216143389364714,50.47632092263708,118.66694928412112,218.9554960729264,3242.4149637490154,60771.47379912664,168.4791751502893,84.23958757514465,1.4512225062197144,0.6199600742232481,0.26720480963865106,negative
X03911.1/1-119,159.5,108.84575533789213,3136.0,2.415445012200339,0.4806687565308255,6.910369902468685,237.35047924956885,237.8681472129366,24.848917571207185,54.969998530076964,108.84575533789213,220.98453182262577,3133.5845549877995,56581.25545851528,166.0145332925488,83.0072666462744,1.488090778994162,0.6402461645191713,0.2785783038481126,negative
X00998.1/1-119,165.5,119.21479628617641,3249.0,0.5628535408329868,0.46324269889224573,6.815800815254825,247.1623960071596,247.70146403249777,26.470867340537694,46.10341539639667,119.21479628617641,218.29637743066357,3248.437146459167,61356.01528384279,172.19296203426688,86.09648101713344,1.493428374665617,0.5617990980207545,0.26939455723201217,negative
M35395.1/1-119,163.50000000000006,117.38076976227418,3721.0,0.7886692279465471,0.46890927624872564,6.781740775041982,264.57749337386963,265.154544208487,35.26635097617358,68.20530935275606,117.38076976227418,224.07077043605773,3720.2113307720533,70306.93231441047,155.86546108330168,77.93273054165084,1.6182109686475201,0.5229382475011466,0.274700307697457,negative
X00994.1/1-119,169.50000000000003,127.79728237075268,3249.0,0.6967516796968061,0.4523107177974434,6.633196026620245,240.9216677677622,241.44712459211254,31.779410698791633,55.113384963639064,127.79728237075268,210.6876981985197,3248.3032483203033,58296.713973799124,155.57431323488066,77.78715661744033,1.4213667714912221,0.5192897510917979,0.23421519019698622,negative
X06836.1/1-119,157.50000000000003,102.02733669201551,3025.0,2.7950353916469046,0.4867724867724867,7.056377436895569,232.33434959127328,232.8410772370466,21.949102305402725,36.549991981662544,102.02733669201551,249.11302664633294,3022.2049646083533,54214.967248908295,212.5630346646704,106.2815173323352,1.4751387275636396,0.7162866369812256,0.36011009163886404,negative
M16074.1/307-425,151.50000000000006,98.55258317174992,3364.0,1.013918153034281,0.5060506050605059,7.050794607413121,242.69579724420444,243.22512349403783,34.700722793498656,53.87163191317275,98.55258317174992,203.1650180051528,3362.9860818469656,59158.46069868995,149.29338609198004,74.64669304599002,1.6019524570574544,0.6544911460700771,0.2597646556062942,negative
X13035.1/1-119,157.50000000000003,100.51002851520958,3844.0,6.387595435722644,0.4867724867724867,7.0425635669654145,277.4801794723364,278.08537142238646,27.502474797983805,41.220356171230335,100.51002851520958,201.87452037849363,3837.6124045642773,77331.47379912663,160.6541642072633,80.32708210363165,1.7617789172846752,0.6161518086787037,0.2581488144014188,negative
K02354.1/1-118,153.49999999999994,100.07848878726023,3721.0,0.42752919304639436,0.4994571118349622,7.08250601843382,266.1263797521771,266.7068087508475,29.14663193111459,48.854483751365,100.07848878726023,172.69466419341265,3720.572470806954,71132.52183406113,123.84018044204765,61.92009022102383,1.7337223436623923,0.6022121286415165,0.2216252874755769,negative
M25201.1/1-119,165.49999999999997,112.7897556964438,3136.0,0.006672022895119124,0.46324269889224584,6.926606241096881,251.29514519783305,251.84322686352033,21.424339661271578,39.697390938055015,112.7897556964438,224.67064322840588,3135.993327977105,63425.010917030566,184.97325229035087,92.48662614517544,1.5183996688690822,0.6292629839155048,0.284660303179003,negative
M35394.1/1-119,163.49999999999994,113.87538820250185,3249.0,0.8976854190759542,0.46890927624872597,6.9745684141316415,256.11569651233793,256.67429193383975,26.119467456986108,42.78542507378131,113.87538820250185,217.1694583491719,3248.102314580924,65881.69213973799,174.38403327539058,87.19201663769529,1.566456859402679,0.5812757180437886,0.28874877230545487,negative
X13037.1/1-119,167.49999999999991,113.8222653659771,3249.0,1.3960791296345725,0.4577114427860699,6.8846447822325185,256.0024413946085,256.5607898035645,22.56718153065471,36.31562966112772,113.8222653659771,224.00420918384435,3247.6039208703655,65823.43886462881,187.68857952271662,93.84428976135831,1.528372784445425,0.6290299538739471,0.3047306157493785,negative
X01518.1/1-119,169.50000000000009,127.05422517477272,3600.0,1.730181933150933,0.45231071779744325,6.746990567811518,268.47951504723784,269.06507629910425,30.72797666171766,53.822652012548794,127.05422517477272,192.68633233366793,3598.269818066849,72396.0152838428,138.86368032111915,69.43184016055957,1.5839499412816385,0.47429065287635674,0.20755474365640864,negative
X83208.1/1-119,155.50000000000003,96.65688775793367,3364.0,1.8913452231882835,0.49303322615219713,7.028528184044646,248.71921920109028,249.26168270089588,32.05572809000085,52.033204705406995,96.65688775793367,196.48655540465742,3362.108654776812,62131.38646288209,144.45335069925042,72.22667534962521,1.59948050933177,0.7097535015316792,0.22650993850740803,negative
X00992.1/1-119,169.50000000000006,118.1894793795142,3721.0,0.8356020386079014,0.45231071779744336,6.745414147089438,271.1517103025537,271.7430996862188,29.28024465842934,51.545264985887755,118.1894793795142,224.7040010417172,3720.1643979613923,73844.31222707423,173.15873605582942,86.57936802791471,1.5997151050298146,0.5676953381179092,0.2571831844744541,negative
