nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
Oa1707,9881.000000000004,278.82408272076873,527315.0,58.69197742994412,0.0025975778429983463,0.3980701410549992,60102.51627011968,60496.635353807724,120.47080087011197,168.59404973157493,278.82408272076873,896.9440600976801,527256.3080225701,3659842889.131579,728.3500103661052,364.1750051830526,6.082634983313396,0.4792898790189095,0.06342384488526477,real
Oa1735a,4904.999999999995,173.34774294254888,241355.0,49.671878785824106,0.005232755691471293,0.5175777327757247,27661.550173480875,27842.93933127864,78.86754849525386,102.02924183839885,173.34774294254888,563.6379360294658,241305.32812121417,775229270.6052631,461.60869419106695,230.80434709553347,5.639459770332498,0.5131656281787506,0.03677856064313525,real
Oa1785,6925.000000000002,145.47167066950286,259971.0,33.76261355451592,0.002551143200962695,0.32166469050205015,35924.62545385824,36268.40960702684,69.87458248191824,79.02197738128235,145.47167066950286,788.6490649267364,259937.2373864455,1315397535.4230769,709.6270875454541,354.81354377272703,5.187671545683499,0.5661460552766088,0.18281411719570118,real
Oa1817,4615.999999999999,146.88180706345082,206416.0,20.191510441968035,0.004549393414211439,0.4244094909723501,25864.75841758434,26072.510818620765,58.36831826276014,71.36891892572208,146.88180706345082,642.2790660716552,206395.80848955803,679775820.3870968,570.910147145933,285.4550735729665,5.60328388595848,0.5183638046158807,0.05036697019888813,real
Oa1821,6275.0,298.78486433824423,229595.0,64.85436684898934,0.003930942895086322,0.39923417865717653,28702.203748144497,28898.125502084844,106.70877686335496,118.87704580359667,298.78486433824423,741.0083607876825,229530.145633151,835101657.5342464,622.1313149840857,311.0656574920429,4.574056374206294,0.6246435139372982,0.06409947030361418,real
Oa1835,22004.000000000007,231.07793542973687,1731672.0,18.265792814550696,0.001560322365630491,0.4695923684933642,171437.35064448472,172275.68009682483,78.96978422587227,132.77033769423497,231.07793542973687,488.2757515677414,1731653.7342071855,29678909952.82353,355.5054138735064,177.7527069367532,7.791190267427952,0.38100662398338436,0.04770620387874983,real
Oa1853,5127.999999999999,192.0,137056.0,19.54799937935977,0.004160166406656267,0.39840835452668133,20563.208309988982,20725.765846037197,59.74360014399574,81.7194122556937,192.0,409.7056274847714,137036.45200062063,429557369.9047619,327.98621522907774,163.99310761453887,4.009986019888648,0.7201210908711516,0.06643772462891348,real
Oa1857,18739.999999999996,241.0503005839095,904232.0,50.582797488443866,0.0015474919957310569,0.38783482010389386,105611.42440096146,106223.66967143018,122.7917316756737,159.17763557574062,241.0503005839095,956.5610837479599,904181.4172025116,11283467998.465115,797.3834481722192,398.6917240861096,5.635614962698051,0.5254814941947041,0.08900846936932703,real
Oa1942,16451.99999999999,211.95473304176,922376.0,25.477551629742727,0.0017829645838398586,0.4143239487011597,101728.34531240542,102311.32054530494,106.61217060343934,134.7086933383938,211.95473304176,521.3416472718563,922350.5224483702,10467606311.724138,386.63295393346255,193.31647696673127,6.183342165840353,0.47892389924613693,0.05740291560500913,real
Oa1990,13148.00000000001,284.66966817205923,712016.0,53.75473727222824,0.0018000202819186684,0.3464814780445074,84276.13306268862,84875.97076103797,138.85399725341884,183.3381492453468,284.66966817205923,736.6979708312217,711962.2452627277,7203930412.6285715,553.3598215858749,276.67991079293745,6.409806287092224,0.4578994027499906,0.05150480635262586,real
Oa2016,4443.999999999996,114.06635723040452,228200.0,28.03782413335933,0.005400540054005405,0.5364880772903279,26761.91413184042,26949.719342132645,54.77724431399818,68.1079062386369,114.06635723040452,345.38346366320366,228171.96217586665,726287372.6197183,277.2755574245667,138.63777871228336,6.022032882952395,0.48538385050918115,0.02940344629517292,real
Oa2046,12826.0,314.70448628754264,584564.0,67.96462629666664,0.0017412547429700087,0.32573530467628753,71831.99934569551,72374.13533371594,131.02301317238454,192.17319187270422,314.70448628754264,828.2264749683833,584496.0353737033,5238015465.30303,636.053283095679,318.0266415478395,5.60049893541989,0.5225232052988452,0.0453993701837004,real
Oa2073,3833.999999999998,145.54447791557996,119156.0,13.692255200684524,0.005912015301686667,0.4736140415471497,16302.742959391833,16423.9546131353,64.51318231917249,94.12572654373047,145.54447791557996,657.2241546833886,119142.30774479931,269746285.1343283,563.0984281396582,281.5492140698291,4.252149963325989,0.6787426259382086,0.09073632008926003,real
Oa2101,23689.000000000015,381.5642708594149,1300371.0,59.982814279638035,0.0012101256560710309,0.3288454889045892,144115.3631019261,144960.62174632927,171.0696467122308,197.05384223686687,381.5642708594149,1085.4928426976978,1300311.0171857204,21013581857.08235,888.4390004608309,444.21950023041546,6.083640639196505,0.48518288184146613,0.04632169135757631,real
Oa2121,7286.999999999995,242.47007290271455,245827.0,25.14676762002628,0.0037509720506838685,0.4650855815559794,34059.155010070346,34268.75178841218,156.1118584616623,166.15028804613104,242.47007290271455,819.0420955039357,245801.85323237997,1174347349.1358025,652.8918074578046,326.4459037289023,4.67396116509817,0.6204965970248888,0.10941430668281707,real
Oa2126,5399.000000000001,180.31516557050736,312123.0,8.365339741598099,0.004507007470519231,0.5517992450219873,36286.12996724781,36537.24804984026,52.18139985432221,92.4133785055063,180.31516557050736,270.33883558986577,312114.6346602584,1334970495.0555556,177.92545708435946,88.96272854217973,6.720898308436341,0.43146112626008276,0.03202528340459989,real
Oa2132,8182.0,155.79671861594346,435668.0,45.93191557963256,0.0030554876558298704,0.4629079108264704,50623.72769759257,50964.632072617744,89.90137912955447,109.80590190577456,155.79671861594346,538.367593025315,435622.06808442035,2597393722.2972975,428.56169111954046,214.28084555977023,6.187207002883472,0.47563881482590303,0.07630365402806481,real
Oa2151,9826.0,243.87541133558977,406380.0,68.58846442091348,0.002272881470927471,0.3491034525814548,50732.84334629787,51115.738162022906,125.93721878581003,137.70668469550844,243.87541133558977,610.7556503307594,406311.4115355791,2612818687.848485,473.04896563525097,236.52448281762548,5.163122669071633,0.5666225638049309,0.043878997184520596,real
Oa2156,14631.999999999987,296.0410792541395,799184.0,60.00959191182926,0.0021642063058137434,0.41215537076377656,86129.03436124197,86585.95552176473,124.97396272495604,143.25733311301315,296.0410792541395,1015.3998559591903,799123.9904080882,7497127693.617021,872.1425228461771,436.0712614230886,5.886347345628899,0.4993423771808949,0.06534706499896258,real
Oa2171,10774.000000000004,336.931507100248,519364.0,69.50810204502534,0.002320400965286801,0.3546796055006632,60695.029104532114,61103.75445734725,118.13303071042532,129.85689458570792,336.931507100248,889.6225343408913,519294.49189795495,3733668808.783784,759.7656397551834,379.8828198775917,5.633472164890671,0.5158775922946424,0.055882856426530285,real
Oa2339,13172.999999999996,236.2495403558258,732179.0,56.85248589012801,0.001973734153192136,0.39081594422196864,83483.85514577055,84024.20936385405,109.72316194086658,125.70138320149161,236.2495403558258,425.18578511283806,732122.1475141098,7060067759.220779,299.4844019113465,149.74220095567324,6.337497543898168,0.4648833155963655,0.034195494988111405,real
Oa2367,839.0,117.55238872356668,12278.400086611713,10.958123186358687,0.026221692491060787,0.716109070616892,2237.0623594348003,2254.2048504278187,44.45336868701719,60.812161490378195,117.55238872356668,462.35863625199494,12267.441963425354,5081439.507692304,401.54647476161676,200.77323738080838,2.6663436942011924,0.9674932952589337,0.10501651681610867,real
Oa2371,5959.000000000002,279.81737016696565,219963.0,5.809444219807739,0.0036918946131901313,0.3755233724027339,27697.94071767791,27910.18857803613,129.74640211752268,149.55840548482098,279.81737016696565,802.4523802654429,219957.1905557802,778978626.4615384,652.8939747806219,326.44698739031094,4.648085369638849,0.6151196604527744,0.049613574818696195,real
Oa2572,13852.999999999993,277.3004250916342,664843.0,53.018742641427565,0.0016602901898505747,0.321006546731303,80652.21049667516,81243.07708081239,121.73545282040428,144.04826109870078,277.3004250916342,748.1944799032337,664789.9812573586,6600437573.558824,604.146218804533,302.0731094022665,5.822003212060579,0.5049718845139901,0.06102719893830308,real
Oa2691,11793.999999999993,291.11043510857934,504212.0,106.23794586419461,0.0018936182239556849,0.3042308571592336,62736.75555844437,63210.247223296814,125.37611130931437,135.1676825831819,291.11043510857934,524.193192928496,504105.7620541358,3995535354.030303,389.02551034531416,194.51275517265708,5.319378968835375,0.5500550416976316,0.030494830422695525,real
Oa2856,8803.000000000005,177.0399753545052,310219.0,19.0,0.002802075050172288,0.3961955105250515,41002.9332121496,41282.81996447406,80.01738914975836,95.83165510826271,177.0399753545052,562.0480247877798,310200.0,1704271224.2191782,466.21636967951713,233.10818483975856,4.657836329904529,0.6311226550560197,0.11549642552529704,real
Oa2949,8724.0,160.30911147918823,440912.0,10.155821366597042,0.002751031636863824,0.46165510219105116,52298.009292897565,52665.01736955198,82.26614824123415,95.04639298528579,160.30911147918823,759.416096056226,440901.8441786334,2773604054.535211,664.3697030709402,332.1848515354701,5.994728254573311,0.49124379709518823,0.18766052507945752,real
bOaU24,6504.000000000002,205.57610073387028,371288.0,18.269223266392082,0.004048790487904878,0.5482102145640833,41691.36284651774,41957.76404176723,77.74793634981441,100.30051810371518,205.57610073387028,687.3636987718853,371269.7307767336,1760453963.3846154,587.0631806681702,293.5315903340851,6.410111138763488,0.45321789473180096,0.13061471600520683,real
bOaCD32,2783.9999999999986,262.5175383722615,47824.23432241335,24.0,0.009578544061302686,0.5925589548560454,9538.605348791823,9598.78642118334,67.187945757503,111.89844514333319,262.5175383722615,518.3919189857867,47800.23432241335,92136700.75949368,406.49347384245345,203.24673692122673,3.4262231856292487,0.7930349467536507,0.13919975505293283,real
bOaCD36C,4739.0,136.60317472031355,260651.0,22.5826191510595,0.0052050362242385875,0.5261813584592887,30131.74731076842,30337.42715452588,36.56493271996276,54.929041059239985,136.60317472031355,639.6339201443582,260628.41738084893,920359486.3561643,584.7048790851181,292.35243954255907,6.358250118330538,0.45822734186094394,0.10750264404856791,real
bOaCD58B,3150.9999999999973,139.00057792598045,56475.0,18.35926558554067,0.00698191050460172,0.47145625696197335,10928.998490255177,11012.746829854099,44.77150997203712,66.61176636462203,139.00057792598045,593.3200325387616,56456.64073441446,121280592.73846148,526.7082661741396,263.3541330870698,3.4684222438131345,0.8267910618048838,0.06886437503458362,real
bOaU58,9168.999999999998,274.33820123529586,401507.0,44.57148235147764,0.0025448067764569024,0.35884926966935843,48679.75449814841,49031.23743439305,105.85036945888149,166.82485174862938,274.33820123529586,1047.3925471047241,401462.42851764854,2404062244.347826,880.5676953560948,440.2838476780474,5.309167248134848,0.5481536558962938,0.10829588935450035,real
bOaU86,9544.999999999993,206.2472069895432,337435.0,35.91931711747748,0.0018858040859088543,0.2842372348558013,46992.95225882281,47434.210317584395,108.59023259069986,151.90780069019115,206.2472069895432,999.5019667191089,337399.0806828825,2250004308.4528303,847.5941660289177,423.79708301445885,4.923305632144876,0.5961800021570547,0.1139561490641344,real
bOa2156i,22967.00000000002,480.1901950058362,1463467.0,79.6679508834024,0.0014223305902671937,0.3436137931718326,150070.08101550423,150841.65464130865,178.7762939806726,263.3300910137955,480.1901950058362,1317.9451038715931,1463387.3320491165,22753204774.927834,1054.6150128577976,527.3075064288988,6.534161232006971,0.44952617442788617,0.08020146754354372,real
Oa1774,9857.999999999996,244.53970764221066,577508.0,50.193276791957565,0.0028065192398728624,0.43563387038032636,63572.008384193745,63958.467921788426,115.3424078513328,135.8294691584891,244.53970764221066,919.0870344989628,577457.806723208,4090685618.902439,783.2575653404737,391.62878267023683,6.448773420997542,0.4536647749553261,0.07590552709098082,real
bOaU73B,7045.999999999997,229.61117870632344,316324.0,28.032927070233942,0.0035481124042009665,0.4387729185839163,37262.86856912656,37513.79981222045,82.8499280384772,114.52587715722873,229.61117870632344,686.8321574161242,316295.9670729298,1407285176.3513513,572.3062802588955,286.15314012944776,5.2885138474491304,0.5487813270721672,0.06494776072319797,real
Oa1735b,5401.000000000003,187.14443569368234,261067.0,39.38325588752753,0.004752206381534282,0.5003835207589499,29912.39151254878,30108.540443832455,77.08977884858534,97.57610875066646,187.14443569368234,566.9152312578834,261027.61674411249,906524207.6578947,469.339122507217,234.6695612536085,5.538306149333228,0.5229126091893069,0.02972943317539364,real
Oa1781,10733.999999999996,244.68566107556632,512020.0,12.651764017415898,0.0023601018570275144,0.3567215655227565,59565.250440168544,59961.03718916143,107.87480355025068,137.42454699798887,244.68566107556632,964.7257789168473,512007.3482359826,3595325980.8,827.3012319188584,413.6506159594292,5.54921282282174,0.528293640742464,0.06511842505497269,real
Oa1692,5380.000000000002,210.2741019089475,237480.0,23.374342558036908,0.00439900867410161,0.47814454301999926,28921.042235714816,29126.88855041972,87.26311508583467,106.27737628142295,210.2741019089475,519.4387862671977,237456.62565744197,848375636.6285714,413.1614099857747,206.58070499288735,5.375658408125429,0.5362592941108035,0.0895749091393821,real
Oa1702,5456.999999999998,261.02390656287787,220355.0,35.586084882171555,0.003726101032313238,0.3953269190027749,28459.632991308936,28695.81656792502,113.47232059747832,118.16832324585764,261.02390656287787,593.2547457202478,220319.41391511782,823449888.5,475.08642247439013,237.54321123719507,5.215252518106825,0.5477206359291997,0.07571881343227291,real
Oa1723,14469.0,315.4622012179848,692659.0,92.84245428443293,0.001773907434284793,0.3176961782042137,79938.83490519486,80463.02960317273,144.40295974606443,198.90659298211253,315.4622012179848,1236.3606684095657,692566.1575457156,6474299132.921053,1037.4540754274533,518.7270377137266,5.524834812716488,0.5311637759882678,0.07166511250233702,real
