nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
X01556.1/3-118,119.76249999999997,6.600000000000002,0.7766527313151631,176.0,1.0,19.35497352103588,4.031962025316456,0.025293753865182435,0.03183023872679045,227.0,369.0,1359.0,14.262499999999998,4.374999999999999,0.6944020073096977,176.0,0.0,19.61273502089905,1.7976931348623157e+308,0.011111111111111113,0.038461538461538464,227.0,76.0,191.0,1.0624999999999998,3.0250000000000017,0.4759303994665606,174.0,0.0,19.38554551721462,1.7976931348623157e+308,0.0,0.0,227.0,19.0,34.0,0.07500000000000002,2.424999999999999,-0.13450197291294216,171.0,0.0,19.007745131919254,1.7976931348623157e+308,0.0,0.0,227.0,6.0,4.0,0.07500000000000002,2.424999999999999,-0.13450197291294216,171.0,0.0,19.007745131919254,1.7976931348623157e+308,0.0,0.0,227.0,6.0,4.0,0.03750000000000001,2.3000000000000003,-0.1084337349397603,166.0,0.0,18.452913049163808,1.7976931348623157e+308,0.0,0.0,227.0,3.0,1.0,0.0,1.85,0.0,148.0,0.0,16.443159672033843,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.85,0.0,148.0,0.0,16.443159672033843,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.85,0.0,148.0,0.0,16.443159672033843,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.85,0.0,148.0,0.0,16.443159672033843,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,negative
X55260.1/3-119,116.66666666666666,6.743589743589747,0.7717842068528629,172.0,1.0,19.233674994145236,4.03030303030303,0.013191763191763189,0.0326975476839237,227.0,359.0,1330.0,5.717948717948715,4.35897435897436,0.6754261950702376,172.0,0.0,19.48699392624203,1.7976931348623157e+308,0.025,0.05,227.0,58.0,138.0,3.205128205128206,3.5897435897435903,0.6095612594636294,170.0,0.0,19.296894859440595,1.7976931348623157e+308,0.06666666666666667,0.08823529411764706,227.0,32.0,62.0,0.4487179487179487,2.8974358974358965,0.4693504539265935,167.0,0.0,18.878552301888032,1.7976931348623157e+308,0.0,0.0,227.0,12.0,15.0,0.16666666666666657,2.6923076923076916,0.32953523156389447,167.0,0.0,18.81646012398807,1.7976931348623157e+308,0.0,0.0,227.0,7.0,7.0,0.03846153846153848,2.3076923076923066,-0.11111111111111314,162.0,0.0,18.235150398589308,1.7976931348623157e+308,0.0,0.0,227.0,3.0,1.0,0.0,1.846153846153847,0.0,144.0,0.0,16.199934253647,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.846153846153847,0.0,144.0,0.0,16.199934253647,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.846153846153847,0.0,144.0,0.0,16.199934253647,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.846153846153847,0.0,144.0,0.0,16.199934253647,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,negative
M16174.1/3-119,108.33766233766235,6.831168831168832,0.7714997118503353,172.0,1.0,19.350762659826884,3.850991114149009,0.008349641226353555,0.023195876288659795,227.0,382.0,1467.0,7.584415584415583,4.38961038961039,0.6734892927669681,172.0,0.0,19.623836449355693,1.7976931348623157e+308,0.015686274509803925,0.041666666666666664,227.0,70.0,191.0,1.5714285714285723,3.402597402597403,0.5642523617420552,170.0,0.0,19.36542624145516,1.7976931348623157e+308,0.17916666666666667,0.125,227.0,22.0,36.0,0.45454545454545453,2.935064935064934,0.4693504539265935,167.0,0.0,18.997838333858397,1.7976931348623157e+308,0.0,0.0,227.0,12.0,15.0,0.16883116883116875,2.7272727272727275,0.32953523156389447,167.0,0.0,18.93573297950397,1.7976931348623157e+308,0.0,0.0,227.0,7.0,7.0,0.038961038961038974,2.3376623376623367,-0.11111111111111314,162.0,0.0,18.35126973887205,1.7976931348623157e+308,0.0,0.0,227.0,3.0,1.0,0.0,1.870129870129871,0.0,144.0,0.0,16.3034142303859,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.870129870129871,0.0,144.0,0.0,16.3034142303859,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.870129870129871,0.0,144.0,0.0,16.3034142303859,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.870129870129871,0.0,144.0,0.0,16.3034142303859,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,negative
X55267.1/3-119,122.27848101265828,6.658227848101267,0.7735201187985071,172.0,1.0,19.11847544101233,4.1353456669912365,0.01270913770913771,0.03333333333333333,227.0,352.0,1312.0,9.70886075949367,4.379746835443038,0.6849591633416938,172.0,0.0,19.373284356849535,1.7976931348623157e+308,0.013333333333333336,0.041666666666666664,227.0,70.0,183.0,1.1265822784810127,3.316455696202532,0.5671911495853746,170.0,0.0,19.13082495312938,1.7976931348623157e+308,0.20476190476190476,0.13043478260869565,227.0,21.0,33.0,0.4430379746835443,2.8607594936708853,0.4707791738447672,167.0,0.0,18.770252641701333,1.7976931348623157e+308,0.0,0.0,227.0,12.0,15.0,0.20253164556962028,2.5569620253164556,0.40198112733211383,163.0,0.0,18.281724176673702,1.7976931348623157e+308,0.0,0.0,227.0,5.0,5.0,0.03797468354430381,2.3037974683544293,-0.11656318277024098,163.0,0.0,18.235696271067535,1.7976931348623157e+308,0.0,0.0,227.0,3.0,1.0,0.0,2.000000000000001,-0.04635761589404212,151.0,0.0,16.88906469669395,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.822784810126583,0.0,144.0,0.0,16.098399553812772,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.822784810126583,0.0,144.0,0.0,16.098399553812772,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.822784810126583,0.0,144.0,0.0,16.098399553812772,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,negative
M16172.1/3-119,125.37804878048775,6.414634146341461,0.771468129959616,172.0,1.0,18.795401110775252,4.095754290876242,0.012113095238095237,0.0316622691292876,227.0,371.0,1388.0,6.414634146341461,3.9268292682926833,0.6671110265752076,171.0,0.0,18.948441269186922,1.7976931348623157e+308,0.02380952380952381,0.05,227.0,58.0,135.0,1.6951219512195126,3.1951219512195133,0.5803897071693948,169.0,0.0,18.717696742029755,1.7976931348623157e+308,0.15833333333333335,0.1111111111111111,227.0,25.0,45.0,0.4268292682926829,2.756097560975609,0.4940312383136331,166.0,0.0,18.330010695251733,1.7976931348623157e+308,0.0,0.0,227.0,12.0,15.0,0.2073170731707317,2.4634146341463414,0.4313786353952135,162.0,0.0,17.84362639640328,1.7976931348623157e+308,0.0,0.0,227.0,5.0,4.0,0.012195121951219507,2.219512195121951,0.3992626917645401,157.0,0.0,17.25068000797813,1.7976931348623157e+308,0.0,0.0,227.0,1.0,0.0,0.0,1.9268292682926838,-0.04635761589404212,151.0,0.0,16.58149165654937,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.7560975609756104,0.0,144.0,0.0,15.804878048780491,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.7560975609756104,0.0,144.0,0.0,15.804878048780491,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.7560975609756104,0.0,144.0,0.0,15.804878048780491,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,negative
AF001265.1/6033-6149,122.20987654320986,6.49382716049383,0.7713066663917191,172.0,1.0,18.90007737706424,4.0552469135802465,0.03203737191078963,0.04627249357326478,227.0,377.0,1408.0,6.913580246913575,3.97530864197531,0.6682441970397905,171.0,0.0,19.04703425191515,1.7976931348623157e+308,0.025641025641025644,0.05357142857142857,227.0,54.0,122.0,1.7160493827160497,3.234567901234569,0.5803897071693948,169.0,0.0,18.829495908582246,1.7976931348623157e+308,0.15833333333333335,0.1111111111111111,227.0,25.0,45.0,0.43209876543209874,2.790123456790123,0.4940312383136331,166.0,0.0,18.44023783983538,1.7976931348623157e+308,0.0,0.0,227.0,12.0,15.0,0.20987654320987653,2.493827160493827,0.4313786353952135,162.0,0.0,17.951322009703144,1.7976931348623157e+308,0.0,0.0,227.0,5.0,4.0,0.012345679012345675,2.2469135802469133,0.3992626917645401,157.0,0.0,17.35506533963929,1.7976931348623157e+308,0.0,0.0,227.0,1.0,0.0,0.0,1.9506172839506182,-0.04635761589404212,151.0,0.0,16.68214187817775,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.7777777777777786,0.0,144.0,0.0,15.900927839998502,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.7777777777777786,0.0,144.0,0.0,15.900927839998502,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.7777777777777786,0.0,144.0,0.0,15.900927839998502,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,negative
X05057.1/3-119,124.7317073170732,6.41463414634146,0.7715424721214895,172.0,2.0,18.78891163627918,4.079795242396869,0.028189300411522632,0.0391644908616188,227.0,373.0,1381.0,6.829268292682922,3.8780487804878065,0.6625833382319262,171.0,0.0,18.94304058055741,1.7976931348623157e+308,0.025641025641025644,0.05357142857142857,227.0,54.0,122.0,1.6951219512195126,3.1951219512195133,0.5803897071693948,169.0,0.0,18.717696742029755,1.7976931348623157e+308,0.15833333333333335,0.1111111111111111,227.0,25.0,45.0,0.4268292682926829,2.756097560975609,0.4940312383136331,166.0,0.0,18.330010695251733,1.7976931348623157e+308,0.0,0.0,227.0,12.0,15.0,0.2073170731707317,2.4634146341463414,0.4313786353952135,162.0,0.0,17.84362639640328,1.7976931348623157e+308,0.0,0.0,227.0,5.0,4.0,0.012195121951219507,2.219512195121951,0.3992626917645401,157.0,0.0,17.25068000797813,1.7976931348623157e+308,0.0,0.0,227.0,1.0,0.0,0.0,1.9268292682926838,-0.04635761589404212,151.0,0.0,16.58149165654937,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.7560975609756104,0.0,144.0,0.0,15.804878048780491,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.7560975609756104,0.0,144.0,0.0,15.804878048780491,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.7560975609756104,0.0,144.0,0.0,15.804878048780491,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,negative
X15126.1/3-120,134.2289156626506,6.3373493975903585,0.7722164318947488,172.0,1.0,18.67172148827613,4.273875991771966,0.03520833333333333,0.049315068493150684,227.0,353.0,1291.0,11.204819277108435,4.072289156626506,0.6887178869671987,171.0,0.0,18.81154678249833,1.7976931348623157e+308,0.013333333333333336,0.043478260869565216,227.0,67.0,172.0,0.7228915662650603,3.0602409638554207,0.5566409441342658,169.0,0.0,18.56239844649701,1.7976931348623157e+308,0.2388888888888889,0.13636363636363635,227.0,20.0,32.0,0.4216867469879518,2.698795180722891,0.48280063884320634,166.0,0.0,18.208124057160322,1.7976931348623157e+308,0.0,0.0,227.0,12.0,15.0,0.036144578313253024,2.3132530120481922,0.2892887626917333,162.0,0.0,17.692778263204588,1.7976931348623157e+308,0.0,0.0,227.0,3.0,1.0,0.012048192771084333,2.192771084337349,0.3992626917645401,157.0,0.0,17.14815514424838,1.7976931348623157e+308,0.0,0.0,227.0,1.0,0.0,0.0,1.903614457831326,-0.04635761589404212,151.0,0.0,16.482641075240725,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.7349397590361453,0.0,144.0,0.0,15.710547709539613,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.7349397590361453,0.0,144.0,0.0,15.710547709539613,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.7349397590361453,0.0,144.0,0.0,15.710547709539613,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,negative
Z50737.1/3-119,124.06172839506179,6.493827160493829,0.7715699780864735,172.0,1.0,18.8961577234862,4.101543209876543,0.026190476190476188,0.05289672544080604,227.0,383.0,1456.0,8.59259259259259,3.975308641975307,0.6691560551738138,171.0,0.0,19.0424965350517,1.7976931348623157e+308,0.019607843137254905,0.04918032786885246,227.0,59.0,142.0,0.7283950617283946,3.0864197530864206,0.5447102219767129,169.0,0.0,18.7894096326182,1.7976931348623157e+308,0.12777777777777777,0.14285714285714285,227.0,19.0,31.0,0.43209876543209874,2.790123456790123,0.4940312383136331,166.0,0.0,18.44023783983538,1.7976931348623157e+308,0.0,0.0,227.0,12.0,15.0,0.20987654320987656,2.493827160493827,0.4313786353952135,162.0,0.0,17.951322009703148,1.7976931348623157e+308,0.0,0.0,227.0,5.0,4.0,0.012345679012345675,2.2469135802469133,0.3992626917645401,157.0,0.0,17.35506533963929,1.7976931348623157e+308,0.0,0.0,227.0,1.0,0.0,0.0,1.9506172839506182,-0.04635761589404212,151.0,0.0,16.68214187817775,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.7777777777777786,0.0,144.0,0.0,15.900927839998502,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.7777777777777786,0.0,144.0,0.0,15.900927839998502,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.7777777777777786,0.0,144.0,0.0,15.900927839998502,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,negative
X55261.1/3-119,128.8928571428571,6.261904761904763,0.7729908000220594,172.0,1.0,18.572970021499014,4.105851979345955,0.0631687242798354,0.0390625,227.0,374.0,1415.0,11.011904761904757,3.8333333333333335,0.6713362080409262,171.0,0.0,18.706271760417764,1.7976931348623157e+308,0.015686274509803925,0.04838709677419355,227.0,60.0,144.0,0.511904761904762,2.8809523809523827,0.5081523117791958,169.0,0.0,18.45161288724077,1.7976931348623157e+308,0.2388888888888889,0.15789473684210525,227.0,17.0,26.0,0.25000000000000006,2.595238095238096,0.42983654240377145,166.0,0.0,18.10953382667542,1.7976931348623157e+308,0.0,0.0,227.0,11.0,12.0,0.11904761904761901,2.3095238095238084,0.5208549933691364,158.0,0.0,17.205325996050917,1.7976931348623157e+308,0.0,0.0,227.0,3.0,2.0,0.0119047619047619,2.190476190476192,0.37675455706383165,158.0,0.0,17.158557625081503,1.7976931348623157e+308,0.0,0.0,227.0,1.0,0.0,0.0119047619047619,2.047619047619048,-0.08860759493670986,158.0,0.0,17.15122150439934,1.7976931348623157e+308,0.0,0.0,227.0,1.0,0.0,0.0,1.714285714285715,0.0,144.0,0.0,15.617886135675937,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.714285714285715,0.0,144.0,0.0,15.617886135675937,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,0.0,1.714285714285715,0.0,144.0,0.0,15.617886135675937,1.7976931348623157e+308,0.0,0.0,227.0,0.0,0.0,negative
