nameseq,k1,k2,label
AE009441.1/724028-724085,1.889557381633508,3.6331693477567737,hacabox
CP001014.1/224637-224694,1.821222868550645,3.547031357921957,hacabox
CP000504.1/1173049-1172992,1.9255622926844693,3.7399036116007456,hacabox
CP003316.1/1875733-1875794,1.8810634927728622,3.6404652571905167,hacabox
CP000561.1/255861-255803,1.8737726997879065,3.5691036244006167,hacabox
nameseq,k1,k2,label
AE009441.1/724028-724085,1.889557381633508,3.6331693477567737,hacabox
CP001014.1/224637-224694,1.821222868550645,3.547031357921957,hacabox
CP000504.1/1173049-1172992,1.9255622926844693,3.7399036116007456,hacabox
CP003316.1/1875733-1875794,1.8810634927728622,3.6404652571905167,hacabox
CP000561.1/255861-255803,1.8737726997879065,3.5691036244006167,hacabox
