nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
LM5Cs1C1,52.67391304347827,4.173913043478261,0.24584760231725075,12.0,2.0,2.7051026487482224,3.341062801932367,0.08436853002070395,0.047872340425531915,94.0,182.0,610.0,3.086956521739131,1.7391304347826086,0.19567827130852336,8.0,0.0,2.540410636172442,1.7976931348623157e+308,0.0,0.0,94.0,15.0,18.0,0.08695652173913043,0.8695652173913042,0.6131805157593121,8.0,0.0,1.917977826096763,1.7976931348623157e+308,0.0,0.0,94.0,2.0,1.0,0.0,0.34782608695652173,1.0,8.0,0.0,1.4021317823127912,1.7976931348623157e+308,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
LM5Cs1C2,53.475,3.5999999999999996,0.36272717938186666,12.0,1.0,2.3216373532487804,3.7423076923076923,0.007692307692307692,0.023622047244094488,71.0,125.0,346.0,0.42500000000000016,1.3499999999999996,0.13698630136986348,10.0,0.0,2.25333086784875,1.7976931348623157e+308,0.3095238095238095,0.25,71.0,10.0,8.0,0.0,0.44999999999999984,0.0,6.0,0.0,1.5803480629279107,1.7976931348623157e+308,1.0,1.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
LM5Cs1C3,57.91666666666668,3.916666666666667,0.07153779394139735,12.0,2.0,2.316906462409641,3.4645390070921986,0.02395833333333333,0.04245283018867924,93.0,206.0,698.0,7.1875,1.458333333333333,-0.08044901777361903,7.0,0.0,2.061131701005273,1.7976931348623157e+308,0.0,0.0,93.0,17.0,20.0,0.0,0.12500000000000003,0.0,3.0,0.0,0.5994789404140899,1.7976931348623157e+308,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
LM5Cs1C4,51.4047619047619,4.380952380952382,0.2836055894508956,14.0,1.0,3.2215966239205422,3.507549361207898,0.05853658536585365,0.07142857142857142,90.0,160.0,517.0,4.071428571428571,2.1428571428571432,-0.10781261313445692,11.0,0.0,3.1740872596658063,1.7976931348623157e+308,0.16153846153846155,0.11538461538461539,90.0,24.0,42.0,0.2142857142857143,1.2857142857142856,-0.1202263083451207,11.0,0.0,2.5193131555069144,1.7976931348623157e+308,0.0,0.0,90.0,5.0,3.0,0.0,0.4285714285714285,1.0,8.0,0.0,1.5907898179514348,1.7976931348623157e+308,0.0,0.0,90.0,0.0,0.0,0.0,0.23809523809523814,0.0,5.0,0.0,1.0647942749999,1.7976931348623157e+308,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
LM14Cs1C1,59.41176470588234,4.352941176470588,0.3274088202994049,12.0,1.0,2.423929150357237,3.376470588235294,0.05344995140913508,0.047619047619047616,109.0,244.0,856.0,1.823529411764706,1.6862745098039218,0.7077215878194677,8.0,0.0,2.1003286024738745,1.7976931348623157e+308,0.0,0.0,109.0,12.0,8.0,0.0,0.35294117647058826,1.0,8.0,0.0,1.4528340041445258,1.7976931348623157e+308,0.0,0.0,109.0,0.0,0.0,0.0,0.35294117647058826,1.0,8.0,0.0,1.4528340041445258,1.7976931348623157e+308,0.0,0.0,109.0,0.0,0.0,0.0,0.19607843137254904,0.0,5.0,0.0,0.9705387192756533,1.7976931348623157e+308,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
LM14Cs1C2,52.11111111111112,4.7111111111111095,0.32641564286221153,23.0,2.0,3.9867682385178,3.3686868686868685,0.06772486772486772,0.056074766355140186,104.0,206.0,718.0,4.266666666666667,2.1333333333333337,-0.15305859786931955,22.0,0.0,4.102032016777376,1.7976931348623157e+308,0.0,0.0,104.0,26.0,49.0,0.2888888888888889,1.2444444444444447,-0.469301506554491,18.0,0.0,3.4134085639857648,1.7976931348623157e+308,0.0,0.0,104.0,7.0,7.0,0.022222222222222237,0.7111111111111114,-0.7142857142857143,12.0,0.0,2.4278222726662513,1.7976931348623157e+308,0.0,0.0,104.0,1.0,0.0,0.0,0.3555555555555558,0.0,8.0,0.0,1.648643288088125,1.7976931348623157e+308,0.0,0.0,104.0,0.0,0.0,0.0,0.3555555555555558,0.0,8.0,0.0,1.648643288088125,1.7976931348623157e+308,0.0,0.0,104.0,0.0,0.0,0.0,0.3555555555555558,0.0,8.0,0.0,1.648643288088125,1.7976931348623157e+308,0.0,0.0,104.0,0.0,0.0,0.0,0.3555555555555558,0.0,8.0,0.0,1.648643288088125,1.7976931348623157e+308,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
LM15Cs1C1,50.999999999999986,4.297872340425532,0.2285311316419185,10.0,2.0,2.48326221284535,3.217391304347826,0.09098277608915904,0.0846774193548387,101.0,234.0,835.0,0.4042553191489362,1.574468085106383,-0.13929618768328453,6.0,0.0,2.0705090426728274,1.7976931348623157e+308,0.0,0.0,101.0,13.0,6.0,0.042553191489361715,0.6382978723404255,-0.6666666666666672,6.0,0.0,1.5077887418320493,1.7976931348623157e+308,0.0,0.0,101.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
LM18Cs1C1,66.81249999999999,3.4166666666666656,0.19646098803292236,10.0,1.0,2.206367049145621,3.8430851063829787,0.030020703933747412,0.034482758620689655,82.0,170.0,551.0,1.5416666666666665,1.125,0.00858369098712634,7.0,0.0,1.8328597873268975,1.7976931348623157e+308,0.0,0.0,82.0,12.0,12.0,0.0,0.12500000000000006,0.0,3.0,0.0,0.5994789404140899,1.7976931348623157e+308,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
LM18Cs1C2,50.60000000000001,3.9555555555555566,0.12042598509052244,10.0,1.0,2.2799176939876635,3.3,0.048484848484848485,0.04712041884816754,89.0,185.0,608.0,2.0888888888888886,1.5111111111111113,-0.3255360623781685,8.0,0.0,2.0398499097534084,1.7976931348623157e+308,0.0,0.0,89.0,14.0,14.0,0.022222222222222223,0.44444444444444453,-0.9148936170212759,6.0,0.0,1.309037908890946,1.7976931348623157e+308,0.0,0.0,89.0,1.0,0.0,0.0,0.1777777777777779,0.0,4.0,0.0,0.8243216440440625,1.7976931348623157e+308,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
LM18Cs1C3,59.52083333333333,3.9999999999999996,0.394346953081374,10.0,2.0,2.5413251136628174,3.5328014184397163,0.04126984126984127,0.04265402843601896,96.0,205.0,678.0,5.541666666666664,1.3750000000000004,-0.17651719220408923,9.0,0.0,2.4801293649055216,1.7976931348623157e+308,0.0,0.0,96.0,15.0,18.0,0.1041666666666667,0.7083333333333331,-0.6037735849056592,7.0,0.0,1.8591926264435923,1.7976931348623157e+308,0.0,0.0,96.0,3.0,1.0,0.0,0.3333333333333334,0.0,4.0,0.0,1.1055415967851332,1.7976931348623157e+308,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,real
