nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
SNORD11B,175.99999999999994,124.92641148990698,1284.6895552402443,4.8890892262811985,0.2121212121212122,3.2003728787810317,207.7715091151816,208.70531835559413,35.74516600406096,48.20857068166539,124.92641148990698,218.61184905369802,1279.8004660139632,43557.9099099099,170.40327837203262,85.20163918601631,1.1805199381544413,0.737448393106383,0.26642393829247635,real
SNORD117,151.24999999999997,109.25540342214144,760.1447605078497,1.470732208214144,0.20495867768595044,2.816326390704017,146.0025684705581,146.79391610127385,27.546973277248995,56.52814988432661,109.25540342214144,229.33824376064047,758.6740282996356,21548.453804347828,172.81009387631386,86.40504693815693,0.9653062378218719,0.8628874892634553,0.257492807902352,real
Me18S-C797,126.75000000000003,93.56971741755429,581.6933864344528,4.5951547467206995,0.21827744904667978,2.726613484991735,123.32122688329046,124.07090690014478,32.33908414636428,40.61364712766242,93.56971741755429,185.29925421743494,577.0982316877321,15393.589939024394,144.68560708977253,72.34280354488627,0.9729485355683664,0.8071671865666835,0.33238636033993857,real
SNORD105B,99.00000000000004,59.265233842518406,464.7308324044205,4.0,0.30976430976430963,3.4680494958642964,107.38249391777045,107.97089554928351,20.25863794449405,32.270376356543956,59.265233842518406,109.84777263202072,460.7308324044205,11657.71428571429,77.57739627547676,38.78869813773838,1.0846716557350546,1.110090612755997,0.19384387619044363,real
SNORD118,159.25000000000003,122.03992458297071,705.5068760209349,6.25,0.2114076399790685,2.9503558427411942,144.19171266061028,144.91087778355356,26.237460346367435,62.486585756744574,122.03992458297071,222.02632270488334,699.2568760209349,20999.1625,159.53973694813877,79.76986847406938,0.9054424656867206,0.7741792103810877,0.23099222545527803,real
Me28S-A2802,140.49999999999994,122.37245998206548,464.4798456831441,3.002275851505513,0.2325029655990511,2.9576146598554764,99.24842568020912,99.75870372590133,39.022400584961886,57.5866101366351,122.37245998206548,203.95121338452884,461.4775698316386,9951.798969072159,146.36460324789374,73.18230162394687,0.7063944888271115,0.5479444100104017,0.32799106738137523,real
SNORD12B,143.75000000000006,98.73761786634819,812.25,3.62445090706543,0.23884057971014486,3.268751543996641,149.2828690774665,150.01286301056805,20.297859987877544,31.892885986989977,98.73761786634819,158.24987700432672,808.6255490929345,22503.85906862746,126.35699101733674,63.17849550866837,1.0384895240171579,0.9045722877343787,0.193075070495747,real
SNORD111B,139.49999999999997,94.0055240359703,661.538823950872,5.518512083890719,0.22461170848267625,2.9846090850303013,138.0842134351353,138.82461666991335,15.99296845083545,47.26052558363954,94.0055240359703,187.97049954582,656.0203118669813,19272.274193548383,140.70997396218044,70.35498698109022,0.9898509923665615,0.9884071791899787,0.23243034295145706,real
SNORD58C,134.49999999999997,88.92176770673962,549.3854275844653,1.0,0.22304832713754652,2.9475406723364928,130.62254782387305,131.35433252906924,23.645841618605253,34.752209936690875,88.92176770673962,194.63728757031313,548.3854275844653,17253.9606741573,159.88507763362225,79.94253881681112,0.9711713592853017,1.0467924501377008,0.26227943603852877,real
SNORD41B,103.50000000000001,63.08232959916841,441.0,0.0,0.30273752012882443,3.5771584795980007,102.2900288395697,102.83850477577029,11.180463968341877,22.23120758259383,63.08232959916841,182.84307185772118,441.0,10575.758064516129,160.61186427512735,80.30593213756367,0.9883094573871467,1.185384465896147,0.3568558326939544,real
SNORD119,138.0,90.8026472114646,549.5722561468538,1.0,0.2318840579710145,3.054852704581147,136.01838111078956,136.7323932666325,26.370386752318428,55.784609690826514,90.8026472114646,172.28185029007076,548.5722561468538,18695.747368421053,116.49724059924425,58.248620299622125,0.9856404428318084,1.040977382683865,0.18140454799047884,real
SNORD121A,136.74999999999994,87.11536592459949,533.1970565551949,3.500130993433627,0.22181596587446686,2.9085382820105043,131.50903010820207,132.2376175677708,25.363389546746767,37.92134323396343,87.11536592459949,197.06824822206246,529.6969255617613,17486.787500000002,159.14690498809904,79.57345249404952,0.961674808835116,1.1322713132602928,0.26388376017404425,real
SNORD121B,133.24999999999991,91.17522311226226,592.7805002267635,5.904541629686942,0.23264540337711084,2.9612620118275177,116.36902508829398,116.99975613129543,27.08491971433176,50.108295034805025,91.17522311226226,183.93219831564932,586.8759585970765,13688.9429347826,133.8239032808443,66.91195164042215,0.8733135091053963,1.0846901103402848,0.25164115166027984,real
SNORD120,143.25,117.72133929784745,576.4982542615679,0.43335686727515493,0.2164048865619546,2.8299911784580014,113.50220262179937,114.11739521783848,37.78147815559995,78.7416788546087,117.72133929784745,189.96077861425118,576.0648973942928,13022.779891304344,111.21909975964249,55.609549879821245,0.7923364929968543,0.67475326766697,0.22053931546013153,real
SNORD122_orphan,127.0,91.18033988749895,625.0,1.1365427697370503,0.26246719160104987,3.2162232367004204,105.84894897919393,106.38219642953288,36.11189294386414,65.17950598938084,91.18033988749895,162.08072239034502,623.863457230263,11317.171717171717,96.90121640096417,48.45060820048209,0.8334562911747554,1.0152106504016936,0.25383812115486,real
SNORD123_orphan,128.00000000000003,92.90947494054464,574.7876057420855,1.0422631426273987,0.2291666666666666,2.8648054603828554,116.84177335182824,117.51135919658951,29.935860781408135,53.03835461906866,92.90947494054464,185.6651649667067,573.7453425994581,13808.919540229883,132.62681034763804,66.31340517381902,0.9128263543111579,0.9009755001011286,0.2862336214742365,real
SNORD124_orphan,132.00000000000003,88.65639846072948,785.1311399405938,1.3152331961136623,0.26262626262626254,3.413294897212065,147.29901561110313,148.01233220727553,27.69874527790419,40.24757292889043,88.65639846072948,152.65458658814666,783.8159067444801,21907.65048543689,112.40701365925622,56.20350682962811,1.1159016334174476,0.8827676415782523,0.21856111326627686,real
SNORD125_orphan,110.00000000000001,59.76463797434193,479.6328735635438,0.3239483270632299,0.2909090909090909,3.55644594815624,121.07435731813736,121.70992261585698,13.153719175842085,28.680374298060435,59.76463797434193,152.68942877937502,479.30892523648055,14813.305263157896,124.00905448131459,62.004527240657296,1.1006759756194304,1.2447399219388462,0.20131027716672276,real
SNORD126_orphan,138.75,114.5287825673469,709.1508728462986,1.9622986306566739,0.23783783783783785,3.1604448890153565,129.20574677621735,129.86328662976968,13.077302718383685,48.03729427605242,114.5287825673469,186.8166825937896,707.188574215642,16864.473214285714,138.7793883177372,69.3896941588686,0.9312125893781431,0.5623871546813766,0.248377173233025,real
SNORD114@_orphan,137.25000000000003,109.31275262294943,505.47880552683085,2.465652506920976,0.2258652094717668,2.9474804178040928,121.46913188131379,122.12750598203218,29.607990215109186,41.31004815284139,109.31275262294943,198.3389921956757,503.01315301990985,14915.127717391306,157.02894404283433,78.51447202141716,0.8850209973137615,0.6899838735411673,0.25460501947329306,real
SNORD116@_orphan,141.99999999999997,110.3046538856909,564.326702067972,3.42560503296463,0.24413145539906106,3.217319286392556,124.49899597988733,125.10190021295921,30.947188586533812,50.00000000000001,110.3046538856909,190.09424420160806,560.9010970350073,15650.485436893205,140.09424420160806,70.04712210080403,0.8767534928161081,0.7637494390580328,0.22657907837292637,real
